Title,Movie Link,Year,Duration,MPA,Rating,Votes,Description,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
79. Amityville 3-D,https://www.imdb.com/title/tt0085159/?ref_=sr_t_79,1983,1h 45m,PG,4.2,7.8K,Inquisitive Reveal Magazine journalist John Baxter moves into the Amityville house in defiance of the supernatural events connected to it and finds everyone around him besieged by evil manifestations connected to a demonic presence.,6000000.0,6333135,6333135,2366472.0,['Richard Fleischer'],['David Ambrose'],"['Tony Roberts', 'Tess Harper', 'Robert Joy']","['Supernatural Horror', 'Horror']","['United States', 'Mexico']","['18 Brooks Road, Toms River, New Jersey, USA']","['De Laurentiis Entertainment Group (DEG)', 'Estudios Churubusco Azteca S.A.']",['English'],0,0,0,1983
80. Chained Heat,https://www.imdb.com/title/tt0085318/?ref_=sr_t_80,1983,1h 35m,R,5.0,2.7K,"Young Carol Henderson ends up in prison, where she must learn how to survive in an environment plagued by violence, murder, rape, racism, drugs, and staff corruption and brutality.",1250000.0,6149983,6149983,2252682.0,['Paul Nicholas'],"['Aaron Butler', 'Paul Nicholas']","['Linda Blair', 'John Vernon', 'Sybil Danning']","['Action', 'Crime', 'Drama', 'Thriller']","['United States', 'West Germany']","['Lincoln Heights Jail - 401 N. Avenue 19, Lincoln Heights, Los Angeles, California, USA']","['Heat GBR', 'Intercontinental', 'Jensen Farley Pictures']",['English'],0,0,0,1983
81. Beyond the Limit,https://www.imdb.com/title/tt0085236/?ref_=sr_t_81,1983,1h 44m,R,5.7,1.6K,"During the Dirty War, a half-English doctor in Argentina befriends the police, the rebels and the alcoholic Honorary British Consul, whose Latino wife he seduces. When the consul is mistakenly kidnapped by the rebels, he must pick a side.",11800000.0,5997566,5997566,2208976.0,['John Mackenzie'],"['Graham Greene', 'Christopher Hampton']","['Michael Caine', 'Richard Gere', 'Bob Hoskins']","['Drama', 'Romance', 'Thriller']","['United Kingdom', 'Mexico']","['Veracruz, Mexico']","['World Film Services', 'Parsons & Whittemore Lyddon Ltd.', 'Estudios Churubusco Azteca S.A.']","['English', 'Spanish', 'Latin']",0,4,0,1983
82. The Hunger,https://www.imdb.com/title/tt0085701/?ref_=sr_t_82,1983,1h 37m,R,6.6,30K,"A love triangle develops between a vampire, her cellist companion, and a gerontologist.",,5991807,5979292,1832898.0,['Tony Scott'],"['James Costigan', 'Michael Thomas', 'Whitley Strieber']","['Catherine Deneuve', 'David Bowie', 'Susan Sarandon']","['Supernatural Horror', 'Vampire Horror', 'Drama', 'Horror']",['United Kingdom'],"['6 Chesterfield Gardens, London, England, UK']",['Peerford'],['English'],0,3,0,1983
83. Local Hero,https://www.imdb.com/title/tt0085859/?ref_=sr_t_83,1983,1h 51m,PG,7.3,28K,"An American oil company has plans for a new refinery and sends someone to Scotland to buy up an entire village, but things don't go as expected.",3000000.0,5975220,5895761,23567.0,['Bill Forsyth'],['Bill Forsyth'],"['Burt Lancaster', 'Peter Riegert', 'Fulton Mackay']","['Comedy', 'Drama']",['United Kingdom'],"['Pennan, Aberdeenshire, Scotland, UK']","['Enigma Productions', 'Goldcrest Films International', 'Celandine Films']","['English', 'Russian', 'Japanese']",4,6,0,1983
84. Under Fire,https://www.imdb.com/title/tt0086510/?ref_=sr_t_84,1983,2h 8m,R,7.0,8.8K,Three journalists in a romantic triangle are involved in political intrigue during the last days of the corrupt Somoza regime in Nicaragua before it falls to a popular revolution in 1979.,9500000.0,5696391,5696391,1837768.0,['Roger Spottiswoode'],"['Ron Shelton', 'Clayton Frohman']","['Nick Nolte', 'Ed Harris', 'Gene Hackman']","['Drama', 'War']","['United States', 'Mexico']","['Oaxaca City, Oaxaca State, Mexico']","[""Cinema '84"", ""Lion's Gate Films"", 'Under Fire Associates']","['English', 'Spanish']",2,9,1,1983
85. Smokey and the Bandit Part 3,https://www.imdb.com/title/tt0086325/?ref_=sr_t_85,1983,1h 25m,PG,3.5,9.9K,Big and Little Enos are opening a sea food restaurant. They bet Sheriff Buford T. Justice that he cannot drive from Miami to the Enos ranch in Texas in a given amount of time. If Buford loses he has to give up his badge.,9000000.0,5678950,5678950,1728060.0,['Dick Lowry'],"['Stuart Birnbaum', 'David Dashev', 'Jackie Gleason']","['Jackie Gleason', 'Jerry Reed', 'Paul Williams']","['Parody', 'Road Trip', 'Action', 'Comedy', 'Crime']",['United States'],"['Silver Springs - 5656 E. Silver Springs Boulevard, Ocala, Florida, USA']",['Universal Pictures'],"['English', 'Spanish']",0,0,0,1983
86. A Night in Heaven,https://www.imdb.com/title/tt0086011/?ref_=sr_t_86,1983,1h 23m,R,4.3,1.5K,"A married college professor begins a torrid affair with her failing student, who secretly moonlights as a late-night strip-club dancer.",,5563663,5563663,1835421.0,['John G. Avildsen'],['Joan Tewkesbury'],"['Christopher Atkins', 'Lesley Ann Warren', 'Robert Logan']","['Drama', 'Romance']",['United States'],"['Titusville, Florida, USA']",[],['English'],0,0,0,1983
87. The Star Chamber,https://www.imdb.com/title/tt0086356/?ref_=sr_t_87,1983,1h 49m,R,6.3,8K,"Frustrated with a legal system gone haywire, a secret society of judges hires hitmen to snuff out criminals who escape courtroom justice - but one young judge questions the ethics of their vigilante system.",,5555305,5555305,1980105.0,['Peter Hyams'],"['Roderick Taylor', 'Peter Hyams']","['Michael Douglas', 'Hal Holbrook', 'Yaphet Kotto']","['Legal Thriller', 'Crime', 'Drama', 'Mystery', 'Thriller']",['United States'],"['Dodger Stadium - 1000 Vin Scully Avenue, Chavez Ravine, Elysian Park, Los Angeles, California, USA']","['Twentieth Century Fox', 'Frank Yablans Presentations']",['English'],0,0,0,1983
88. The Dresser,https://www.imdb.com/title/tt0085461/?ref_=sr_t_88,1983,1h 58m,PG,7.5,5.9K,Personal assistant Norman struggles to get deteriorating veteran actor Sir through a difficult performance of King Lear.,1456000.0,5310748,5310748,,['Peter Yates'],['Ronald Harwood'],"['Albert Finney', 'Tom Courtenay', 'Edward Fox']",['Drama'],['United Kingdom'],"['York Railway Station, Station Road, York, North Yorkshire, England, UK']","['Columbia Pictures', 'Columbia Pictures', 'World Film Services']",['English'],5,17,5,1983
