Title,Movie Link,Year,Duration,MPA,Rating,Votes,Description
1. Ghostbusters,https://www.imdb.com/title/tt0087332/?ref_=sr_t_1,1984,1h 45m,PG,7.8,467K,"Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers."
2. Beverly Hills Cop,https://www.imdb.com/title/tt0086960/?ref_=sr_t_2,1984,1h 45m,R,7.4,222K,A freewheeling Detroit cop pursuing a murder investigation finds himself dealing with the very different culture of Beverly Hills.
3. Indiana Jones and the Temple of Doom,https://www.imdb.com/title/tt0087469/?ref_=sr_t_3,1984,1h 58m,PG,7.5,548K,"In 1935, Indiana Jones is tasked by Indian villagers with reclaiming a rock stolen from them by a secret cult beneath the catacombs of an ancient palace."
4. Gremlins,https://www.imdb.com/title/tt0087363/?ref_=sr_t_4,1984,1h 46m,PG,7.3,260K,A young man inadvertently breaks three important rules concerning his new pet and unleashes a horde of malevolently mischievous monsters on a small town.
5. The Karate Kid,https://www.imdb.com/title/tt0087538/?ref_=sr_t_5,1984,2h 6m,PG,7.3,255K,"Recently relocated from NJ to LA, Daniel becomes the target of a gang of Cobra Kai dojo students. When Mr. Miyagi saves him with expert Karate skills, Daniel convinces him to teach him to defend himself, and put his bullies in their place."
6. Police Academy,https://www.imdb.com/title/tt0087928/?ref_=sr_t_6,1984,1h 36m,R,6.7,142K,"The mayor declares that anyone can enroll in the police academy irrespective of their physical condition or education level, and many misfits descend on the academy, including a young troublemaker who's forced to apply or go to jail."
7. Footloose,https://www.imdb.com/title/tt0087277/?ref_=sr_t_7,1984,1h 47m,PG,6.6,97K,A big city teenager moves to a small town where Rock and Roll music and dancing have been banned by backward local parents and his rebellious spirit shakes up the populace.
8. Romancing the Stone,https://www.imdb.com/title/tt0088011/?ref_=sr_t_8,1984,1h 46m,PG,6.9,107K,"A mousy romance novelist sets off for Colombia to ransom her kidnapped sister, and soon finds herself in the middle of a dangerous adventure hunting for treasure with a mercenary rogue."
9. Star Trek III: The Search for Spock,https://www.imdb.com/title/tt0088170/?ref_=sr_t_9,1984,1h 45m,PG,6.6,88K,Admiral Kirk and his bridge crew risk their careers stealing the decommissioned U.S.S. Enterprise to return to the restricted Genesis Planet to recover Spock's body.
10. Purple Rain,https://www.imdb.com/title/tt0087957/?ref_=sr_t_10,1984,1h 51m,R,6.5,25K,"A young musician, tormented by an abusive situation at home, must contend with a rival singer, a burgeoning romance, and his own dissatisfied band, as his star begins to rise."
11. Splash,https://www.imdb.com/title/tt0088161/?ref_=sr_t_11,1984,1h 51m,PG,6.3,86K,A young man is reunited with a mermaid he briefly encountered as a boy and falls in love with her without knowing her secret.
12. Amadeus,https://www.imdb.com/title/tt0086879/?ref_=sr_t_12,1984,2h 40m,PG,8.4,444K,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him."
13. Tightrope,https://www.imdb.com/title/tt0088272/?ref_=sr_t_13,1984,1h 54m,R,6.3,20K,"New Orleans single dad and cop Wes Block goes after a serial rapist-killer, but when he gets too close the hunter suddenly becomes the hunted."
14. The Natural,https://www.imdb.com/title/tt0087781/?ref_=sr_t_14,1984,2h 18m,PG,7.4,54K,A middle-aged unknown comes seemingly out of nowhere to become a legendary baseball player with almost supernatural talent.
"15. Greystoke: The Legend of Tarzan, Lord of the Apes",https://www.imdb.com/title/tt0087365/?ref_=sr_t_15,1984,2h 23m,PG,6.4,22K,"A missing heir of respected Scottish family, raised in African jungles by animals, finally returns to his estate only to realize that difference between the two worlds is really significant."
16. Revenge of the Nerds,https://www.imdb.com/title/tt0088000/?ref_=sr_t_16,1984,1h 30m,R,6.6,60K,"At Adams College, a group of bullied outcasts and misfits resolve to fight back for their peace and self-respect."
17. 2010: The Year We Make Contact,https://www.imdb.com/title/tt0086837/?ref_=sr_t_17,1984,1h 56m,PG,6.7,59K,"A joint USA-Soviet expedition is sent to Jupiter to learn exactly what happened to the ""Discovery"" and its H.A.L. 9000 computer."
18. Breakin',https://www.imdb.com/title/tt0086998/?ref_=sr_t_18,1984,1h 27m,PG,5.9,7.5K,A struggling young jazz dancer meets up with two break-dancers. Together they become the sensation of the street crowds.
19. Bachelor Party,https://www.imdb.com/title/tt0086927/?ref_=sr_t_19,1984,1h 45m,R,6.3,44K,A soon-to-be-married man's friends throw him the ultimate bachelor party.
