Title,Movie Link,Year,Duration,MPA,Rating,Votes,Description,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
1. Lawrence of Arabia,https://www.imdb.com/title/tt0056172/?ref_=sr_t_1,1962,3h 47m,PG,8.3,326K,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",15000000.0,45764288.0,45306425.0,20846.0,['David Lean'],"['Robert Bolt', 'Michael Wilson']","[""Peter O'Toole"", 'Alec Guinness', 'Anthony Quinn']","['Adventure Epic', 'Desert Adventure', 'Epic', 'War Epic', 'Adventure', 'Biography', 'Drama', 'War']","['United Kingdom', 'United States']","['Wadi Rum, Jordan']",['Horizon Pictures (II)'],"['English', 'Arabic', 'Turkish']",31,14,7,1962
2. Dr. No,https://www.imdb.com/title/tt0055928/?ref_=sr_t_2,1962,1h 50m,PG,7.2,185K,A resourceful British government agent seeks answers in a case involving the disappearance of a colleague and the disruption of the American space program.,392022.0,16120643.0,16067035.0,,['Terence Young'],"['Richard Maibaum', 'Johanna Harwood', 'Berkely Mather']","['Sean Connery', 'Ursula Andress', 'Bernard Lee']","['Spy', 'Action', 'Adventure', 'Thriller']","['United Kingdom', 'United States']","[""Dunn's River Falls, Ocho Rios, St. Ann, Jamaica""]",['Eon Productions'],"['English', 'French', 'Italian']",4,4,0,1962
3. The Manchurian Candidate,https://www.imdb.com/title/tt0056218/?ref_=sr_t_3,1962,2h 6m,PG-13,7.9,82K,An American POW in the Korean War is brainwashed as an unwitting assassin for an international Communist conspiracy.,2200000.0,2757256.0,2757256.0,87850.0,['John Frankenheimer'],"['Richard Condon', 'George Axelrod', 'John Frankenheimer']","['Frank Sinatra', 'Laurence Harvey', 'Janet Leigh']","['Conspiracy Thriller', 'Political Thriller', 'Psychological Thriller', 'Spy', 'Tragedy', 'Drama', 'Thriller']",['United States'],"[""Jilly's, 52nd Street at 8th Avenue, Manhattan, New York City, New York, USA""]",['M.C. Productions'],"['English', 'Spanish']",6,9,2,1962
4. To Kill a Mockingbird,https://www.imdb.com/title/tt0056592/?ref_=sr_t_4,1962,2h 9m,Approved,8.3,341K,A widowed lawyer in Depression-era Alabama defends a black man against a false rape charge while teaching his young children about the sad reality of prejudice.,2000000.0,599934.0,592237.0,357549.0,['Robert Mulligan'],"['Harper Lee', 'Horton Foote']","['Gregory Peck', 'John Megna', 'Frank Overton']","['Legal Drama', 'Period Drama', 'Crime', 'Drama']",['United States'],"['Monroeville, Alabama, USA']","['Pakula-Mulligan', 'Brentwood Productions']",['English'],14,16,3,1962
5. Mafioso,https://www.imdb.com/title/tt0056210/?ref_=sr_t_5,1962,1h 45m,Not Rated,7.6,3.1K,"When a good-natured factory supervisor living in Milan with his Northern wife returns to his native Sicily, a decades'-old oath forces him to fulfill a nightmarish obligation.",,400019.0,400019.0,29965.0,['Alberto Lattuada'],"['Rafael Azcona', 'Bruno Caruso', 'Marco Ferreri']","['Alberto Sordi', 'Norma Bengell', 'Gabriella Conti']","['Comedy', 'Crime', 'Drama']",['Italy'],"['Belmonte Mezzagno, Sicily, Italy']","['Compagnia Cinematografica Antonio Cervi', 'Dino de Laurentiis Cinematografica']","['Italian', 'English', 'French', 'German']",0,2,0,1962
6. The Trial,https://www.imdb.com/title/tt0057427/?ref_=sr_t_6,1962,1h 59m,Not Rated,7.6,25K,"An unassuming office worker is arrested and stands trial, but he is never made aware of his charges.",1300000.0,94243.0,93533.0,7280.0,['Orson Welles'],"['Pierre Cholot', 'Franz Kafka', 'Orson Welles']","['Anthony Perkins', 'Arnoldo Foà', 'Jess Hahn']","['Legal Drama', 'Legal Thriller', 'Drama', 'Mystery', 'Thriller']","['France', 'Italy', 'West Germany']","['240 Grada Vukovara Street, Zagreb, Croatia']","['Paris-Europa Productions', 'Hisa-Film', 'Finanziaria Cinematografica Italiana (FICIT)']",['English'],2,2,0,1962
7. Le Doulos,https://www.imdb.com/title/tt0054821/?ref_=sr_t_7,1962,1h 48m,Not Rated,7.7,13K,A burglar betraying other criminals prepares for a big heist with a trusted friend who might be as untrustworthy as he.,,91410.0,82772.0,9362.0,['Jean-Pierre Melville'],"['Pierre Lesou', 'Jean-Pierre Melville']","['Jean-Paul Belmondo', 'Serge Reggiani', 'Jean Desailly']","['Crime', 'Thriller']","['France', 'Italy']","['Rue Watt, Paris 13, Paris, France']","['Compagnia Cinematografica Champion', 'Rome Paris Films']",['French'],0,0,0,1962
8. How the West Was Won,https://www.imdb.com/title/tt0056085/?ref_=sr_t_8,1962,2h 44m,G,7.1,24K,"A family saga covering several decades of Westward expansion in the 19th century, including the Gold Rush, the Civil War, and the building of the railroads.",15000000.0,76729.0,76729.0,28568.0,"['John Ford', 'Henry Hathaway', 'George Marshall']","['James R. Webb', 'Gerald Devriès', 'Christian Dura']","['James Stewart', 'John Wayne', 'Gregory Peck']","['Classical Western', 'Epic', 'Western Epic', 'Adventure', 'War', 'Western']",['United States'],"['Cave-In-Rock State Park - 1 New State Park Road, Cave-In-Rock, Illinois, USA']","['Metro-Goldwyn-Mayer (MGM)', 'Cinerama Productions Corp.']","['English', 'Arapaho']",10,5,3,1962
9. Le combat dans l'île,https://www.imdb.com/title/tt0054758/?ref_=sr_t_9,1962,1h 44m,PG-13,6.5,949,"After an unsuccessful assassination, a terrorist and his wife hide on a remote island in the house of a friend who doesn't suspect anything.",,50039.0,50039.0,10217.0,['Alain Cavalier'],"['Alain Cavalier', 'Jean-Paul Rappeneau']","['Romy Schneider', 'Jean-Louis Trintignant', 'Henri Serre']","['Drama', 'Romance', 'Thriller']",['France'],"[""Le Moulin d'Andé, 65 rue du Moulin, Andé, Eure, France""]","['Union Générale Cinématographique (UGC)', 'La Société des Films Sirius', 'Nouvelles Éditions de Films (NEF)']","['French', 'English']",0,0,0,1962
10. Sanjuro,https://www.imdb.com/title/tt0056443/?ref_=sr_t_10,1962,1h 36m,Not Rated,8.0,42K,"A crafty samurai helps a young man and his fellow clansmen trying to save his uncle, who has been framed and imprisoned by a corrupt superintendent.",,65028.0,46808.0,15942.0,['Akira Kurosawa'],"['Ryûzô Kikushima', 'Hideo Oguni', 'Akira Kurosawa']","['Toshirô Mifune', 'Tatsuya Nakadai', 'Keiju Kobayashi']","['Samurai', 'Action', 'Drama', 'Thriller']",['Japan'],"['Toho Studios, Tokyo, Japan']","['Toho', 'Kurosawa Production Co.']",['Japanese'],0,0,0,1962
