Title,Movie Link,Year,Duration,MPA,Rating,Votes,Description,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
1. Rain Man,https://www.imdb.com/title/tt0095953/?ref_=sr_t_1,1988,2h 13m,R,8.0,560K,"After a selfish L.A. yuppie learns his estranged father left a fortune to an autistic-savant brother in Ohio that he didn't know existed, he absconds with his brother and sets out across the country, hoping to gain a larger inheritance.",25000000.0,354825435,172825435,7005719,['Barry Levinson'],"['Barry Morrow', 'Ron Bass']","['Dustin Hoffman', 'Tom Cruise', 'Valeria Golino']","['Road Trip', 'Drama']",['United States'],"['Santa Ana Regional Transportation Center - 1000 E. Santa Ana Boulevard, Santa Ana, California, USA']","['United Artists', 'The Guber-Peters Company', 'Star Partners II Ltd.']","['English', 'Italian']",27,26,4,1988
2. Who Framed Roger Rabbit,https://www.imdb.com/title/tt0096438/?ref_=sr_t_2,1988,1h 44m,PG,7.7,224K,"When a cartoon rabbit is accused of murder, he enlists the help of a burnt out private investigator to prove his innocence.",70000000.0,329803958,156452370,11226239,['Robert Zemeckis'],"['Jeffrey Price', 'Peter S. Seaman', 'Gary K. Wolf']","['Bob Hoskins', 'Christopher Lloyd', 'Joanna Cassidy']","['Adult Animation', 'Buddy Comedy', 'Hand-Drawn Animation', 'High-Concept Comedy', 'Parody', 'Slapstick', 'Adventure', 'Animation', 'Comedy', 'Crime']",['United States'],"['3280 Hyperion Avenue, Los Angeles, California, USA']","['Touchstone Pictures', 'Amblin Entertainment', 'Silver Screen Partners III']",['English'],24,22,3,1988
3. Coming to America,https://www.imdb.com/title/tt0094898/?ref_=sr_t_3,1988,1h 57m,R,7.1,230K,"An extremely pampered African prince travels to Queens, New York and goes undercover to find a wife that he can respect for her intelligence and strong will.",30000000.0,288752301,128152301,21404420,['John Landis'],"['Eddie Murphy', 'David Sheffield', 'Barry W. Blaustein']","['Eddie Murphy', 'Paul Bates', 'Garcelle Beauvais']","['Romantic Comedy', 'Comedy', 'Romance']",['United States'],"['392 S 5th Street, Brooklyn, New York, USA']","['Paramount Pictures', 'Eddie Murphy Productions']",['English'],5,5,2,1988
4. Big,https://www.imdb.com/title/tt0094737/?ref_=sr_t_4,1988,1h 44m,PG,7.3,248K,"After wishing to be made big, a teenage boy wakes the next morning to find himself mysteriously in the body of an adult.",18000000.0,151927281,115227281,8216190,['Penny Marshall'],"['Gary Ross', 'Anne Spielberg']","['Tom Hanks', 'Elizabeth Perkins', 'Robert Loggia']","['Body Swap Comedy', 'Coming-of-Age', 'High-Concept Comedy', 'Comedy', 'Drama', 'Fantasy', 'Romance']",['United States'],"['Rye Playland, Rye, New York, USA']","['Twentieth Century Fox', 'Gracie Films', 'American Entertainment Partners II L.P.']","['English', 'Spanish']",11,14,2,1988
5. Twins,https://www.imdb.com/title/tt0096320/?ref_=sr_t_5,1988,1h 47m,PG,6.2,142K,"A physically perfect but innocent man goes in search of his long-lost twin brother, who turns out to be a short, womanizing, small-time crook.",15000000.0,216614388,111938388,11174980,['Ivan Reitman'],"['William Davies', 'William Osborne', 'Timothy Harris']","['Arnold Schwarzenegger', 'Danny DeVito', 'Kelly Preston']","['Buddy Comedy', 'High-Concept Comedy', 'Comedy', 'Crime']",['United States'],"['Rio Grande Gorge Bridge, Taos, New Mexico, USA']",['Universal Pictures'],['English'],4,0,0,1988
6. Crocodile Dundee II,https://www.imdb.com/title/tt0092493/?ref_=sr_t_6,1988,1h 51m,PG,5.7,62K,Australian outback expert protects his New York love from gangsters who've followed her down under.,14000000.0,239606210,109306210,24462976,['John Cornell'],"['Paul Hogan', 'Brett Hogan']","['Paul Hogan', 'Linda Kozlowski', 'John Meillon']","['Action', 'Adventure', 'Comedy']",['Australia'],"['Vanderbilt Museum, Centerpoint, Long Island, New York, USA']","['Paramount Pictures', 'Rimfire Films']","['English', 'Spanish', 'Japanese']",2,0,0,1988
7. Die Hard,https://www.imdb.com/title/tt0095016/?ref_=sr_t_7,1988,2h 12m,R,8.2,982K,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,28000000.0,143651650,85892546,601851,['John McTiernan'],"['Roderick Thorp', 'Jeb Stuart', 'Steven E. de Souza']","['Bruce Willis', 'Alan Rickman', 'Bonnie Bedelia']","['Disaster', 'One-Person Army Action', 'Action', 'Holiday', 'Thriller']",['United States'],"['Fox Plaza - 2121 Avenue of the Stars, Century City, Los Angeles, California, USA']","['Twentieth Century Fox', 'Gordon Company', 'Silver Pictures']","['English', 'German', 'Italian', 'Japanese']",8,8,4,1988
8. The Naked Gun: From the Files of Police Squad!,https://www.imdb.com/title/tt0095705/?ref_=sr_t_8,1988,1h 25m,PG-13,7.6,192K,Incompetent police Detective Frank Drebin must foil an attempt to assassinate Queen Elizabeth II.,12000000.0,78756177,78756177,9331746,['David Zucker'],"['Jerry Zucker', 'Jim Abrahams', 'David Zucker']","['Leslie Nielsen', 'Priscilla Presley', 'O.J. Simpson']","['Parody', 'Slapstick', 'Comedy', 'Crime']",['United States'],"['Dodger Stadium - 1000 Vin Scully Avenue, Chavez Ravine, Elysian Park, Los Angeles, California, USA']",['Paramount Pictures'],['English'],0,2,0,1988
9. Cocktail,https://www.imdb.com/title/tt0094889/?ref_=sr_t_9,1988,1h 44m,R,5.9,94K,A talented New York City bartender takes a job at a bar in Jamaica and falls in love.,20000000.0,171504781,78222753,11789466,['Roger Donaldson'],['Heywood Gould'],"['Tom Cruise', 'Bryan Brown', 'Elisabeth Shue']","['Comedy', 'Drama', 'Romance']",['United States'],"[""Dunn's River Falls, Ocho Rios, St. Ann, Jamaica""]","['Touchstone Pictures', 'Silver Screen Partners III', 'Interscope Communications']","['English', 'Spanish Sign Language']",5,6,0,1988
10. Beetlejuice,https://www.imdb.com/title/tt0094721/?ref_=sr_t_10,1988,1h 32m,PG,7.5,399K,"The spirits of a deceased couple are harassed by an unbearable family that has moved into their home, and hire a malicious spirit to drive them out.",15000000.0,74852535,74664632,8030897,['Tim Burton'],"['Michael McDowell', 'Larry Wilson', 'Warren Skaaren']","['Alec Baldwin', 'Geena Davis', 'Michael Keaton']","['Dark Comedy', 'Dark Fantasy', 'Quirky Comedy', 'Slapstick', 'Supernatural Fantasy', 'Comedy', 'Fantasy']",['United States'],"['East Corinth, Vermont, USA']",['The Geffen Company'],['English'],7,11,1,1988
