Title,Movie Link,Year,Duration,MPA,Rating,Votes,Description
1. Barbie,https://www.imdb.com/title/tt1517268/?ref_=sr_t_1,2023,1h 54m,PG-13,6.8,593K,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans."
2. The Super Mario Bros. Movie,https://www.imdb.com/title/tt6718170/?ref_=sr_t_2,2023,1h 32m,PG,7.0,260K,"A plumber named Mario travels through an underground labyrinth with his brother Luigi, trying to save a captured princess."
3. Spider-Man: Across the Spider-Verse,https://www.imdb.com/title/tt9362722/?ref_=sr_t_3,2023,2h 20m,PG,8.5,436K,"Traveling across the multiverse, Miles Morales meets a new team of Spider-People, made up of heroes from different dimensions. But when the heroes clash over how to deal with a new threat, Miles finds himself at a crossroads."
4. Guardians of the Galaxy Vol. 3,https://www.imdb.com/title/tt6791350/?ref_=sr_t_4,2023,2h 30m,PG-13,7.9,417K,"Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful."
5. Oppenheimer,https://www.imdb.com/title/tt15398776/?ref_=sr_t_5,2023,3h,R,8.3,852K,"A dramatization of the life story of J. Robert Oppenheimer, the physicist who had a large hand in the development of the atomic bombs that brought an end to World War II."
6. The Little Mermaid,https://www.imdb.com/title/tt5971474/?ref_=sr_t_6,2023,2h 15m,PG,7.2,164K,A young mermaid makes a deal with a sea witch to trade her beautiful voice for human legs so she can discover the world above water and impress a prince.
7. Wonka,https://www.imdb.com/title/tt6166392/?ref_=sr_t_7,2023,1h 56m,PG,7.0,172K,"With dreams of opening a shop in a city renowned for its chocolate, a young and poor Willy Wonka discovers that the industry is run by a cartel of greedy chocolatiers."
8. Ant-Man and the Wasp: Quantumania,https://www.imdb.com/title/tt10954600/?ref_=sr_t_8,2023,2h 4m,PG-13,6.0,246K,"Scott Lang and Hope Van Dyne are dragged into the Quantum Realm, along with Hope's parents and Scott's daughter Cassie. Together they must find a way to escape, but what secrets is Hope's mother hiding? And who is the mysterious Kang?"
9. John Wick: Chapter 4,https://www.imdb.com/title/tt10366206/?ref_=sr_t_9,2023,2h 49m,R,7.6,368K,"John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes."
10. Sound of Freedom,https://www.imdb.com/title/tt7599146/?ref_=sr_t_10,2023,2h 11m,PG-13,7.6,128K,The incredible true story of a former government agent turned vigilante who embarks on a dangerous mission to rescue hundreds of children from traffickers.
11. Taylor Swift: The Eras Tour,https://www.imdb.com/title/tt28814949/?ref_=sr_t_11,2023,2h 49m,PG-13,8.0,24K,"Experience the Eras Tour concert, performed by the one and only Taylor Swift."
12. Indiana Jones and the Dial of Destiny,https://www.imdb.com/title/tt1462764/?ref_=sr_t_12,2023,2h 34m,PG-13,6.5,216K,Archaeologist Indiana Jones races against time to retrieve a legendary artifact that can change the course of history.
13. Mission: Impossible - Dead Reckoning Part One,https://www.imdb.com/title/tt9603212/?ref_=sr_t_13,2023,2h 43m,PG-13,7.7,277K,Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.
14. The Hunger Games: The Ballad of Songbirds & Snakes,https://www.imdb.com/title/tt10545296/?ref_=sr_t_14,2023,2h 37m,PG-13,6.7,152K,Coriolanus Snow mentors and develops feelings for the female District 12 tribute during the 10th Hunger Games.
15. Transformers: Rise of the Beasts,https://www.imdb.com/title/tt5090568/?ref_=sr_t_15,2023,2h 7m,PG-13,6.0,119K,"During the '90s, a new faction of Transformers - the Maximals - join the Autobots as allies in the battle for Earth."
16. Creed III,https://www.imdb.com/title/tt11145118/?ref_=sr_t_16,2023,1h 56m,PG-13,6.7,99K,"Adonis has been thriving in both his career and family life, but when a childhood friend and former boxing prodigy resurfaces, the face-off is more than just a fight."
