Title,Movie Link,Year,Duration,MPA,Rating,Votes,Description,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
1. Star Wars: Episode III - Revenge of the Sith,https://www.imdb.com/title/tt0121766/?ref_=sr_t_1,2005,2h 20m,PG-13,7.6,871K,"As the Clone Wars nears its end, Obi-Wan Kenobi pursues a new threat, while Anakin Skywalker is lured by Chancellor Palpatine into a sinister plot for galactic domination.",113000000.0,850035635,380270577,108435841.0,['George Lucas'],['George Lucas'],"['Hayden Christensen', 'Natalie Portman', 'Ewan McGregor']","['Action Epic', 'Adventure Epic', 'Dark Fantasy', 'Epic', 'Fantasy Epic', 'Sci-Fi Epic', 'Space Sci-Fi', 'Tragedy', 'Action', 'Adventure']","['United States', 'Italy', 'Switzerland', 'Thailand', 'United Kingdom']","['Mount Etna, Catania, Sicily, Italy']","['Lucasfilm', 'Mestiere Cinema', 'Pandora Films']",['English'],29,64,1,2005
"2. The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",https://www.imdb.com/title/tt0363771/?ref_=sr_t_2,2005,2h 23m,PG,6.9,440K,"While playing, Lucy and her siblings find a wardrobe that lands them in a mystical place called Narnia. Here they realize that it was fated and they must now unite with Aslan to defeat an evil queen.",180000000.0,745013115,291710957,65556312.0,['Andrew Adamson'],"['Ann Peacock', 'Andrew Adamson', 'Christopher Markus']","['Tilda Swinton', 'Georgie Henley', 'William Moseley']","['Fantasy Epic', 'Supernatural Fantasy', 'Sword & Sorcery', 'Teen Adventure', 'Adventure', 'Family', 'Fantasy']","['United Kingdom', 'United States']","['Adrspach National Park, Trutnov, Czech Republic']","['Walt Disney Pictures', 'Walden Media']","['English', 'German', 'Brazilian Sign Language']",18,46,1,2005
3. Harry Potter and the Goblet of Fire,https://www.imdb.com/title/tt0330373/?ref_=sr_t_3,2005,2h 37m,PG-13,7.7,710K,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.",150000000.0,897468952,290469928,102685961.0,['Mike Newell'],"['Steve Kloves', 'J.K. Rowling']","['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint']","['Sword & Sorcery', 'Teen Adventure', 'Teen Fantasy', 'Adventure', 'Family', 'Fantasy', 'Mystery']","['United Kingdom', 'United States']","['Glenfinnan Viaduct, Fort William, Highland, Scotland, UK']","['Warner Bros.', 'Heyday Films', 'Patalex Productions']","['English', 'French', 'Latin']",13,48,1,2005
4. War of the Worlds,https://www.imdb.com/title/tt0407304/?ref_=sr_t_4,2005,1h 57m,PG-13,6.5,487K,An alien invasion threatens the future of humanity. The catastrophic nightmare is depicted through the eyes of one American family fighting for survival.,132000000.0,603873504,234280354,64878725.0,['Steven Spielberg'],"['Josh Friedman', 'David Koepp', 'H.G. Wells']","['Tom Cruise', 'Dakota Fanning', 'Tim Robbins']","['Action Epic', 'Adventure Epic', 'Alien Invasion', 'Disaster', 'Sci-Fi Epic', 'Urban Adventure', 'Action', 'Adventure', 'Sci-Fi']",['United States'],"['JF Kennedy Blvd., Bayonne, New Jersey, USA']","['Paramount Pictures', 'Dreamworks Pictures', 'Amblin Entertainment']",['English'],16,49,3,2005
5. King Kong,https://www.imdb.com/title/tt0360717/?ref_=sr_t_5,2005,3h 7m,PG-13,7.2,457K,"A greedy film producer assembles a team of moviemakers and sets out for the infamous Skull Island, where they find more than just cannibalistic natives.",207000000.0,556906378,218080025,50130145.0,['Peter Jackson'],"['Fran Walsh', 'Philippa Boyens', 'Peter Jackson']","['Naomi Watts', 'Jack Black', 'Adrien Brody']","['Adventure Epic', 'Dark Romance', 'Dinosaur Adventure', 'Globetrotting Adventure', 'Jungle Adventure', 'Urban Adventure', 'Action', 'Adventure', 'Romance']","['United States', 'New Zealand', 'Germany']","['Shelly Bay, Wellington, New Zealand']","['Universal Pictures', 'WingNut Films', 'Big Primate Pictures']",['English'],46,104,3,2005
6. Wedding Crashers,https://www.imdb.com/title/tt0396269/?ref_=sr_t_6,2005,1h 59m,R,7.0,384K,"John Beckwith and Jeremy Grey, a pair of committed womanizers who sneak into weddings to take advantage of the romantic tinge in the air, find themselves at odds with one another when John meets and falls for Claire Cleary.",40000000.0,288485135,209273411,32200000.0,['David Dobkin'],"['Steve Faber', 'Bob Fisher']","['Owen Wilson', 'Vince Vaughn', 'Rachel McAdams']","['Farce', 'Raunchy Comedy', 'Romantic Comedy', 'Comedy', 'Romance']",['United States'],"['Assateague Island National Seashore, Maryland, USA']","['New Line Cinema', 'Tapestry Films', 'Avery Pix']",['English'],11,11,0,2005
7. Batman Begins,https://www.imdb.com/title/tt0372784/?ref_=sr_t_7,2005,2h 20m,PG-13,8.2,1.6M,"After witnessing his parents' death, billionaire Bruce Wayne learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.",150000000.0,375406308,206863479,48745440.0,['Christopher Nolan'],"['Bob Kane', 'David S. Goyer', 'Christopher Nolan']","['Christian Bale', 'Michael Caine', 'Ken Watanabe']","['Action Epic', 'Epic', 'Superhero', 'Tragedy', 'Action', 'Drama']","['United States', 'United Kingdom']","['Skaftafell, Iceland']","['Warner Bros.', 'Syncopy', 'DC Comics']","['English', 'Mandarin']",15,79,1,2005
8. Charlie and the Chocolate Factory,https://www.imdb.com/title/tt0367594/?ref_=sr_t_8,2005,1h 55m,PG,6.7,546K,"Charlie, a young boy from an impoverished family, and four other kids win a tour of an amazing chocolate factory run by an imaginative chocolatier, Willy Wonka, and his staff of Oompa-Loompas.",150000000.0,474968763,206459076,56178450.0,['Tim Burton'],"['Roald Dahl', 'John August']","['Johnny Depp', 'Freddie Highmore', 'David Kelly']","['Dark Comedy', 'Supernatural Fantasy', 'Teen Fantasy', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']","['United Kingdom', 'United States']","['York, North Yorkshire, England, UK']","['Warner Bros.', 'Village Roadshow Pictures', 'The Zanuck Company']",['English'],15,52,1,2005
9. Madagascar,https://www.imdb.com/title/tt0351283/?ref_=sr_t_9,2005,1h 26m,PG,6.9,453K,"A group of animals who have spent all their life in a New York zoo end up in the jungles of Madagascar, and must adjust to living in the wild.",75000000.0,542064525,193595521,47224594.0,"['Eric Darnell', 'Tom McGrath']","['Mark Burton', 'Billy Frolick', 'Eric Darnell']","['Chris Rock', 'Ben Stiller', 'David Schwimmer']","['Animal Adventure', 'Computer Animation', 'Jungle Adventure', 'Slapstick', 'Adventure', 'Animation', 'Comedy', 'Family']","['United States', 'Canada', 'United Kingdom']","['Glendale, California, USA']","['DreamWorks Animation', 'Pacific Data Images (PDI)']","['English', 'Portuguese', 'Spanish', 'German', 'French', 'American Sign Language']",4,32,0,2005
10. Mr. & Mrs. Smith,https://www.imdb.com/title/tt0356910/?ref_=sr_t_10,2005,2h,PG-13,6.5,562K,"A husband and wife struggle to keep their marriage alive until they realize they are both secretly working as assassins. Now, their respective assignments require them to kill each other.",110000000.0,487287646,186336279,50342878.0,['Doug Liman'],['Simon Kinberg'],"['Brad Pitt', 'Angelina Jolie', 'Adam Brody']","['High-Concept Comedy', 'Action', 'Comedy', 'Crime', 'Thriller']",['United States'],"['1565 San Pasqual Street, Pasadena, California, USA']","['New Regency Productions', 'Summit Entertainment', 'Weed Road Pictures']","['English', 'Spanish', 'French']",9,18,0,2005
