Title,Movie Link,Year,Duration,MPA,Rating,Votes,Description
1. Bad Boys for Life,https://www.imdb.com/title/tt1502397/?ref_=sr_t_1,2020,2h 4m,R,6.5,189K,Miami detectives Mike Lowrey and Marcus Burnett must face off against a mother-and-son pair of drug lords who wreak vengeful havoc on their city.
2. A Quiet Place Part II,https://www.imdb.com/title/tt8332922/?ref_=sr_t_2,2020,1h 37m,PG-13,7.2,299K,"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize the creatures that hunt by sound are not the only threats lurking beyond the sand path."
3. Sonic the Hedgehog,https://www.imdb.com/title/tt3794354/?ref_=sr_t_3,2020,1h 39m,PG,6.5,176K,"Taking refuge on Earth, when Sonic uses his incredible speed and accidentally knock out the power in part of the United States, he catches the attention of Dr. Robotnik and must stop him from using his unique power for world domination."
4. Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,https://www.imdb.com/title/tt7713068/?ref_=sr_t_4,2020,1h 49m,R,6.1,272K,"After splitting with the Joker, Harley Quinn joins superheroines Black Canary, Huntress, and Renee Montoya to save a young girl from an evil crime lord."
5. Dolittle,https://www.imdb.com/title/tt6673612/?ref_=sr_t_5,2020,1h 41m,PG,5.6,74K,A physician who can talk to animals embarks on an adventure to find a legendary island with a young apprentice and a crew of strange pets.
6. The Invisible Man,https://www.imdb.com/title/tt1051906/?ref_=sr_t_6,2020,2h 4m,R,7.1,268K,"When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see."
7. The Call of the Wild,https://www.imdb.com/title/tt7504726/?ref_=sr_t_7,2020,1h 40m,PG,6.7,60K,A sled dog struggles for survival in the wilds of the Yukon.
8. Onward,https://www.imdb.com/title/tt7146812/?ref_=sr_t_8,2020,1h 42m,PG,7.4,177K,"Teenage elf brothers Ian and Barley embark on a magical quest to spend one more day with their late father. Like any good adventure, their journey is filled with cryptic maps, impossible obstacles and unimaginable discoveries."
9. The Croods: A New Age,https://www.imdb.com/title/tt2850386/?ref_=sr_t_9,2020,1h 35m,PG,6.9,56K,"The prehistoric family the Croods are challenged by a rival family the Bettermans, who claim to be better and more evolved."
10. Tenet,https://www.imdb.com/title/tt6723592/?ref_=sr_t_10,2020,2h 30m,PG-13,7.3,622K,"Armed with only the word ""Tenet,"" and fighting for the survival of the entire world, CIA operative, The Protagonist, journeys through a twilight world of international espionage on a global mission that unfolds beyond real time."
11. Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,https://www.imdb.com/title/tt11032374/?ref_=sr_t_11,2020,1h 57m,TV-MA,8.2,81K,"After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair."
12. Wonder Woman 1984,https://www.imdb.com/title/tt7126948/?ref_=sr_t_12,2020,2h 31m,PG-13,5.4,299K,"Wonder Woman finds herself battling two opponents, Maxwell Lord, a shrewd entrepreneur, and Barbara Minerva, a friend-turned-foe. Meanwhile, she also ends up crossing paths with her love interest."
13. Fantasy Island,https://www.imdb.com/title/tt0983946/?ref_=sr_t_13,2020,1h 49m,PG-13,4.9,61K,"When the owner and operator of a luxurious island invites a collection of guests to live out their most elaborate fantasies in relative seclusion, chaos quickly descends."
14. The New Mutants,https://www.imdb.com/title/tt4682266/?ref_=sr_t_14,2020,1h 34m,PG-13,5.3,95K,"Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves."
15. Like a Boss,https://www.imdb.com/title/tt7545266/?ref_=sr_t_15,2020,1h 23m,R,4.7,16K,Two friends with very different ideals start a beauty company together. One is more practical while the other wants to earn her fortune and live a lavish lifestyle.
16. The War with Grandpa,https://www.imdb.com/title/tt4532038/?ref_=sr_t_16,2020,1h 34m,PG,5.7,26K,"Upset that he has to share the room he loves with his grandfather, Peter decides to declare war in an attempt to get it back."
17. Unhinged,https://www.imdb.com/title/tt10059518/?ref_=sr_t_17,2020,1h 30m,R,6.0,82K,"After a confrontation with an unstable man at an intersection, a woman becomes the target of his rage."
18. The Photograph,https://www.imdb.com/title/tt7798646/?ref_=sr_t_18,2020,1h 46m,PG-13,6.1,6.4K,A series of intertwining love stories set in the past and in the present.
19. Underwater,https://www.imdb.com/title/tt5774060/?ref_=sr_t_19,2020,1h 35m,PG-13,5.9,102K,A crew of oceanic researchers working for a deep sea drilling company try to get to safety after a mysterious earthquake devastates their deepwater research and drilling facility located at the bottom of the Mariana Trench.
20. The Turning,https://www.imdb.com/title/tt7510346/?ref_=sr_t_20,2020,1h 34m,PG-13,3.9,17K,"A young governess is hired to look after an orphaned girl, but the return of the girl's problematic brother uncovers secrets from their past. A modern take on Henry James' novella ""The Turn of the Screw."""
21. Gretel & Hansel,https://www.imdb.com/title/tt9086228/?ref_=sr_t_21,2020,1h 27m,PG-13,5.5,36K,"In a distant land, two siblings, Hansel and Gretel, wander through the woods in search of food and work. When a mysterious lady offers them a way out, they accept without thinking about the consequences."
22. Monster Hunter,https://www.imdb.com/title/tt6475714/?ref_=sr_t_22,2020,1h 43m,PG-13,5.2,71K,"When Cpt. Artemis and her loyal soldiers are transported to a new world, they engage in a desperate battle for survival against enormous enemies with incredible powers. Feature film based on the video game by Capcom."
23. Honest Thief,https://www.imdb.com/title/tt1838556/?ref_=sr_t_23,2020,1h 39m,PG-13,6.0,60K,"Wanting to lead an honest life, a notorious bank robber turns himself in, only to be double-crossed by two ruthless FBI agents."
24. The Way Back,https://www.imdb.com/title/tt8544498/?ref_=sr_t_24,2020,1h 48m,R,6.7,54K,"Jack Cunningham was a high school basketball phenom who walked away from the game, forfeiting his future. Years later, when he reluctantly accepts a coaching job at his alma mater, he may get one last shot at redemption."
