Title,Movie Link,Year,Duration,MPA,Rating,Votes,Description,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
1. Mary Poppins,https://www.imdb.com/title/tt0058331/?ref_=sr_t_1,1964,2h 19m,G,7.8,192K,"In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.",6000000.0,103125597.0,102272727.0,,['Robert Stevenson'],"['Bill Walsh', 'Don DaGradi', 'P.L. Travers']","['Julie Andrews', 'Dick Van Dyke', 'David Tomlinson']","['Classic Musical', 'Comedy', 'Family', 'Fantasy', 'Musical']",['United States'],"['Walt Disney Studios, 500 South Buena Vista Street, Burbank, California, USA']",['Walt Disney Productions'],['English'],23,17,5,1964
2. My Fair Lady,https://www.imdb.com/title/tt0058385/?ref_=sr_t_2,1964,2h 50m,G,7.7,104K,"In 1910s London, snobbish phonetics professor Henry Higgins agrees to a wager that he can make a crude flower girl, Eliza Doolittle, presentable in high society.",17000000.0,72685970.0,72560711.0,354764.0,['George Cukor'],"['Alan Jay Lerner', 'George Bernard Shaw']","['Audrey Hepburn', 'Rex Harrison', 'Stanley Holloway']","['Classic Musical', 'Drama', 'Family', 'Musical', 'Romance']",['United States'],"['Stage 16, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA']",['Warner Bros.'],['English'],26,13,8,1964
3. Goldfinger,https://www.imdb.com/title/tt0058150/?ref_=sr_t_3,1964,1h 50m,Approved,7.7,208K,"While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve.",3000000.0,51220312.0,51081062.0,,['Guy Hamilton'],"['Richard Maibaum', 'Paul Dehn', 'Ian Fleming']","['Sean Connery', 'Gert Fröbe', 'Honor Blackman']","['Spy', 'Action', 'Adventure', 'Thriller']",['United States'],"['Goldfinger Avenue, Pinewood Studios, Iver Heath, Buckinghamshire, England, UK']",['Eon Productions'],"['English', 'Chinese', 'Spanish']",7,6,1,1964
4. A Fistful of Dollars,https://www.imdb.com/title/tt0058461/?ref_=sr_t_4,1964,1h 39m,R,7.9,241K,"A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge.",200000.0,14516248.0,14500000.0,,['Sergio Leone'],"['Adriano Bolzoni', 'Mark Lowell', 'Víctor Andrés Catena']","['Clint Eastwood', 'Gian Maria Volontè', 'Marianne Koch']","['Spaghetti Western', 'Drama', 'Western']","['Italy', 'Spain', 'West Germany']","['Cabo de Gata, Almería, Andalucía, Spain']","['Jolly Film', 'Constantin Film', 'Ocean Films']","['Italian', 'English']",0,5,0,1964
5. A Shot in the Dark,https://www.imdb.com/title/tt0058586/?ref_=sr_t_5,1964,1h 42m,Approved,7.3,32K,Bumbling Inspector Jacques Clouseau falls in love with murder suspect Maria Gambrelli and tries to clear her name.,,12368817.0,12368234.0,,['Blake Edwards'],"['Blake Edwards', 'William Peter Blatty', 'Harry Kurnitz']","['Peter Sellers', 'Elke Sommer', 'George Sanders']","['Bumbling Detective', 'Farce', 'Whodunnit', 'Comedy', 'Crime', 'Mystery']","['United Kingdom', 'United States']","['Luton Hoo Estate, Luton, Bedfordshire, England, UK']","['The Mirisch Corporation', 'Mirisch Films']","['English', 'Spanish']",0,3,0,1964
6. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,https://www.imdb.com/title/tt0057012/?ref_=sr_t_6,1964,1h 35m,PG,8.3,534K,"A mentally unstable American general orders a hydrogen bomb attack on the Soviet Union, triggering a path to global nuclear holocaust that a war room full of politicians and generals frantically tries to stop.",1800000.0,9631984.0,9440272.0,11751.0,['Stanley Kubrick'],"['Stanley Kubrick', 'Terry Southern', 'Peter George']","['Peter Sellers', 'George C. Scott', 'Sterling Hayden']","['Dark Comedy', 'Farce', 'Political Drama', 'Satire', 'Tragedy', 'Comedy', 'War']","['United Kingdom', 'United States']","['Banff National Park, Alberta, Canada']",['Stanley Kubrick Productions'],"['English', 'Russian']",14,11,4,1964
"7. Hey There, It's Yogi Bear",https://www.imdb.com/title/tt0154587/?ref_=sr_t_7,1964,1h 29m,G,6.5,1.2K,"In the end, Ranger Smith on the helicopter take Yogi, Boo Boo and Cindy home from the tallest building.",,2438233.0,2438233.0,414552.0,"['Joseph Barbera', 'William Hanna']","['Joseph Barbera', 'Warren Foster', 'William Hanna']","['Daws Butler', 'Don Messick', 'Julie Bennett']","['Adventure', 'Animation', 'Comedy', 'Family', 'Musical', 'Romance']",['United States'],[],"['Columbia Pictures', 'Hanna-Barbera Productions']",['English'],0,0,0,1964
8. A Hard Day's Night,https://www.imdb.com/title/tt0058182/?ref_=sr_t_8,1964,1h 27m,G,7.5,49K,"Over two ""typical"" days in the life of The Beatles, the boys struggle to keep themselves and Sir Paul McCartney's mischievous grandfather in check while preparing for a live TV performance.",560000.0,2368408.0,1480356.0,50445.0,['Richard Lester'],['Alun Owen'],"['John Lennon', 'Paul McCartney', 'George Harrison']","['Jukebox Musical', 'Pop Musical', 'Rock Musical', 'Comedy', 'Musical']","['United Kingdom', 'United States']","['Notting Hill Gate, Notting Hill, London, England, UK']","['Walter Shenson Films', 'Proscenium Films']","['English', 'German', 'French']",2,7,2,1964
9. I Am Cuba,https://www.imdb.com/title/tt0058604/?ref_=sr_t_9,1964,2h 21m,Not Rated,8.2,11K,Four vignettes about the lives of the Cuban people set during the pre-revolutionary era.,,274098.0,168100.0,,['Mikhail Kalatozov'],"['Enrique Pineda Barnet', 'Yevgeniy Yevtushenko']","['Sergio Corrieri', 'Salvador Wood', 'José Gallardo']",['Drama'],"['Cuba', 'Soviet Union']","['Calle M & 23 Ave, Havana, Cuba']","['Mosfilm', 'Instituto Cubano del Arte e Industrias Cinematográficos (ICAIC)']","['Spanish', 'English']",2,0,0,1964
10. Becket,https://www.imdb.com/title/tt0057877/?ref_=sr_t_10,1964,2h 28m,PG-13,7.8,16K,"King Henry II of England comes to terms with his affection for his close friend and confidant Thomas Becket, who finds his true honor by observing God's divine will rather than the King's.",3000000.0,149327.0,149327.0,7912.0,['Peter Glenville'],"['Jean Anouilh', 'Lucienne Hill', 'Edward Anhalt']","['Richard Burton', ""Peter O'Toole"", 'John Gielgud']","['Epic', 'Historical Epic', 'Period Drama', 'Political Drama', 'Biography', 'Drama', 'History']","['United Kingdom', 'United States']","['Alnwick Castle, Alnwick, Northumberland, England, UK']","['Wallis-Hazen', 'Keep Films']","['English', 'Latin', 'Welsh']",14,23,1,1964
