Title,Movie Link,Year,Duration,MPA,Rating,Votes,Description
1. Rocky,https://www.imdb.com/title/tt0075148/?ref_=sr_t_1,1976,2h,PG,8.1,653K,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.
2. A Star Is Born,https://www.imdb.com/title/tt0075265/?ref_=sr_t_2,1976,2h 19m,R,6.1,14K,"Has-been singing idol John Norman Howard falls in love with young, up-and-coming songstress Esther Hoffman in Frank Pierson's version of the classic love story updated to the rock and roll era."
3. All the President's Men,https://www.imdb.com/title/tt0074119/?ref_=sr_t_3,1976,2h 18m,PG,7.9,130K,"""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation."
4. The Omen,https://www.imdb.com/title/tt0075005/?ref_=sr_t_4,1976,1h 51m,R,7.5,140K,Mysterious deaths surround an American ambassador. Could the child that he is raising actually be the Antichrist? The Devil's own son?
5. King Kong,https://www.imdb.com/title/tt0074751/?ref_=sr_t_5,1976,2h 14m,PG,6.0,37K,A petroleum exploration expedition comes to an isolated island and encounters a colossal giant gorilla.
6. Silver Streak,https://www.imdb.com/title/tt0075223/?ref_=sr_t_6,1976,1h 54m,PG,6.9,22K,"On a long-distance train trip, a man finds romance but also finds himself in danger of being killed, or at least pushed off the train."
7. The Enforcer,https://www.imdb.com/title/tt0074483/?ref_=sr_t_7,1976,1h 36m,R,6.7,51K,"Inspector ""Dirty"" Harry Callahan reluctantly teams up with rookie Inspector Kate Moore to foil a terrorist organization made up of disgruntled Vietnam veterans."
8. Silent Movie,https://www.imdb.com/title/tt0075222/?ref_=sr_t_8,1976,1h 27m,PG,6.7,19K,A film director and his strange friends struggle to produce the first major silent feature film in forty years.
9. The Pink Panther Strikes Again,https://www.imdb.com/title/tt0075066/?ref_=sr_t_9,1976,1h 43m,PG,7.1,33K,"After escaping from an insane asylum, the bonkers Charles Dreyfus sends 26 assassins on the trail of the forever bumbling Inspector Clouseau."
10. Carrie,https://www.imdb.com/title/tt0074285/?ref_=sr_t_10,1976,1h 38m,R,7.4,216K,"Carrie White, a shy, friendless teenage girl who is sheltered by her domineering, religious mother, unleashes her telekinetic powers after being humiliated by her classmates at her senior prom."
11. The Bad News Bears,https://www.imdb.com/title/tt0074174/?ref_=sr_t_11,1976,1h 42m,PG,7.3,26K,"An aging, down-on-his-luck ex-minor leaguer coaches a team of misfits in an ultra-competitive California little league."
12. The Outlaw Josey Wales,https://www.imdb.com/title/tt0075029/?ref_=sr_t_12,1976,2h 15m,PG,7.8,82K,Missouri farmer Josey Wales joins a Confederate guerrilla unit and winds up on the run from the Union soldiers who murdered his family.
13. Taxi Driver,https://www.imdb.com/title/tt0075314/?ref_=sr_t_13,1976,1h 54m,R,8.2,965K,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action."
14. Freaky Friday,https://www.imdb.com/title/tt0076054/?ref_=sr_t_14,1976,1h 38m,G,6.3,15K,A mother and daughter find their personalities switched and have to live each other's lives on one strange Friday.
15. Network,https://www.imdb.com/title/tt0074958/?ref_=sr_t_15,1976,2h 1m,R,8.1,177K,"A television network cynically exploits a deranged former anchor's ravings and revelations about mass media for its own profit, but finds that his message may be difficult to control."
16. Gus,https://www.imdb.com/title/tt0074599/?ref_=sr_t_16,1976,1h 36m,G,5.7,2.2K,"The inept 'California Atoms,' floundering in the cellar of the National Football League, welcome the team's newest member - a mule capable of place kicking a football 100 yards with deadly accuracy."
17. Marathon Man,https://www.imdb.com/title/tt0074860/?ref_=sr_t_17,1976,2h 5m,R,7.4,72K,"After the murder of his older brother, a New York history student is hounded by shadowy government agents on the trail of a Nazi war criminal who is trying to retrieve smuggled diamonds."
18. Lipstick,https://www.imdb.com/title/tt0074802/?ref_=sr_t_18,1976,1h 29m,R,5.6,2.9K,A top fashion model seeks justice after getting sexually assaulted by her teenage sister's obsessive music teacher.
19. The Shootist,https://www.imdb.com/title/tt0075213/?ref_=sr_t_19,1976,1h 40m,PG,7.6,28K,A dying gunfighter spends his last days looking for a way to die with a minimum of pain and a maximum of dignity.
20. Lifeguard,https://www.imdb.com/title/tt0074798/?ref_=sr_t_20,1976,1h 36m,PG,6.6,1.9K,"Rick, still in his 30's, works full-time as a lifeguard on the beaches of Los Angeles. When he meets his divorced high school girlfriend and her five-year-old son after fifteen years, he considers switching to a more ""serious"" job."
"21. That's Entertainment, Part II",https://www.imdb.com/title/tt0075323/?ref_=sr_t_21,1976,2h 13m,G,7.3,2.5K,"The second installment in the ""That's Entertainment"" trilogy features more classic scenes from MGM's vast musical library with the addition of comedy and drama films."
22. The Big Bus,https://www.imdb.com/title/tt0074205/?ref_=sr_t_22,1976,1h 28m,PG,5.7,3.9K,"A nuclear powered bus driving cross-country, from New York City to Colorado, is destined for disaster due to the machinations of a mysterious group allied with the oil lobby."
23. Bugsy Malone,https://www.imdb.com/title/tt0074256/?ref_=sr_t_23,1976,1h 33m,G,6.8,20K,The classic gangster story of Bugsy Malone told with an all-child cast.
24. The Tenant,https://www.imdb.com/title/tt0074811/?ref_=sr_t_24,1976,2h 6m,R,7.5,49K,A bureaucrat rents a Paris apartment where he finds himself drawn into a rabbit hole of dangerous paranoia.
25. The Last Tycoon,https://www.imdb.com/title/tt0074777/?ref_=sr_t_25,1976,2h 3m,PG,6.2,9.8K,F. Scott Fitzgerald's novel is brought to life in this story of a movie producer slowly working himself to death.
26. Mr. Klein,https://www.imdb.com/title/tt0074916/?ref_=sr_t_26,1976,2h 3m,PG,7.5,9.9K,"In German-occupied Paris, an immoral art dealer, Robert Klein, leads a life of luxury, until a copy of a Jewish newspaper brings him to the attention of the police, linking him with a mysterious doppelgänger. Will Mr. Klein clear his name?"
27. The Man Who Fell to Earth,https://www.imdb.com/title/tt0074851/?ref_=sr_t_27,1976,2h 19m,R,6.6,30K,"An alien must pose as a human to save his dying planet, but a woman and greed of other men create complications."
28. Pantaleon,https://www.imdb.com/title/tt0073510/?ref_=sr_t_28,1976,1h 40m,R,6.0,95,"The Peruvian army captain Pantaleon Pantoja, a very serious and efficient officer, is chosen to set up a special service of 'visitors' to satisfy the sexual needs of the soldiers posted on remote jungle outposts."
29. Small Change,https://www.imdb.com/title/tt0074152/?ref_=sr_t_29,1976,1h 44m,PG,7.6,6.6K,"The lives of a motherless boy, who is just starting to get interested in women, and his physically abused friend, who lives in poverty, are mixed with more or less innocent childhood experiences and challenges of a number of children."
30. The Innocent,https://www.imdb.com/title/tt0074686/?ref_=sr_t_30,1976,1h 52m,R,7.4,4.5K,"Tullio Hermil is a chauvinist aristocrat who flaunts his mistress to his wife, but when he believes she has been unfaithful, he becomes enamored of her again."
31. Master of the Flying Guillotine,https://www.imdb.com/title/tt0072913/?ref_=sr_t_31,1976,1h 21m,R,7.4,5K,"After his students are killed by the One Armed Boxer, a vengeful and blind Kung Fu expert travels to a village where a martial arts contest is being held and vows to behead every one armed man he comes across."
32. A Real Young Girl,https://www.imdb.com/title/tt0135024/?ref_=sr_t_32,1976,1h 29m,Unrated,5.3,4.5K,"Reluctantly, a sulky adolescent returns to her parents' house for yet another boring summer vacation, dabbling in desire and the art of desirability, eventually mixing reality with vision, caged fantasies with the fierce female sexuality."
33. Stranger and the Fog,https://www.imdb.com/title/tt0071549/?ref_=sr_t_33,1976,2h 26m,,7.5,352,"In a remote Iranian village, a boat arrives with a wounded man, Ayat, who has amnesia. Widow Ra'na is interested in him, causing family tensions. Villagers ask Ayat to marry, but he chooses Ra'na, leading to trouble."
34. Chinese Roulette,https://www.imdb.com/title/tt0074312/?ref_=sr_t_34,1976,1h 26m,Not Rated,7.2,4.9K,"Both parents of a young teen who walks with crutches secretly meet their lovers, who both surprise each other at the family's country home. The daughter arrives and initiates a guessing game of ""Chinese roulette."""
35. Satan's Brew,https://www.imdb.com/title/tt0075165/?ref_=sr_t_35,1976,1h 52m,,6.7,2.2K,"A famous poet who hasn't written a word in two years unconsciously plagiarizes the work of Stefan George, while dealing with several mistresses, his dim-witted brother, and a murder investigation."
"36. Ugly, Dirty and Bad",https://www.imdb.com/title/tt0074252/?ref_=sr_t_36,1976,1h 55m,Not Rated,7.7,9.4K,"Four generations of a family live in a shantytown in the outskirts of Rome. The household engages in various forms of sexual idiosyncrasies, land swindles, incest, drugs and adultery."
37. The Marquise of O,https://www.imdb.com/title/tt0074870/?ref_=sr_t_37,1976,1h 42m,PG,7.0,3.1K,A German Marquise has to deal with a pregnancy she cannot explain and an infatuated Russian Count.
38. Chulas Fronteras,https://www.imdb.com/title/tt0074316/?ref_=sr_t_38,1976,58m,,7.3,194,"""Chulas Fronteras"" examines the origins and social significance of the traditional Tejano (or 'Tex-Mex') music that developed along the U.S.-Mexico border."
39. Logan's Run,https://www.imdb.com/title/tt0074812/?ref_=sr_t_39,1976,1h 59m,PG,6.8,63K,A police officer in the future uncovers the deadly secret behind a society that worships youth.
40. Marie-poupée,https://www.imdb.com/title/tt0250575/?ref_=sr_t_40,1976,2h,,6.3,384,"17-year-old orphan Marie, with stunted maturity, meets affluent doll collector Claude. Unaware of his unhealthy obsession, she agrees to visit his doll collection. Despite her naivety, they marry, foreshadowing a disturbing dynamic."
41. In the Realm of the Senses,https://www.imdb.com/title/tt0074102/?ref_=sr_t_41,1976,1h 49m,NC-17,6.6,24K,"A fictionalized retelling of the story of Sada Abe, whose affair with her master quickly turned obsessive and sadomasochistic."
42. Madam Kitty,https://www.imdb.com/title/tt0075163/?ref_=sr_t_42,1976,2h 9m,X,5.4,5.3K,"After an SS officer wiretaps a brothel and replaces its prostitutes with spies to obtain blackmail on the clientele, the Madam and a vengeful young hooker seek to bring about his downfall."
43. The Eagle Has Landed,https://www.imdb.com/title/tt0074452/?ref_=sr_t_43,1976,2h 3m,PG,6.9,26K,A German plot to kidnap Prime Minister Winston Churchill unfolds at the height of World War II.
44. Murder by Death,https://www.imdb.com/title/tt0074937/?ref_=sr_t_44,1976,1h 35m,PG,7.2,43K,Five famous literary detective characters and their sidekicks are invited to a bizarre mansion to solve an even stranger mystery.
45. 1900,https://www.imdb.com/title/tt0074084/?ref_=sr_t_45,1976,5h 17m,Unrated,7.6,28K,The epic tale of a class struggle in twentieth-century Italy as seen through the eyes of two childhood friends on opposing sides.
"46. Alice, Sweet Alice",https://www.imdb.com/title/tt0076150/?ref_=sr_t_46,1976,1h 47m,R,6.4,14K,"In 1961, divorced Catholic couple Dom and Catherine Spages' life is upended when their teenage daughter Alice is suspected of her younger sister Karen's brutal murder during her First Holy Communion and a series of stabbings follow."
47. The Front,https://www.imdb.com/title/tt0074554/?ref_=sr_t_47,1976,1h 35m,PG,7.3,9.9K,"In 1953, a cashier poses as a writer for blacklisted talents to submit their work through, but the injustice around him pushes him to take a stand."
48. Assault on Precinct 13,https://www.imdb.com/title/tt0074156/?ref_=sr_t_48,1976,1h 31m,R,7.3,58K,"A highway patrol officer, two criminals, and a station secretary defend a defunct Los Angeles precinct office against a siege by a bloodthirsty street gang."
49. Up!,https://www.imdb.com/title/tt0075376/?ref_=sr_t_49,1976,1h 20m,X,5.8,3.3K,It begins with the murder of one Adolf Schwartz--who bears a striking resemblance to another famous Adolf--via a ravenous piranha fish in his bathtub.
50. The Message,https://www.imdb.com/title/tt0074896/?ref_=sr_t_50,1976,2h 57m,PG,8.1,52K,"Historical fresco recounting the life and times of the Prophet Mohammed, the last of the Abrahamic religion, in the sense that, according to Islam, he completed and sealed the monotheistic revelation made to Abraham."
51. The Little Girl Who Lives Down the Lane,https://www.imdb.com/title/tt0074806/?ref_=sr_t_51,1976,1h 31m,PG,7.0,19K,"A thirteen-year-old girl, who lives with her absentee father, befriends a disabled teenage amateur magician and invites him, gradually, into her tenuous struggle against a predatory local neighbor."
52. The First Nudie Musical,https://www.imdb.com/title/tt0074533/?ref_=sr_t_52,1976,1h 37m,R,5.4,1K,"The heir to a bankrupt studio decides to make a daring musical to avoid demolition, agreeing to finish it in two weeks or lose ownership."
53. Futureworld,https://www.imdb.com/title/tt0074559/?ref_=sr_t_53,1976,1h 48m,PG,5.7,12K,"Upon attempting to divulge a diabolical plot of the futuristic theme park, Futureworld, an ex-employee is dispatched after he tips off the reporter who exposed Westworld. The reporter and his ex-co-reporter investigate the situation."
54. Midway,https://www.imdb.com/title/tt0074899/?ref_=sr_t_54,1976,2h 12m,PG,6.8,22K,A dramatization of the battle that was widely heralded as a turning point of the Pacific Theatre of World War II.
55. Two-Minute Warning,https://www.imdb.com/title/tt0075359/?ref_=sr_t_55,1976,1h 55m,R,6.2,4.5K,A crazed sniper is set to kill spectators at an L.A. Coliseum football championship game and the police race against time to eliminate him.
56. The Cassandra Crossing,https://www.imdb.com/title/tt0074292/?ref_=sr_t_56,1976,2h 9m,R,6.3,10K,Passengers on a European train have been exposed to a deadly disease. Nobody will let them off the train. So what happens next?
57. Shining Sex,https://www.imdb.com/title/tt0232633/?ref_=sr_t_57,1976,1h 45m,Unrated,4.7,505,"Cynthia, an exotic dancer in a upscale resort in Southern France, is seduced by a strange couple: Alpha, a being from another dimension and her human slave, Andros."
58. Bobbie Jo and the Outlaw,https://www.imdb.com/title/tt0074228/?ref_=sr_t_58,1976,1h 28m,R,5.4,1.4K,"Aimless country girl Bobbie Jo Baker abandons her carhop job to join Wild West outlaw wannabe Lyle Wheeler for an adventure in theft, mayhem, and murder."
59. Shout at the Devil,https://www.imdb.com/title/tt0075214/?ref_=sr_t_59,1976,2h 30m,PG,6.1,3.6K,"During World War I, a British aristocrat, an American entrepreneur, and the latter's attractive young daughter, set out to destroy a German battlecruiser, which is awaiting repairs in an inlet just off Zanzibar."
60. Casanova,https://www.imdb.com/title/tt0074291/?ref_=sr_t_60,1976,2h 35m,R,7.0,9K,Giacomo Casanova uses his sexuality to find his place in life amid eccentric and strange characters.
