Title,Movie Link,Year,Duration,MPA,Rating,Votes,Description
1. Toy Story 3,https://www.imdb.com/title/tt0435761/?ref_=sr_t_1,2010,1h 43m,G,8.3,922K,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
2. Alice in Wonderland,https://www.imdb.com/title/tt1014759/?ref_=sr_t_2,2010,1h 48m,PG,6.4,452K,"Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror."
3. Iron Man 2,https://www.imdb.com/title/tt1228705/?ref_=sr_t_3,2010,2h 4m,PG-13,6.9,894K,"With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy."
4. The Twilight Saga: Eclipse,https://www.imdb.com/title/tt1325004/?ref_=sr_t_4,2010,2h 4m,PG-13,5.1,268K,"As a string of mysterious killings grips Seattle, Bella, whose high school graduation is fast approaching, is forced to choose between her love for vampire Edward and her friendship with werewolf Jacob."
5. Harry Potter and the Deathly Hallows: Part 1,https://www.imdb.com/title/tt0926084/?ref_=sr_t_5,2010,2h 26m,PG-13,7.7,624K,"Harry Potter is tasked with the dangerous and seemingly impossible task of locating and destroying Voldemort's remaining Horcruxes. Harry must rely on Ron and Hermione more than ever, but dark forces threaten to tear them apart."
6. Inception,https://www.imdb.com/title/tt1375666/?ref_=sr_t_6,2010,2h 28m,PG-13,8.8,2.7M,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
7. Despicable Me,https://www.imdb.com/title/tt1323594/?ref_=sr_t_7,2010,1h 35m,PG,7.6,604K,"Gru, a criminal mastermind, adopts three orphans as pawns to carry out the biggest heist in history. His life takes an unexpected turn when the little girls see the evildoer as their potential father."
8. Shrek Forever After,https://www.imdb.com/title/tt0892791/?ref_=sr_t_8,2010,1h 33m,PG,6.3,232K,Rumpelstiltskin tricks a mid-life crisis burdened Shrek into allowing himself to be erased from existence and cast in a dark alternate timeline where Rumpelstiltskin rules supreme.
9. How to Train Your Dragon,https://www.imdb.com/title/tt0892769/?ref_=sr_t_9,2010,1h 38m,PG,8.1,832K,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
10. Tangled,https://www.imdb.com/title/tt0398286/?ref_=sr_t_10,2010,1h 40m,PG,7.7,514K,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is."
11. The Karate Kid,https://www.imdb.com/title/tt1155076/?ref_=sr_t_11,2010,2h 20m,PG,6.2,214K,"Work causes a single mother to move to China with her young son; in his new home, the 12-year-old boy embraces Kung Fu, taught to him by a master."
12. Tron: Legacy,https://www.imdb.com/title/tt1104001/?ref_=sr_t_12,2010,2h 5m,PG,6.8,363K,The son of a virtual world designer goes looking for his father and ends up inside the digital world that his father designed. He meets his father's corrupted creation and a unique ally who was born inside the digital world.
13. True Grit,https://www.imdb.com/title/tt1403865/?ref_=sr_t_13,2010,1h 50m,PG-13,7.6,365K,A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.
14. Clash of the Titans,https://www.imdb.com/title/tt0800320/?ref_=sr_t_14,2010,1h 46m,PG-13,5.8,298K,"Perseus, a demigod and the son of Zeus, battles the minions of Hades and the Underworld in order to stop them from conquering Olympus and Earth."
15. Grown Ups,https://www.imdb.com/title/tt1375670/?ref_=sr_t_15,2010,1h 42m,PG-13,6.0,291K,"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend."
16. Little Fockers,https://www.imdb.com/title/tt0970866/?ref_=sr_t_16,2010,1h 38m,PG-13,5.5,122K,"Family-patriarch Jack Byrnes wants to appoint a successor. Does his son-in-law, the male nurse Greg Focker, have what it takes?"
17. Megamind,https://www.imdb.com/title/tt1001526/?ref_=sr_t_17,2010,1h 35m,PG,7.3,307K,"Evil genius Megamind finally defeats his do-gooder nemesis, Metro Man, but is left without a purpose in a superhero-free world."
18. The King's Speech,https://www.imdb.com/title/tt1504320/?ref_=sr_t_18,2010,1h 58m,R,8.0,718K,"The story of King George VI, his unexpected ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer."
19. The Last Airbender,https://www.imdb.com/title/tt0938283/?ref_=sr_t_19,2010,1h 43m,PG,4.0,178K,"Aang, a young successor to a long line of Avatars, must master all four elements and stop the Fire Nation from enslaving the Water Tribes and the Earth Kingdom."
20. Shutter Island,https://www.imdb.com/title/tt1130884/?ref_=sr_t_20,2010,2h 18m,R,8.2,1.5M,Two US marshals are sent to a mental institution on an inhospitable island in order to investigate the disappearance of a patient.
21. The Other Guys,https://www.imdb.com/title/tt1386588/?ref_=sr_t_21,2010,1h 47m,PG-13,6.7,297K,"Two mismatched New York City detectives seize an opportunity to step up like the city's top cops, whom they idolize, only things don't quite go as planned."
22. Salt,https://www.imdb.com/title/tt0944835/?ref_=sr_t_22,2010,1h 40m,PG-13,6.5,336K,A CIA agent goes on the run after a defector accuses her of being a Russian spy.
23. Jackass 3D,https://www.imdb.com/title/tt1116184/?ref_=sr_t_23,2010,1h 34m,R,7.0,70K,"Johnny Knoxville and company return for the third installment of their TV show spin-off, where dangerous stunts and explicit public displays rule."
24. Valentine's Day,https://www.imdb.com/title/tt0817230/?ref_=sr_t_24,2010,2h 5m,PG-13,5.7,127K,Intertwining couples and singles in Los Angeles break-up and make-up based on the pressures and expectations of Valentine's Day.
25. Black Swan,https://www.imdb.com/title/tt0947798/?ref_=sr_t_25,2010,1h 48m,R,8.0,851K,"Nina is a talented but unstable ballerina on the verge of stardom. Pushed to the breaking point by her artistic director and a seductive rival, Nina's grip on reality slips, plunging her into a waking nightmare."
26. Robin Hood,https://www.imdb.com/title/tt0955308/?ref_=sr_t_26,2010,2h 20m,PG-13,6.6,289K,"In twelfth-century England, Robin Longstride and his band of marauders confront corruption in a local village and lead an uprising against the crown that will forever alter the balance of world power."
