Movie Link,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
https://www.imdb.com/title/tt0435761/?ref_=sr_t_1,200000000.0,1067316101,415004880,110307189,['Lee Unkrich'],"['John Lasseter', 'Andrew Stanton', 'Lee Unkrich']","['Tom Hanks', 'Tim Allen', 'Joan Cusack']","['Computer Animation', 'Supernatural Fantasy', 'Urban Adventure', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",['United States'],"['Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA']","['Walt Disney Pictures', 'Pixar Animation Studios']","['English', 'Spanish']",63,96,2,2010
https://www.imdb.com/title/tt1014759/?ref_=sr_t_2,200000000.0,1025468216,334191110,116101023,['Tim Burton'],"['Linda Woolverton', 'Lewis Carroll']","['Mia Wasikowska', 'Johnny Depp', 'Helena Bonham Carter']","['Dark Fantasy', 'Fairy Tale', 'Adventure', 'Family', 'Fantasy', 'Mystery']","['United States', 'Italy', 'Canada', 'Japan', 'United Kingdom']","['Antony House, Torpoint, Cornwall, England, UK']","['Walt Disney Pictures', 'Roth Films', 'Team Todd']",['English'],35,65,2,2010
https://www.imdb.com/title/tt1228705/?ref_=sr_t_3,200000000.0,623933331,312433331,128122480,['Jon Favreau'],"['Justin Theroux', 'Stan Lee', 'Don Heck']","['Robert Downey Jr.', 'Mickey Rourke', 'Gwyneth Paltrow']","['Sci-Fi Epic', 'Superhero', 'Action', 'Sci-Fi']",['United States'],"['SpaceX - Rocket Road, Hawthorne, California, USA']","['Paramount Pictures', 'Marvel Entertainment', 'Marvel Studios']","['English', 'French', 'Russian']",7,45,1,2010
https://www.imdb.com/title/tt1325004/?ref_=sr_t_4,68000000.0,698513085,300531751,64832191,['David Slade'],"['Melissa Rosenberg', 'Stephenie Meyer']","['Kristen Stewart', 'Robert Pattinson', 'Taylor Lautner']","['Supernatural Fantasy', 'Teen Fantasy', 'Teen Romance', 'Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery', 'Romance', 'Thriller']",['United States'],"['Belcarra Regional Park, Burrard Inlet, Vancouver, British Columbia, Canada']","['Summit Entertainment', 'Temple Hill Entertainment', 'Maverick Films']",['English'],23,35,0,2010
https://www.imdb.com/title/tt0926084/?ref_=sr_t_5,125000000.0,974919063,296374621,125017372,['David Yates'],"['Steve Kloves', 'J.K. Rowling']","['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint']","['Dark Fantasy', 'Supernatural Fantasy', 'Sword & Sorcery', 'Teen Adventure', 'Teen Fantasy', 'Adventure', 'Family', 'Fantasy', 'Mystery']","['United Kingdom', 'United States']","['Lavenham, Suffolk, England, UK']","['Warner Bros.', 'Heyday Films']","['English', 'Latin']",15,55,2,2010
https://www.imdb.com/title/tt1375666/?ref_=sr_t_6,160000000.0,839030630,292587330,62785337,['Christopher Nolan'],['Christopher Nolan'],"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Elliot Page']","['Action Epic', 'Adventure Epic', 'Epic', 'Psychological Thriller', 'Sci-Fi Epic', 'Action', 'Adventure', 'Sci-Fi', 'Thriller']","['United States', 'United Kingdom']","['Fortress Mountain, Kananaskis Country, Alberta, Canada']","['Warner Bros.', 'Legendary Entertainment', 'Syncopy']","['English', 'Japanese', 'French']",159,220,4,2010
https://www.imdb.com/title/tt1323594/?ref_=sr_t_7,69000000.0,544174973,251683815,56397125,"['Pierre Coffin', 'Chris Renaud']","['Cinco Paul', 'Ken Daurio', 'Sergio Pablos']","['Steve Carell', 'Jason Segel', 'Russell Brand']","['Computer Animation', 'Slapstick', 'Urban Adventure', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Sci-Fi']","['United States', 'France']",[],"['Universal Pictures', 'Illumination Entertainment']",['English'],3,41,0,2010
https://www.imdb.com/title/tt0892791/?ref_=sr_t_8,165000000.0,752600867,238736787,70838207,['Mike Mitchell'],"['Josh Klausner', 'Darren Lemke', 'William Steig']","['Mike Myers', 'Cameron Diaz', 'Eddie Murphy']","['Computer Animation', 'Fairy Tale', 'Parody', 'Slapstick', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Romance']","['United States', 'France']",[],['DreamWorks Animation'],['English'],0,13,0,2010
https://www.imdb.com/title/tt0892769/?ref_=sr_t_9,165000000.0,494879860,217581231,43732319,"['Dean DeBlois', 'Chris Sanders']","['William Davies', 'Dean DeBlois', 'Chris Sanders']","['Jay Baruchel', 'Gerard Butler', 'Christopher Mintz-Plasse']","['Computer Animation', 'Sword & Sorcery', 'Teen Fantasy', 'Action', 'Adventure', 'Animation', 'Family', 'Fantasy']","['United States', 'France', 'United Kingdom']",[],"['DreamWorks Animation', 'Mad Hatter Entertainment', 'Vertigo Entertainment']",['English'],25,63,2,2010
https://www.imdb.com/title/tt0398286/?ref_=sr_t_10,260000000.0,591806017,200821936,48767052,"['Nathan Greno', 'Byron Howard']","['Dan Fogelman', 'Jacob Grimm', 'Wilhelm Grimm']","['Mandy Moore', 'Zachary Levi', 'Donna Murphy']","['Computer Animation', 'Fairy Tale', 'Feel-Good Romance', 'Pop Musical', 'Teen Adventure', 'Teen Comedy', 'Teen Fantasy', 'Teen Romance', 'Adventure', 'Animation']","['United States', 'Japan']","['Norden, Germany']","['Walt Disney Pictures', 'Walt Disney Animation Studios']","['English', 'German']",10,42,1,2010
https://www.imdb.com/title/tt1155076/?ref_=sr_t_11,40000000.0,359126022,176591618,55665805,['Harald Zwart'],"['Christopher Murphey', 'Robert Mark Kamen']","['Jackie Chan', 'Jaden Smith', 'Taraji P. Henson']","['Action', 'Drama', 'Family', 'Sport']","['China', 'Hong Kong', 'United States']","['Huangshan Mountains, China']","['Columbia Pictures', 'Overbrook Entertainment', 'Jerry Weintraub Productions']","['English', 'Mandarin']",5,12,0,2010
https://www.imdb.com/title/tt1104001/?ref_=sr_t_12,170000000.0,409912892,172062763,44026211,['Joseph Kosinski'],"['Edward Kitsis', 'Adam Horowitz', 'Brian Klugman']","['Jeff Bridges', 'Garrett Hedlund', 'Olivia Wilde']","['Artificial Intelligence', 'Cyberpunk', 'Action', 'Adventure', 'Sci-Fi']","['United States', 'India', 'United Kingdom', 'Mexico', 'Japan', 'Canada']","['Vancouver, British Columbia, Canada']","['Walt Disney Pictures', 'Sean Bailey Productions', 'LivePlanet']",['English'],10,52,1,2010
https://www.imdb.com/title/tt1403865/?ref_=sr_t_13,38000000.0,252278285,171243005,24830443,"['Ethan Coen', 'Joel Coen']","['Joel Coen', 'Ethan Coen', 'Charles Portis']","['Jeff Bridges', 'Matt Damon', 'Hailee Steinfeld']","['Period Drama', 'Drama', 'Western']",['United States'],"['Garson Studios, College of Santa Fe - 1600 Saint Michaels Drive, Santa Fe, New Mexico, USA']","['Paramount Pictures', 'Skydance Media', 'Scott Rudin Productions']",['English'],38,170,10,2010
https://www.imdb.com/title/tt0800320/?ref_=sr_t_14,125000000.0,493214993,163214888,61235105,['Louis Leterrier'],"['Travis Beacham', 'Phil Hay', 'Matt Manfredi']","['Sam Worthington', 'Liam Neeson', 'Ralph Fiennes']","['Fantasy Epic', 'Sword & Sandal', 'Sword & Sorcery', 'Action', 'Adventure', 'Fantasy']","['United States', 'United Kingdom', 'Australia']","['Teide National Park, Tenerife, Canary Islands, Spain']","['Warner Bros.', 'Legendary Entertainment', 'Thunder Road Pictures']",['English'],4,14,0,2010
https://www.imdb.com/title/tt1375670/?ref_=sr_t_15,80000000.0,271457606,162001186,40506562,['Dennis Dugan'],"['Adam Sandler', 'Fred Wolf']","['Adam Sandler', 'Salma Hayek', 'Kevin James']","['Slapstick', 'Comedy']",['United States'],"['99 Centennial Grove Rd, Essex, Massachusetts, USA']","['Columbia Pictures', 'Relativity Media', 'Happy Madison Productions']","['English', 'Spanish']",3,4,0,2010
https://www.imdb.com/title/tt0970866/?ref_=sr_t_16,100000000.0,310650585,148438600,30833665,['Paul Weitz'],"['Greg Glienna', 'Mary Ruth Clarke', 'John Hamburg']","['Ben Stiller', 'Teri Polo', 'Robert De Niro']","['Comedy', 'Romance']",['United States'],"['1960 La France Avenue, South Pasadena, California, USA']","['Universal Pictures', 'Paramount Pictures', 'Relativity Media']","['English', 'Ukrainian']",3,5,0,2010
https://www.imdb.com/title/tt1001526/?ref_=sr_t_17,130000000.0,321885765,148415853,46016833,['Tom McGrath'],"['Alan Schoolcraft', 'Brent Simons']","['Will Ferrell', 'Jonah Hill', 'Brad Pitt']","['Computer Animation', 'Superhero', 'Supernatural Fantasy', 'Urban Adventure', 'Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Family']","['United States', 'Australia']",[],"['DreamWorks Animation', 'Pacific Data Images (PDI)', 'Red Hour Films']",['English'],2,16,0,2010
https://www.imdb.com/title/tt1504320/?ref_=sr_t_18,15000000.0,472088310,138797449,355450,['Tom Hooper'],['David Seidler'],"['Colin Firth', 'Geoffrey Rush', 'Helena Bonham Carter']","['Period Drama', 'Political Drama', 'Biography', 'Drama', 'History']","['United States', 'United Kingdom']","['Elland Road Football Stadium, Elland Road, Beeston, Leeds, West Yorkshire, England, UK']","['The Weinstein Company', 'UK Film Council', 'Momentum Pictures']",['English'],109,206,4,2010
https://www.imdb.com/title/tt0938283/?ref_=sr_t_19,150000000.0,319713881,131772187,40325019,['M. Night Shyamalan'],['M. Night Shyamalan'],"['Noah Ringer', 'Nicola Peltz Beckham', 'Jackson Rathbone']","['Adventure Epic', 'Fantasy Epic', 'Martial Arts', 'Quest', 'Superhero', 'Teen Fantasy', 'Action', 'Adventure', 'Family', 'Fantasy']","['United States', 'Vietnam', 'United Kingdom', 'Canada', 'Denmark']","['The Pagoda, Skyline Drive, Mt. Penn, Reading, Pennsylvania, USA']","['Paramount Pictures', 'Nickelodeon Movies', 'Blinding Edge Pictures']",['English'],8,12,0,2010
https://www.imdb.com/title/tt1130884/?ref_=sr_t_20,80000000.0,294962035,128012934,41062440,['Martin Scorsese'],"['Laeta Kalogridis', 'Dennis Lehane']","['Leonardo DiCaprio', 'Emily Mortimer', 'Mark Ruffalo']","['Psychological Thriller', 'Suspense Mystery', 'Drama', 'Mystery', 'Thriller']",['United States'],"['Peddocks Island, Boston Harbor, Boston, Massachusetts, USA']","['Paramount Pictures', 'Phoenix Pictures', 'Sikelia Productions']","['English', 'German']",11,66,0,2010
https://www.imdb.com/title/tt1386588/?ref_=sr_t_21,100000000.0,170458922,119219978,35543162,['Adam McKay'],"['Adam McKay', 'Chris Henchy']","['Will Ferrell', 'Mark Wahlberg', 'Derek Jeter']","['Buddy Cop', 'Police Procedural', 'Action', 'Comedy', 'Crime', 'Thriller']",['United States'],"[""Nathan's Hot Dogs, Coney Island, Brooklyn, New York City, New York, USA""]","['Columbia Pictures', 'Gary Sanchez Productions', 'Mosaic']","['English', 'Ukrainian']",3,15,0,2010
https://www.imdb.com/title/tt0944835/?ref_=sr_t_22,110000000.0,293503354,118311368,36011243,['Phillip Noyce'],['Kurt Wimmer'],"['Angelina Jolie', 'Liev Schreiber', 'Chiwetel Ejiofor']","['Political Thriller', 'Spy', 'Action', 'Thriller']",['United States'],"['Albany, New York, USA']","['Columbia Pictures', 'Relativity Media', 'Di Bonaventura Pictures']","['English', 'Russian', 'Korean']",4,16,1,2010
https://www.imdb.com/title/tt1116184/?ref_=sr_t_23,20000000.0,171685792,117229692,50353641,['Jeff Tremaine'],"['Jeff Tremaine', 'Johnny Knoxville', 'Bam Margera']","['Johnny Knoxville', 'Steve-O', 'Bam Margera']","['Action', 'Comedy', 'Documentary']",['United States'],"['Santa Clarita, California, USA']","['Dickhouse Productions', 'Film Roman Productions', 'MTV Films']",['English'],0,4,0,2010
