Title,Movie Link,Year,Duration,MPA,Rating,Votes,Description,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
1. Back to the Future,https://www.imdb.com/title/tt0088763/?ref_=sr_t_1,1985,1h 56m,PG,8.5,1.4M,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",19000000.0,385053307,214553307,11152500.0,['Robert Zemeckis'],"['Robert Zemeckis', 'Bob Gale']","['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson']","['High-Concept Comedy', 'Teen Adventure', 'Teen Comedy', 'Time Travel', 'Urban Adventure', 'Adventure', 'Comedy', 'Sci-Fi']",['United States'],"['Whittier High School - 12417 E. Philadelphia Street, Whittier, California, USA']","['Universal Pictures', 'Amblin Entertainment', 'U-Drive Productions']",['English'],27,25,1,1985
2. Rambo: First Blood Part II,https://www.imdb.com/title/tt0089880/?ref_=sr_t_2,1985,1h 36m,R,6.5,188K,Rambo returns to the jungles of Vietnam on a mission to infiltrate an enemy base-camp and rescue the American POWs still held captive there.,25500000.0,300400432,150415432,20176217.0,['George P. Cosmatos'],"['David Morrell', 'Kevin Jarre', 'Sylvester Stallone']","['Sylvester Stallone', 'Richard Crenna', 'Charles Napier']","['Action', 'Adventure', 'Thriller']","['United States', 'Mexico']","['Acapulco, Guerrero, Mexico']","['Estudios Churubusco Azteca S.A.', 'Anabasis N.V.']","['English', 'Vietnamese', 'Russian']",5,7,1,1985
3. Rocky IV,https://www.imdb.com/title/tt0089927/?ref_=sr_t_3,1985,1h 31m,PG,6.9,233K,"Rocky Balboa proudly holds the world heavyweight boxing championship, but a new challenger has stepped forward: Drago, a six-foot-six, 261-pound fighter who has the backing of the Soviet Union.",30000000.0,300473716,127873716,19991537.0,['Sylvester Stallone'],['Sylvester Stallone'],"['Sylvester Stallone', 'Talia Shire', 'Burt Young']","['Boxing', 'Political Drama', 'Drama', 'Sport']",['United States'],"['Jackson Hole, Wyoming, USA']","['United Artists', 'Chartoff-Winkler Productions']","['English', 'Russian']",9,8,0,1985
4. The Color Purple,https://www.imdb.com/title/tt0088939/?ref_=sr_t_4,1985,2h 34m,PG-13,7.7,100K,"A tale spanning forty years in the life of Celie, an African-American woman living in the South who survives incredible abuse and bigotry.",15000000.0,98468102,98467863,1710333.0,['Steven Spielberg'],"['Menno Meyjes', 'Alice Walker']","['Danny Glover', 'Whoopi Goldberg', 'Oprah Winfrey']","['Epic', 'Period Drama', 'Drama']",['United States'],"['Six Points Texas, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA']","['Warner Bros.', 'Amblin Entertainment', 'The Guber-Peters Company']",['English'],14,25,11,1985
5. Out of Africa,https://www.imdb.com/title/tt0089755/?ref_=sr_t_5,1985,2h 41m,PG,7.1,89K,"In 20th-century colonial Kenya, a Danish baroness/plantation owner has a passionate love affair with a free-spirited big-game hunter.",31000000.0,227514205,87071205,3637290.0,['Sydney Pollack'],"['Karen Blixen', 'Judith Thurman', 'Errol Trzebinski']","['Meryl Streep', 'Robert Redford', 'Klaus Maria Brandauer']","['Period Drama', 'Romantic Epic', 'Biography', 'Drama', 'Romance']",['United States'],"['Shaba National Game Reserve, Kenya']",['Mirage Enterprises'],"['English', 'Swahili', 'Arabic']",30,30,7,1985
6. Cocoon,https://www.imdb.com/title/tt0088933/?ref_=sr_t_6,1985,1h 57m,PG-13,6.7,71K,"When a group of trespassing seniors swim in a pool containing alien cocoons, they find themselves energized with youthful vigor.",17500000.0,85313124,76113124,7936427.0,['Ron Howard'],"['Tom Benedek', 'David Saperstein']","['Don Ameche', 'Wilford Brimley', 'Hume Cronyn']","['Comedy', 'Drama', 'Sci-Fi']",['United States'],"['St. Petersburg, Florida, USA']","['Twentieth Century Fox', 'Zanuck/Brown Productions', 'SLM Production Group']",['English'],7,11,2,1985
7. The Jewel of the Nile,https://www.imdb.com/title/tt0089370/?ref_=sr_t_7,1985,1h 46m,PG,6.1,64K,"When Joan Wilder is abducted while on a trip along the Nile, her boyfriend, Jack Colton, and pal Ralph rush to rescue her and retrieve a fabled jewel.",25000000.0,96773200,75973200,6645455.0,['Lewis Teague'],"['Mark Rosenthal', 'Lawrence Konner', 'Diane Thomas']","['Michael Douglas', 'Kathleen Turner', 'Danny DeVito']","['Buddy Comedy', 'Dark Comedy', 'Desert Adventure', 'Action', 'Adventure', 'Comedy', 'Romance']",['United States'],"['Ouarzazate, Morocco']","['SLM Production Group', 'Stone Group Pictures', 'Twentieth Century Fox']","['English', 'Arabic']",0,0,0,1985
8. Witness,https://www.imdb.com/title/tt0090329/?ref_=sr_t_8,1985,1h 52m,R,7.4,108K,"While protecting an Amish boy - who is the sole witness to a brutal murder - and his mother, a detective is forced to seek refuge within their community when his own life is threatened.",12000000.0,68706993,68706993,4539990.0,['Peter Weir'],"['William Kelley', 'Pamela Wallace', 'Earl W. Wallace']","['Harrison Ford', 'Kelly McGillis', 'Lukas Haas']","['Drama', 'Romance', 'Thriller']",['United States'],"['Paul Krantz Farm - 758 Bunker Hill Road, Strasburg, Pennsylvania, USA']","['Paramount Pictures', 'Edward S. Feldman Production']","['English', 'German']",13,28,2,1985
9. The Goonies,https://www.imdb.com/title/tt0089218/?ref_=sr_t_9,1985,1h 54m,PG,7.7,310K,A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's long-lost treasure.,19000000.0,64535652,63711145,9105913.0,['Richard Donner'],"['Chris Columbus', 'Steven Spielberg']","['Sean Astin', 'Josh Brolin', 'Jeff Cohen']","['Quest', 'Teen Adventure', 'Teen Comedy', 'Adventure', 'Comedy', 'Family']",['United States'],"['Cannon Beach, Oregon, USA']","['Warner Bros.', 'Amblin Entertainment']","['English', 'Spanish', 'Cantonese', 'Italian']",4,7,0,1985
10. Spies Like Us,https://www.imdb.com/title/tt0090056/?ref_=sr_t_10,1985,1h 42m,PG,6.4,54K,"Two bumbling government employees think they are U.S. spies, only to discover that they are actually decoys for Nuclear War.",22000000.0,60106536,60106536,8614039.0,['John Landis'],"['Dan Aykroyd', 'Dave Thomas', 'Lowell Ganz']","['Chevy Chase', 'Dan Aykroyd', 'Mark Stewart']","['Buddy Comedy', 'Farce', 'Parody', 'Adventure', 'Comedy']",['United States'],"['Sogndal, Norway']","['Warner Bros.', 'AAR Films', 'Brillstein Company']","['English', 'Russian']",0,0,0,1985
