Title,Movie Link,Year,Duration,MPA,Rating,Votes,Description
1. Star Wars: Episode V - The Empire Strikes Back,https://www.imdb.com/title/tt0080684/?ref_=sr_t_1,1980,2h 4m,PG,8.7,1.4M,"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins training with Jedi Master Yoda, while Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy."
2. Superman II,https://www.imdb.com/title/tt0081573/?ref_=sr_t_2,1980,2h 7m,PG,6.8,118K,"Superman agrees to sacrifice his powers to start a relationship with Lois Lane, unaware that three Kryptonian criminals he inadvertently released are conquering Earth."
3. 9 to 5,https://www.imdb.com/title/tt0080319/?ref_=sr_t_3,1980,1h 49m,PG,6.9,41K,"Employees Violet, Judy, and Dora Lee of sexist, egotistical, lying, hypocritical bigot Franklin Hart Junior find a way to turn the tables on him. Dolly Parton's film debut was later a short-lived TV sitcom and a Broadway musical."
4. Stir Crazy,https://www.imdb.com/title/tt0081562/?ref_=sr_t_4,1980,1h 51m,R,6.7,31K,"Set up and wrongfully accused, two best friends are sent to prison for a crime they didn't commit. However, no prison cell can keep them locked in a cage."
5. Airplane!,https://www.imdb.com/title/tt0080339/?ref_=sr_t_5,1980,1h 28m,PG,7.7,271K,"After the crew becomes sick with food poisoning, a neurotic ex-fighter pilot must safely land a commercial airplane full of passengers."
6. Any Which Way You Can,https://www.imdb.com/title/tt0080377/?ref_=sr_t_6,1980,1h 56m,PG,6.1,22K,"A trucker turned prize fighter, his brother and their pet orangutan have a series of misadventures involving the mob, corrupt cops, motorcycle gangs and pretty dames."
7. Private Benjamin,https://www.imdb.com/title/tt0081375/?ref_=sr_t_7,1980,1h 49m,R,6.2,30K,A sheltered young high-society woman joins the United States Army on a whim and finds herself in a trickier situation than she ever expected.
8. Coal Miner's Daughter,https://www.imdb.com/title/tt0080549/?ref_=sr_t_8,1980,2h 4m,PG,7.5,21K,"The fictionalized life of singer Loretta Lynn, a girl who rose from humble beginnings to become a country music star in the 1960s/70s."
9. Smokey and the Bandit II,https://www.imdb.com/title/tt0081529/?ref_=sr_t_9,1980,1h 40m,PG,5.3,18K,"The Bandit goes on another cross-country run, transporting an elephant from Florida to Texas. And, once again, Sheriff Buford T. Justice is on his tail."
10. The Blue Lagoon,https://www.imdb.com/title/tt0080453/?ref_=sr_t_10,1980,1h 44m,R,5.8,79K,"During the Victorian period, two preteen cousins are shipwrecked on a tropical island in the South Pacific and enjoy a simple life together until puberty complicates matters."
11. The Blues Brothers,https://www.imdb.com/title/tt0080455/?ref_=sr_t_11,1980,2h 13m,R,7.9,220K,"Jake Blues rejoins with his brother Elwood after being released from prison, but the duo has just days to reunite their old R&B band and save the Catholic home where the two were raised, outrunning the police as they tear through Chicago."
12. Ordinary People,https://www.imdb.com/title/tt0081283/?ref_=sr_t_12,1980,2h 4m,R,7.7,59K,"The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother, the good-natured father and the guilt-ridden younger son."
13. Popeye,https://www.imdb.com/title/tt0081353/?ref_=sr_t_13,1980,1h 54m,PG,5.4,36K,The adventures of the famous sailor man and his friends in the seaside town of Sweethaven.
14. Urban Cowboy,https://www.imdb.com/title/tt0081696/?ref_=sr_t_14,1980,2h 12m,PG,6.5,18K,Bud is a young man from the country who learns about life and love in a Houston bar.
15. The Shining,https://www.imdb.com/title/tt0081505/?ref_=sr_t_15,1980,2h 26m,R,8.4,1.2M,"A family heads to an isolated hotel for the winter, where a sinister presence influences the father into violence. At the same time, his psychic son sees horrifying forebodings from both the past and the future."
16. Seems Like Old Times,https://www.imdb.com/title/tt0081480/?ref_=sr_t_16,1980,1h 42m,PG,6.7,11K,"Wrongfully accused of a bank robbery, a writer seeks the help of his ex-wife, who is now married to the soon-to-be Attorney General of California."
17. Cheech and Chong's Next Movie,https://www.imdb.com/title/tt0080520/?ref_=sr_t_17,1980,1h 39m,R,6.0,15K,"Cheech and Chong live in a decrepit old house and drive their neighbour crazy with their loud music, weed smoking and general anarchy and slacker view on life. Then Chong meets Cheech's Texan cousin Red and things kick up a notch."
18. Caddyshack,https://www.imdb.com/title/tt0080487/?ref_=sr_t_18,1980,1h 38m,R,7.2,130K,An exclusive golf course has to deal with a flatulent new member and a destructive dancing gopher.
19. Friday the 13th,https://www.imdb.com/title/tt0080761/?ref_=sr_t_19,1980,1h 35m,R,6.4,165K,"A group of teenage camp counselors attempt to re-open an abandoned summer camp with a tragic past, but they are stalked by a mysterious, relentless killer."
20. Brubaker,https://www.imdb.com/title/tt0080474/?ref_=sr_t_20,1980,2h 11m,R,7.1,20K,The new warden of a small prison farm in Arkansas tries to clean it up of corruption after initially posing as an inmate.
21. Little Darlings,https://www.imdb.com/title/tt0081060/?ref_=sr_t_21,1980,1h 36m,R,6.5,6.9K,Two fifteen-year-old girls from different sides of the tracks compete to see who will be the first to lose their virginity while at a summer camp.
22. Dressed to Kill,https://www.imdb.com/title/tt0080661/?ref_=sr_t_22,1980,1h 44m,R,7.1,52K,A mysterious blonde woman kills one of the patients of a psychiatrist and then goes after the high-class hooker who witnessed the murder.
23. The Gods Must Be Crazy,https://www.imdb.com/title/tt0080801/?ref_=sr_t_23,1980,1h 49m,PG,7.3,61K,"A comic allegory about a traveling Bushman who encounters modern civilization and its stranger aspects, including a clumsy scientist and a band of revolutionaries."
24. The Jazz Singer,https://www.imdb.com/title/tt0080948/?ref_=sr_t_24,1980,1h 55m,PG,5.9,5.2K,The son of a Jewish Cantor must defy the traditions of his religious father in order to pursue his dream of being a popular singer.
