Movie Link,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
https://www.imdb.com/title/tt0120915/?ref_=sr_t_1,115000000,1046515409,487576624,64820970,['George Lucas'],['George Lucas'],"['Ewan McGregor', 'Liam Neeson', 'Natalie Portman']","['Action Epic', 'Adventure Epic', 'Fantasy Epic', 'Quest', 'Sci-Fi Epic', 'Space Sci-Fi', 'Action', 'Adventure', 'Fantasy', 'Sci-Fi']","['United States', 'United Kingdom']","['Sidi Bouhlel, Bouhlel Sdada, Tunisia']",['Lucasfilm'],"['English', 'Sanskrit']",28,71,3,1999
https://www.imdb.com/title/tt0167404/?ref_=sr_t_2,40000000,672806432,293506292,26681262,['M. Night Shyamalan'],['M. Night Shyamalan'],"['Bruce Willis', 'Haley Joel Osment', 'Toni Collette']","['Psychological Drama', 'Psychological Thriller', 'Suspense Mystery', 'Drama', 'Mystery', 'Thriller']",['United States'],"['Striped Bass - 1500 Walnut Street, Philadelphia, Pennsylvania, USA']","['Hollywood Pictures', 'Spyglass Entertainment', 'The Kennedy/Marshall Company']","['English', 'Latin', 'Spanish']",37,56,6,1999
https://www.imdb.com/title/tt0120363/?ref_=sr_t_3,90000000,497375381,245852179,300163,"['John Lasseter', 'Ash Brannon', 'Lee Unkrich']","['John Lasseter', 'Pete Docter', 'Ash Brannon']","['Tom Hanks', 'Tim Allen', 'Joan Cusack']","['Computer Animation', 'Quest', 'Supernatural Fantasy', 'Urban Adventure', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",['United States'],"['Walt Disney Feature Animation - 500 S. Buena Vista Street, Burbank, California, USA']","['Walt Disney Pictures', 'Pixar Animation Studios']",['English'],21,27,1,1999
https://www.imdb.com/title/tt0145660/?ref_=sr_t_4,33000000,313701294,206040086,54917604,['Jay Roach'],"['Mike Myers', 'Michael McCullers']","['Mike Myers', 'Heather Graham', 'Michael York']","['Parody', 'Slapstick', 'Action', 'Adventure', 'Comedy', 'Crime']",['United States'],"['Space Needle - 400 Broad Street, Seattle Center, Seattle, Washington, USA']","['New Line Cinema', 'Gratitude', 'Moving Pictures (I)']","['English', 'German']",18,31,1,1999
https://www.imdb.com/title/tt0133093/?ref_=sr_t_5,63000000,467841735,172076928,27788331,"['Lana Wachowski', 'Lilly Wachowski']","['Lilly Wachowski', 'Lana Wachowski']","['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss']","['Action Epic', 'Artificial Intelligence', 'Cyberpunk', 'Dystopian Sci-Fi', 'Gun Fu', 'Martial Arts', 'Sci-Fi Epic', 'Action', 'Sci-Fi']","['United States', 'Australia']","['Nashville, Tennessee, USA']","['Warner Bros.', 'Village Roadshow Pictures', 'Groucho Film Partnership']",['English'],42,52,4,1999
https://www.imdb.com/title/tt0120855/?ref_=sr_t_6,130000000,448191819,171091819,34221968,"['Chris Buck', 'Kevin Lima']","['Edgar Rice Burroughs', 'Tab Murphy', 'Bob Tzudiker']","['Tony Goldwyn', 'Minnie Driver', 'Brian Blessed']","['Hand-Drawn Animation', 'Jungle Adventure', 'Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Music']","['United States', 'Japan']","['Walt Disney Animation Studios - 2100 Riverside Drive, Burbank, California, USA']","['Walt Disney Pictures', 'Walt Disney Animation Studios', 'Walt Disney Feature Animation']",['English'],11,23,1,1999
https://www.imdb.com/title/tt0142342/?ref_=sr_t_7,34200000,234801895,163479795,41536370,['Dennis Dugan'],"['Steve Franks', 'Tim Herlihy', 'Adam Sandler']","['Adam Sandler', 'Joey Lauren Adams', 'Jon Stewart']","['Comedy', 'Drama']",['United States'],"['Staten Island, New York City, New York, USA']","['Jack Giarraputo Productions', 'Out of the Blue... Entertainment']","['English', 'Italian']",8,14,0,1999
https://www.imdb.com/title/tt0120616/?ref_=sr_t_8,80000000,417643286,157095368,43369635,['Stephen Sommers'],"['Stephen Sommers', 'Lloyd Fonvielle', 'Kevin Jarre']","['Brendan Fraser', 'Rachel Weisz', 'John Hannah']","['Desert Adventure', 'Globetrotting Adventure', 'Quest', 'Supernatural Fantasy', 'Action', 'Adventure', 'Fantasy']",['United States'],"['Djemaa el Fna, Marrakech, Morocco']","['Alphaville Films', 'Universal Studios']","['English', 'Egyptian (Ancient)', 'Arabic', 'Chinese', 'Hebrew', 'Hungarian']",5,24,1,1999
https://www.imdb.com/title/tt0163187/?ref_=sr_t_9,70000000,309460292,152257509,35055556,['Garry Marshall'],"['Josann McGibbon', 'Sara Parriott']","['Julia Roberts', 'Richard Gere', 'Joan Cusack']","['Romantic Comedy', 'Comedy', 'Romance']",['United States'],"['Berlin, Maryland, USA']","['Paramount Pictures', 'Touchstone Pictures', 'Interscope Communications']",['English'],6,11,0,1999
https://www.imdb.com/title/tt0185937/?ref_=sr_t_10,60000,248639099,140539099,1512054,"['Daniel Myrick', 'Eduardo Sánchez']","['Daniel Myrick', 'Eduardo Sánchez', 'Heather Donahue']","['Heather Donahue', 'Michael C. Williams', 'Joshua Leonard']","['B-Horror', 'Folk Horror', 'Found Footage Horror', 'Psychological Horror', 'Supernatural Horror', 'Tragedy', 'Witch Horror', 'Horror', 'Mystery']",['United States'],"['Patapsco Valley State Park - 8020 Baltimore National Pike, Ellicott City, Maryland, USA']",['Haxan Films'],['English'],23,26,0,1999
