Title,Movie Link,Year,Duration,MPA,Rating,Votes,Description
1. Avatar,https://www.imdb.com/title/tt0499549/?ref_=sr_t_1,2009,2h 42m,PG-13,7.9,1.4M,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.
2. Transformers: Revenge of the Fallen,https://www.imdb.com/title/tt1055369/?ref_=sr_t_2,2009,2h 29m,PG-13,6.0,439K,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war."
3. Harry Potter and the Half-Blood Prince,https://www.imdb.com/title/tt0417741/?ref_=sr_t_3,2009,2h 33m,PG,7.6,621K,"As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past."
4. The Twilight Saga: New Moon,https://www.imdb.com/title/tt1259571/?ref_=sr_t_4,2009,2h 10m,PG-13,4.8,308K,"After Edward leaves because of an incident involving Bella, Jacob Black becomes her best friend. But what Bella doesn't realize is that Jacob also has a secret that will change their lives suddenly."
5. Up,https://www.imdb.com/title/tt1049413/?ref_=sr_t_5,2009,1h 36m,PG,8.3,1.2M,"78-year-old Carl Fredricksen travels to South America in his house equipped with balloons, inadvertently taking a young stowaway."
6. The Hangover,https://www.imdb.com/title/tt1119646/?ref_=sr_t_6,2009,1h 40m,R,7.7,876K,Three buddies wake up from a bachelor party in Las Vegas with no memory of the previous night and the bachelor missing. They must make their way around the city in order to find their friend in time for his wedding.
7. Star Trek,https://www.imdb.com/title/tt0796366/?ref_=sr_t_7,2009,2h 7m,PG-13,7.9,627K,The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.
8. The Blind Side,https://www.imdb.com/title/tt0878804/?ref_=sr_t_8,2009,2h 9m,PG-13,7.6,371K,"The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family."
9. Alvin and the Chipmunks: The Squeakquel,https://www.imdb.com/title/tt1231580/?ref_=sr_t_9,2009,1h 28m,PG,4.6,57K,"The world-famous singing preteen chipmunk trio return to contend with the pressures of school, celebrity, and a rival female music group known as The Chipettes."
10. Sherlock Holmes,https://www.imdb.com/title/tt0988045/?ref_=sr_t_10,2009,2h 8m,PG-13,7.6,686K,Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.
11. Monsters vs. Aliens,https://www.imdb.com/title/tt0892782/?ref_=sr_t_11,2009,1h 34m,PG,6.4,181K,A woman transformed into a giant after she is struck by a meteorite on her wedding day becomes part of a team of monsters sent in by the U.S. government to defeat an alien mastermind trying to take over Earth.
12. Ice Age: Dawn of the Dinosaurs,https://www.imdb.com/title/tt1080016/?ref_=sr_t_12,2009,1h 34m,PG,6.9,273K,"When Sid's attempt to adopt three dinosaur eggs gets him abducted by their real mother to an underground lost world, his friends attempt to rescue him."
13. X-Men Origins: Wolverine,https://www.imdb.com/title/tt0458525/?ref_=sr_t_13,2009,1h 47m,PG-13,6.5,551K,"The early years of James Logan, featuring his rivalry with his brother Victor Creed, his service in the special forces team Weapon X, and his experimentation into the metal-lined mutant Wolverine."
14. Night at the Museum: Battle of the Smithsonian,https://www.imdb.com/title/tt1078912/?ref_=sr_t_14,2009,1h 45m,PG,6.0,219K,"Security guard Larry Daley infiltrates the Smithsonian Institution in order to rescue Jedediah and Octavius, who have been shipped to the museum by mistake."
15. 2012,https://www.imdb.com/title/tt1190080/?ref_=sr_t_15,2009,2h 38m,PG-13,5.8,408K,A frustrated writer struggles to keep his family alive when a series of global catastrophes threatens to annihilate mankind.
