Title,Movie Link,Year,Duration,MPA,Rating,Votes,Description,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
1. Toy Story 3,https://www.imdb.com/title/tt0435761/?ref_=sr_t_1,2010,1h 43m,G,8.3,922K,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",200000000.0,1067316101,415004880,110307189,['Lee Unkrich'],"['John Lasseter', 'Andrew Stanton', 'Lee Unkrich']","['Tom Hanks', 'Tim Allen', 'Joan Cusack']","['Computer Animation', 'Supernatural Fantasy', 'Urban Adventure', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",['United States'],"['Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA']","['Walt Disney Pictures', 'Pixar Animation Studios']","['English', 'Spanish']",63,96,2,2010
2. Alice in Wonderland,https://www.imdb.com/title/tt1014759/?ref_=sr_t_2,2010,1h 48m,PG,6.4,452K,"Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror.",200000000.0,1025468216,334191110,116101023,['Tim Burton'],"['Linda Woolverton', 'Lewis Carroll']","['Mia Wasikowska', 'Johnny Depp', 'Helena Bonham Carter']","['Dark Fantasy', 'Fairy Tale', 'Adventure', 'Family', 'Fantasy', 'Mystery']","['United States', 'Italy', 'Canada', 'Japan', 'United Kingdom']","['Antony House, Torpoint, Cornwall, England, UK']","['Walt Disney Pictures', 'Roth Films', 'Team Todd']",['English'],35,65,2,2010
3. Iron Man 2,https://www.imdb.com/title/tt1228705/?ref_=sr_t_3,2010,2h 4m,PG-13,6.9,894K,"With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.",200000000.0,623933331,312433331,128122480,['Jon Favreau'],"['Justin Theroux', 'Stan Lee', 'Don Heck']","['Robert Downey Jr.', 'Mickey Rourke', 'Gwyneth Paltrow']","['Sci-Fi Epic', 'Superhero', 'Action', 'Sci-Fi']",['United States'],"['SpaceX - Rocket Road, Hawthorne, California, USA']","['Paramount Pictures', 'Marvel Entertainment', 'Marvel Studios']","['English', 'French', 'Russian']",7,45,1,2010
4. The Twilight Saga: Eclipse,https://www.imdb.com/title/tt1325004/?ref_=sr_t_4,2010,2h 4m,PG-13,5.1,268K,"As a string of mysterious killings grips Seattle, Bella, whose high school graduation is fast approaching, is forced to choose between her love for vampire Edward and her friendship with werewolf Jacob.",68000000.0,698513085,300531751,64832191,['David Slade'],"['Melissa Rosenberg', 'Stephenie Meyer']","['Kristen Stewart', 'Robert Pattinson', 'Taylor Lautner']","['Supernatural Fantasy', 'Teen Fantasy', 'Teen Romance', 'Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery', 'Romance', 'Thriller']",['United States'],"['Belcarra Regional Park, Burrard Inlet, Vancouver, British Columbia, Canada']","['Summit Entertainment', 'Temple Hill Entertainment', 'Maverick Films']",['English'],23,35,0,2010
5. Harry Potter and the Deathly Hallows: Part 1,https://www.imdb.com/title/tt0926084/?ref_=sr_t_5,2010,2h 26m,PG-13,7.7,624K,"Harry Potter is tasked with the dangerous and seemingly impossible task of locating and destroying Voldemort's remaining Horcruxes. Harry must rely on Ron and Hermione more than ever, but dark forces threaten to tear them apart.",125000000.0,974919063,296374621,125017372,['David Yates'],"['Steve Kloves', 'J.K. Rowling']","['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint']","['Dark Fantasy', 'Supernatural Fantasy', 'Sword & Sorcery', 'Teen Adventure', 'Teen Fantasy', 'Adventure', 'Family', 'Fantasy', 'Mystery']","['United Kingdom', 'United States']","['Lavenham, Suffolk, England, UK']","['Warner Bros.', 'Heyday Films']","['English', 'Latin']",15,55,2,2010
6. Inception,https://www.imdb.com/title/tt1375666/?ref_=sr_t_6,2010,2h 28m,PG-13,8.8,2.7M,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",160000000.0,839030630,292587330,62785337,['Christopher Nolan'],['Christopher Nolan'],"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Elliot Page']","['Action Epic', 'Adventure Epic', 'Epic', 'Psychological Thriller', 'Sci-Fi Epic', 'Action', 'Adventure', 'Sci-Fi', 'Thriller']","['United States', 'United Kingdom']","['Fortress Mountain, Kananaskis Country, Alberta, Canada']","['Warner Bros.', 'Legendary Entertainment', 'Syncopy']","['English', 'Japanese', 'French']",159,220,4,2010
7. Despicable Me,https://www.imdb.com/title/tt1323594/?ref_=sr_t_7,2010,1h 35m,PG,7.6,604K,"Gru, a criminal mastermind, adopts three orphans as pawns to carry out the biggest heist in history. His life takes an unexpected turn when the little girls see the evildoer as their potential father.",69000000.0,544174973,251683815,56397125,"['Pierre Coffin', 'Chris Renaud']","['Cinco Paul', 'Ken Daurio', 'Sergio Pablos']","['Steve Carell', 'Jason Segel', 'Russell Brand']","['Computer Animation', 'Slapstick', 'Urban Adventure', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Sci-Fi']","['United States', 'France']",[],"['Universal Pictures', 'Illumination Entertainment']",['English'],3,41,0,2010
8. Shrek Forever After,https://www.imdb.com/title/tt0892791/?ref_=sr_t_8,2010,1h 33m,PG,6.3,232K,Rumpelstiltskin tricks a mid-life crisis burdened Shrek into allowing himself to be erased from existence and cast in a dark alternate timeline where Rumpelstiltskin rules supreme.,165000000.0,752600867,238736787,70838207,['Mike Mitchell'],"['Josh Klausner', 'Darren Lemke', 'William Steig']","['Mike Myers', 'Cameron Diaz', 'Eddie Murphy']","['Computer Animation', 'Fairy Tale', 'Parody', 'Slapstick', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Romance']","['United States', 'France']",[],['DreamWorks Animation'],['English'],0,13,0,2010
9. How to Train Your Dragon,https://www.imdb.com/title/tt0892769/?ref_=sr_t_9,2010,1h 38m,PG,8.1,832K,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",165000000.0,494879860,217581231,43732319,"['Dean DeBlois', 'Chris Sanders']","['William Davies', 'Dean DeBlois', 'Chris Sanders']","['Jay Baruchel', 'Gerard Butler', 'Christopher Mintz-Plasse']","['Computer Animation', 'Sword & Sorcery', 'Teen Fantasy', 'Action', 'Adventure', 'Animation', 'Family', 'Fantasy']","['United States', 'France', 'United Kingdom']",[],"['DreamWorks Animation', 'Mad Hatter Entertainment', 'Vertigo Entertainment']",['English'],25,63,2,2010
10. Tangled,https://www.imdb.com/title/tt0398286/?ref_=sr_t_10,2010,1h 40m,PG,7.7,514K,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.",260000000.0,591806017,200821936,48767052,"['Nathan Greno', 'Byron Howard']","['Dan Fogelman', 'Jacob Grimm', 'Wilhelm Grimm']","['Mandy Moore', 'Zachary Levi', 'Donna Murphy']","['Computer Animation', 'Fairy Tale', 'Feel-Good Romance', 'Pop Musical', 'Teen Adventure', 'Teen Comedy', 'Teen Fantasy', 'Teen Romance', 'Adventure', 'Animation']","['United States', 'Japan']","['Norden, Germany']","['Walt Disney Pictures', 'Walt Disney Animation Studios']","['English', 'German']",10,42,1,2010
11. The Karate Kid,https://www.imdb.com/title/tt1155076/?ref_=sr_t_11,2010,2h 20m,PG,6.2,214K,"Work causes a single mother to move to China with her young son; in his new home, the 12-year-old boy embraces Kung Fu, taught to him by a master.",40000000.0,359126022,176591618,55665805,['Harald Zwart'],"['Christopher Murphey', 'Robert Mark Kamen']","['Jackie Chan', 'Jaden Smith', 'Taraji P. Henson']","['Action', 'Drama', 'Family', 'Sport']","['China', 'Hong Kong', 'United States']","['Huangshan Mountains, China']","['Columbia Pictures', 'Overbrook Entertainment', 'Jerry Weintraub Productions']","['English', 'Mandarin']",5,12,0,2010
12. Tron: Legacy,https://www.imdb.com/title/tt1104001/?ref_=sr_t_12,2010,2h 5m,PG,6.8,363K,The son of a virtual world designer goes looking for his father and ends up inside the digital world that his father designed. He meets his father's corrupted creation and a unique ally who was born inside the digital world.,170000000.0,409912892,172062763,44026211,['Joseph Kosinski'],"['Edward Kitsis', 'Adam Horowitz', 'Brian Klugman']","['Jeff Bridges', 'Garrett Hedlund', 'Olivia Wilde']","['Artificial Intelligence', 'Cyberpunk', 'Action', 'Adventure', 'Sci-Fi']","['United States', 'India', 'United Kingdom', 'Mexico', 'Japan', 'Canada']","['Vancouver, British Columbia, Canada']","['Walt Disney Pictures', 'Sean Bailey Productions', 'LivePlanet']",['English'],10,52,1,2010
13. True Grit,https://www.imdb.com/title/tt1403865/?ref_=sr_t_13,2010,1h 50m,PG-13,7.6,365K,A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.,38000000.0,252278285,171243005,24830443,"['Ethan Coen', 'Joel Coen']","['Joel Coen', 'Ethan Coen', 'Charles Portis']","['Jeff Bridges', 'Matt Damon', 'Hailee Steinfeld']","['Period Drama', 'Drama', 'Western']",['United States'],"['Garson Studios, College of Santa Fe - 1600 Saint Michaels Drive, Santa Fe, New Mexico, USA']","['Paramount Pictures', 'Skydance Media', 'Scott Rudin Productions']",['English'],38,170,10,2010
14. Clash of the Titans,https://www.imdb.com/title/tt0800320/?ref_=sr_t_14,2010,1h 46m,PG-13,5.8,298K,"Perseus, a demigod and the son of Zeus, battles the minions of Hades and the Underworld in order to stop them from conquering Olympus and Earth.",125000000.0,493214993,163214888,61235105,['Louis Leterrier'],"['Travis Beacham', 'Phil Hay', 'Matt Manfredi']","['Sam Worthington', 'Liam Neeson', 'Ralph Fiennes']","['Fantasy Epic', 'Sword & Sandal', 'Sword & Sorcery', 'Action', 'Adventure', 'Fantasy']","['United States', 'United Kingdom', 'Australia']","['Teide National Park, Tenerife, Canary Islands, Spain']","['Warner Bros.', 'Legendary Entertainment', 'Thunder Road Pictures']",['English'],4,14,0,2010
15. Grown Ups,https://www.imdb.com/title/tt1375670/?ref_=sr_t_15,2010,1h 42m,PG-13,6.0,291K,"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.",80000000.0,271457606,162001186,40506562,['Dennis Dugan'],"['Adam Sandler', 'Fred Wolf']","['Adam Sandler', 'Salma Hayek', 'Kevin James']","['Slapstick', 'Comedy']",['United States'],"['99 Centennial Grove Rd, Essex, Massachusetts, USA']","['Columbia Pictures', 'Relativity Media', 'Happy Madison Productions']","['English', 'Spanish']",3,4,0,2010
16. Little Fockers,https://www.imdb.com/title/tt0970866/?ref_=sr_t_16,2010,1h 38m,PG-13,5.5,122K,"Family-patriarch Jack Byrnes wants to appoint a successor. Does his son-in-law, the male nurse Greg Focker, have what it takes?",100000000.0,310650585,148438600,30833665,['Paul Weitz'],"['Greg Glienna', 'Mary Ruth Clarke', 'John Hamburg']","['Ben Stiller', 'Teri Polo', 'Robert De Niro']","['Comedy', 'Romance']",['United States'],"['1960 La France Avenue, South Pasadena, California, USA']","['Universal Pictures', 'Paramount Pictures', 'Relativity Media']","['English', 'Ukrainian']",3,5,0,2010
17. Megamind,https://www.imdb.com/title/tt1001526/?ref_=sr_t_17,2010,1h 35m,PG,7.3,307K,"Evil genius Megamind finally defeats his do-gooder nemesis, Metro Man, but is left without a purpose in a superhero-free world.",130000000.0,321885765,148415853,46016833,['Tom McGrath'],"['Alan Schoolcraft', 'Brent Simons']","['Will Ferrell', 'Jonah Hill', 'Brad Pitt']","['Computer Animation', 'Superhero', 'Supernatural Fantasy', 'Urban Adventure', 'Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Family']","['United States', 'Australia']",[],"['DreamWorks Animation', 'Pacific Data Images (PDI)', 'Red Hour Films']",['English'],2,16,0,2010
18. The King's Speech,https://www.imdb.com/title/tt1504320/?ref_=sr_t_18,2010,1h 58m,R,8.0,718K,"The story of King George VI, his unexpected ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.",15000000.0,472088310,138797449,355450,['Tom Hooper'],['David Seidler'],"['Colin Firth', 'Geoffrey Rush', 'Helena Bonham Carter']","['Period Drama', 'Political Drama', 'Biography', 'Drama', 'History']","['United States', 'United Kingdom']","['Elland Road Football Stadium, Elland Road, Beeston, Leeds, West Yorkshire, England, UK']","['The Weinstein Company', 'UK Film Council', 'Momentum Pictures']",['English'],109,206,4,2010
19. The Last Airbender,https://www.imdb.com/title/tt0938283/?ref_=sr_t_19,2010,1h 43m,PG,4.0,178K,"Aang, a young successor to a long line of Avatars, must master all four elements and stop the Fire Nation from enslaving the Water Tribes and the Earth Kingdom.",150000000.0,319713881,131772187,40325019,['M. Night Shyamalan'],['M. Night Shyamalan'],"['Noah Ringer', 'Nicola Peltz Beckham', 'Jackson Rathbone']","['Adventure Epic', 'Fantasy Epic', 'Martial Arts', 'Quest', 'Superhero', 'Teen Fantasy', 'Action', 'Adventure', 'Family', 'Fantasy']","['United States', 'Vietnam', 'United Kingdom', 'Canada', 'Denmark']","['The Pagoda, Skyline Drive, Mt. Penn, Reading, Pennsylvania, USA']","['Paramount Pictures', 'Nickelodeon Movies', 'Blinding Edge Pictures']",['English'],8,12,0,2010
20. Shutter Island,https://www.imdb.com/title/tt1130884/?ref_=sr_t_20,2010,2h 18m,R,8.2,1.5M,Two US marshals are sent to a mental institution on an inhospitable island in order to investigate the disappearance of a patient.,80000000.0,294962035,128012934,41062440,['Martin Scorsese'],"['Laeta Kalogridis', 'Dennis Lehane']","['Leonardo DiCaprio', 'Emily Mortimer', 'Mark Ruffalo']","['Psychological Thriller', 'Suspense Mystery', 'Drama', 'Mystery', 'Thriller']",['United States'],"['Peddocks Island, Boston Harbor, Boston, Massachusetts, USA']","['Paramount Pictures', 'Phoenix Pictures', 'Sikelia Productions']","['English', 'German']",11,66,0,2010
21. The Other Guys,https://www.imdb.com/title/tt1386588/?ref_=sr_t_21,2010,1h 47m,PG-13,6.7,297K,"Two mismatched New York City detectives seize an opportunity to step up like the city's top cops, whom they idolize, only things don't quite go as planned.",100000000.0,170458922,119219978,35543162,['Adam McKay'],"['Adam McKay', 'Chris Henchy']","['Will Ferrell', 'Mark Wahlberg', 'Derek Jeter']","['Buddy Cop', 'Police Procedural', 'Action', 'Comedy', 'Crime', 'Thriller']",['United States'],"[""Nathan's Hot Dogs, Coney Island, Brooklyn, New York City, New York, USA""]","['Columbia Pictures', 'Gary Sanchez Productions', 'Mosaic']","['English', 'Ukrainian']",3,15,0,2010
