Title,Movie Link,Year,Duration,MPA,Rating,Votes,Description,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
1. Home Alone,https://www.imdb.com/title/tt0099785/?ref_=sr_t_1,1990,1h 43m,PG,7.7,690K,"An eight-year-old troublemaker, mistakenly left home alone, must defend his home against a pair of burglars on Christmas Eve.",18000000.0,476684675,285761243,17081997,['Chris Columbus'],['John Hughes'],"['Macaulay Culkin', 'Joe Pesci', 'Daniel Stern']","['High-Concept Comedy', 'Holiday Comedy', 'Holiday Family', 'Slapstick', 'Comedy', 'Family', 'Holiday']",['United States'],"['671 Lincoln Avenue, Winnetka, Illinois, USA']","['Twentieth Century Fox', 'Hughes Entertainment']","['English', 'French']",12,7,2,1990
2. Ghost,https://www.imdb.com/title/tt0099653/?ref_=sr_t_2,1990,2h 7m,PG-13,7.1,245K,"After a young man is murdered, his spirit stays behind to warn his lover of impending danger, with the help of a reluctant psychic.",22000000.0,505703557,217631306,12191540,['Jerry Zucker'],['Bruce Joel Rubin'],"['Patrick Swayze', 'Demi Moore', 'Whoopi Goldberg']","['Feel-Good Romance', 'Drama', 'Fantasy', 'Romance', 'Thriller']",['United States'],"['104 Prince Street, Soho, Manhattan, New York City, New York, USA']","['Paramount Pictures', 'Howard W. Koch Productions']",['English'],18,24,2,1990
3. Dances with Wolves,https://www.imdb.com/title/tt0099348/?ref_=sr_t_3,1990,3h 1m,PG-13,8.0,299K,A lieutenant assigned to a remote Civil War outpost starts questioning his purpose after making contact with a neighboring Sioux settlement.,22000000.0,424208848,184208848,598257,['Kevin Costner'],['Michael Blake'],"['Kevin Costner', 'Mary McDonnell', 'Graham Greene']","['Costume Drama', 'Epic', 'Period Drama', 'Western Epic', 'Adventure', 'Drama', 'Western']","['United States', 'United Kingdom']","['Badlands National Park, South Dakota, USA']","['Tig Productions', 'Majestic Films International', 'Allied Filmmakers']","['English', 'Sioux', 'Pawnee']",55,40,7,1990
4. Pretty Woman,https://www.imdb.com/title/tt0100405/?ref_=sr_t_4,1990,1h 59m,R,7.1,381K,"Edward, a rich entrepreneur, hires Vivian, a prostitute, to accompany him to a few social events. Trouble ensues when he falls in love with her and they try to bridge the gap between their worlds.",14000000.0,463406268,178406268,11280591,['Garry Marshall'],['J.F. Lawton'],"['Richard Gere', 'Julia Roberts', 'Jason Alexander']","['Feel-Good Romance', 'Comedy', 'Romance']",['United States'],"['Las Palmas Hotel - 1738 N. Las Palmas Avenue, Hollywood, Los Angeles, California, USA']","['Touchstone Pictures', 'Silver Screen Partners IV']",['English'],8,11,1,1990
5. Teenage Mutant Ninja Turtles,https://www.imdb.com/title/tt0100758/?ref_=sr_t_5,1990,1h 33m,PG,6.8,108K,Four teenage mutant ninja turtles emerge from the shadows to protect New York City from a gang of criminal ninjas.,13500000.0,202084756,135384756,25398367,['Steve Barron'],"['Kevin Eastman', 'Peter Laird', 'Bobby Herbeck']","['Judith Hoag', 'Elias Koteas', 'Josh Pais']","['Animal Adventure', 'Martial Arts', 'Superhero', 'Urban Adventure', 'Action', 'Adventure', 'Comedy', 'Family', 'Sci-Fi']","['Hong Kong', 'United States']","['Castle Hayne, North Carolina, USA']","['Golden Harvest Company', 'Limelight']","['English', 'French']",3,3,0,1990
6. The Hunt for Red October,https://www.imdb.com/title/tt0099810/?ref_=sr_t_6,1990,2h 15m,PG,7.5,221K,"In November 1984, the Soviet Union's best submarine captain violates orders and heads for the U.S. in a new undetectable sub. The American CIA and military must quickly determine: Is he trying to defect or to start a war?",30000000.0,200512643,122012643,17161835,['John McTiernan'],"['Tom Clancy', 'Larry Ferguson', 'Donald E. Stewart']","['Sean Connery', 'Alec Baldwin', 'Scott Glenn']","['Political Thriller', 'Sea Adventure', 'Spy', 'Action', 'Adventure', 'Thriller']",['United States'],"['Lake James, Burke County, North Carolina, USA']","['Paramount Pictures', 'Mace Neufeld Productions', 'Nina Saxon Film Design']","['English', 'Russian']",3,9,1,1990
7. Total Recall,https://www.imdb.com/title/tt0100802/?ref_=sr_t_7,1990,1h 53m,R,7.5,365K,"When a man goes in to have virtual vacation memories of the planet Mars implanted in his mind, an unexpected and harrowing series of events forces him to go to the planet for real - or is he?",65000000.0,261317921,119412921,25533700,['Paul Verhoeven'],"['Philip K. Dick', 'Ronald Shusett', ""Dan O'Bannon""]","['Arnold Schwarzenegger', 'Sharon Stone', 'Michael Ironside']","['Cyberpunk', 'One-Person Army Action', 'Space Sci-Fi', 'Action', 'Adventure', 'Sci-Fi']","['United States', 'Mexico']","['Estudios Churubusco - C. Atletas 2, Country Club Churubusco, Coyoacán, Mexico City, Distrito Federal, Mexico']","['Carolco Pictures', 'Estudios Churubusco Azteca S.A.']",['English'],7,16,2,1990
8. Die Hard 2,https://www.imdb.com/title/tt0099423/?ref_=sr_t_8,1990,2h 4m,R,7.1,394K,"John McClane attempts to avert disaster as rogue military operatives seize control of Dulles International Airport in Washington, D.C.",70000000.0,240031274,117540947,21744661,['Renny Harlin'],"['Steven E. de Souza', 'Doug Richardson', 'Walter Wager']","['Bruce Willis', 'William Atherton', 'Bonnie Bedelia']","['One-Person Army Action', 'Action', 'Holiday', 'Thriller']",['United States'],"['Stapleton International Airport, Denver, Colorado, USA']","['Twentieth Century Fox', 'Gordon Company', 'Silver Pictures']","['English', 'Spanish']",0,0,0,1990
9. Dick Tracy,https://www.imdb.com/title/tt0099422/?ref_=sr_t_9,1990,1h 45m,PG,6.2,68K,The comic strip detective finds his life vastly complicated when Breathless Mahoney makes advances towards him while he is trying to battle Big Boy Caprice's united mob.,47000000.0,162738726,103738726,22543911,['Warren Beatty'],"['Chester Gould', 'Jim Cash', 'Jack Epps Jr.']","['Warren Beatty', 'Madonna', 'Al Pacino']","['Police Procedural', 'Action', 'Comedy', 'Crime', 'Music', 'Romance', 'Thriller']",['United States'],"['Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA']","['Touchstone Pictures', 'Silver Screen Partners IV']",['English'],9,37,3,1990
10. Kindergarten Cop,https://www.imdb.com/title/tt0099938/?ref_=sr_t_10,1990,1h 51m,PG-13,6.2,167K,"A tough cop must pose as a kindergarten teacher in order to locate a dangerous criminal's ex-wife, who may hold the key to putting him behind bars.",15000000.0,201957688,91457688,7918560,['Ivan Reitman'],"['Murray Salem', 'Herschel Weingrod', 'Timothy Harris']","['Arnold Schwarzenegger', 'Penelope Ann Miller', 'Pamela Reed']","['Cop Drama', 'High-Concept Comedy', 'Action', 'Comedy', 'Crime']",['United States'],"['Astoria, Oregon, USA']","['Imagine Entertainment', 'Northern Lights Entertainment']","['English', 'Spanish', 'German']",4,0,0,1990
