Title,Movie Link,Year,Duration,MPA,Rating,Votes,Description,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
1. Batman,https://www.imdb.com/title/tt0096895/?ref_=sr_t_1,1989,2h 6m,PG-13,7.5,417K,"The Dark Knight of Gotham City begins his war on crime with his first major enemy being Jack Napier, a criminal who becomes the clownishly homicidal Joker.",35000000.0,411569241,251409241,40489746,['Tim Burton'],"['Bob Kane', 'Sam Hamm', 'Warren Skaaren']","['Michael Keaton', 'Jack Nicholson', 'Kim Basinger']","['Action Epic', 'Superhero', 'Tragedy', 'Urban Adventure', 'Action', 'Adventure']","['United States', 'United Kingdom']","['Knebworth House, Knebworth, Hertfordshire, England, UK']","['Warner Bros.', 'The Guber-Peters Company', 'Polygram Filmed Entertainment']","['English', 'French', 'Spanish']",13,30,1,1989
2. Indiana Jones and the Last Crusade,https://www.imdb.com/title/tt0097576/?ref_=sr_t_2,1989,2h 7m,PG-13,8.2,832K,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.",48000000.0,474171806,197171806,29355021,['Steven Spielberg'],"['Jeffrey Boam', 'George Lucas', 'Menno Meyjes']","['Harrison Ford', 'Sean Connery', 'Alison Doody']","['Adventure Epic', 'Desert Adventure', 'Globetrotting Adventure', 'Quest', 'Action', 'Adventure']",['United States'],"['Moab, Utah, USA']","['Paramount Pictures', 'Lucasfilm']","['English', 'German', 'Greek', 'Latin', 'Italian']",9,24,1,1989
3. Lethal Weapon 2,https://www.imdb.com/title/tt0097733/?ref_=sr_t_3,1989,1h 54m,R,7.3,194K,Riggs and Murtaugh are on the trail of South African diplomats who are using their immunity to engage in criminal activities.,28000000.0,227853986,147253986,20388800,['Richard Donner'],"['Jeffrey Boam', 'Shane Black', 'Warren Murphy']","['Mel Gibson', 'Danny Glover', 'Joe Pesci']","['Action', 'Crime', 'Thriller']",['United States'],"['7436 Mulholland Drive, Hollywood Hills, Los Angeles, California, USA']","['Warner Bros.', 'Silver Pictures']","['English', 'Afrikaans', 'Danish']",0,3,1,1989
4. Look Who's Talking,https://www.imdb.com/title/tt0097778/?ref_=sr_t_4,1989,1h 33m,PG-13,5.9,88K,"After a single, career-minded woman is left on her own to give birth to the child of a married man, she finds a new romantic chance in a cab driver. Meanwhile, the point-of-view of the newborn baby is narrated through voice-over.",7500000.0,296999813,140088813,12107784,['Amy Heckerling'],['Amy Heckerling'],"['John Travolta', 'Kirstie Alley', 'Olympia Dukakis']",['Comedy'],['United States'],"['Vancouver, British Columbia, Canada']","['TriStar Pictures', 'Management Company Entertainment Group (MCEG)', 'Hollywood Licensing Group']",['English'],5,2,0,1989
"5. Honey, I Shrunk the Kids",https://www.imdb.com/title/tt0097523/?ref_=sr_t_5,1989,1h 33m,PG,6.4,171K,The scientist father of a teenage girl and boy accidentally shrinks his and two other neighborhood teens to the size of insects. Now the teens must fight diminutive dangers as the father searches for them.,18000000.0,222724172,130724172,14262961,['Joe Johnston'],"['Stuart Gordon', 'Brian Yuzna', 'Ed Naha']","['Rick Moranis', 'Matt Frewer', 'Marcia Strassman']","['Farce', 'High-Concept Comedy', 'Teen Adventure', 'Adventure', 'Comedy', 'Family', 'Sci-Fi']","['United States', 'Mexico']","['Estudios Churubusco - C. Atletas 2, Country Club Churubusco, Coyoacán, Mexico City, Distrito Federal, Mexico']","['Walt Disney Pictures', 'Silver Screen Partners III', 'Doric Productions']",['English'],2,10,0,1989
6. Back to the Future Part II,https://www.imdb.com/title/tt0096874/?ref_=sr_t_6,1989,1h 48m,PG,7.8,592K,"After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip.",40000000.0,332861197,119361197,27835125,['Robert Zemeckis'],"['Robert Zemeckis', 'Bob Gale']","['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson']","['Adventure Epic', 'Car Action', 'Cyberpunk', 'Dystopian Sci-Fi', 'High-Concept Comedy', 'Teen Adventure', 'Teen Comedy', 'Time Travel', 'Urban Adventure', 'Adventure']",['United States'],"['Griffith Park - 4730 Crystal Springs Drive, Los Angeles, California, USA']","['Universal Pictures', 'Amblin Entertainment', 'U-Drive Productions']",['English'],9,11,1,1989
7. Ghostbusters II,https://www.imdb.com/title/tt0097428/?ref_=sr_t_7,1989,1h 48m,PG,6.6,232K,The discovery of a massive river of ectoplasm and a resurgence of spectral activity allows the staff of Ghostbusters to revive the business.,25000000.0,215394738,112494738,29472894,['Ivan Reitman'],"['Dan Aykroyd', 'Harold Ramis']","['Bill Murray', 'Dan Aykroyd', 'Sigourney Weaver']","['Supernatural Fantasy', 'Action', 'Comedy', 'Fantasy', 'Sci-Fi']",['United States'],"['Fire Station 23 - 225 E. 5th Street, Los Angeles, California, USA']","['Columbia Pictures', 'Black Rhino Productions']",['English'],2,0,0,1989
8. The Little Mermaid,https://www.imdb.com/title/tt0097757/?ref_=sr_t_8,1989,1h 23m,G,7.6,299K,A mermaid princess makes a Faustian bargain in an attempt to become human and win a prince's love.,40000000.0,211343479,111543479,6031914,"['Ron Clements', 'John Musker']","['John Musker', 'Ron Clements', 'Hans Christian Andersen']","['Jodi Benson', 'Samuel E. Wright', 'Rene Auberjonois']","['Fairy Tale', 'Feel-Good Romance', 'Hand-Drawn Animation', 'Sea Adventure', 'Swashbuckler', 'Adventure', 'Animation', 'Family', 'Fantasy', 'Musical']",['United States'],"['Walt Disney Feature Animation - 500 S. Buena Vista Street, Burbank, California, USA']","['Walt Disney Pictures', 'Silver Screen Partners IV', 'Walt Disney Animation Studios']","['English', 'French']",16,9,2,1989
9. Driving Miss Daisy,https://www.imdb.com/title/tt0097239/?ref_=sr_t_9,1989,1h 39m,PG,7.3,120K,An old Jewish woman and her African-American chauffeur in the American South have a relationship that grows and improves over the years.,7500000.0,145793296,106593296,73745,['Bruce Beresford'],['Alfred Uhry'],"['Morgan Freeman', 'Jessica Tandy', 'Dan Aykroyd']","['Comedy', 'Drama']",['United States'],"['822 Lullwater Road, Druid Hills, Atlanta, Georgia, USA']","['The Zanuck Company', 'Allied Filmmakers', 'Majestic Films International']","['English', 'Hebrew']",22,24,4,1989
10. Parenthood,https://www.imdb.com/title/tt0098067/?ref_=sr_t_10,1989,2h 4m,PG-13,7.1,56K,Four Buckman siblings attempt to raise their children - each in their own different style - and deal with the joys and sorrows that the process brings.,20000000.0,126297830,100047830,10506450,['Ron Howard'],"['Lowell Ganz', 'Babaloo Mandel', 'Ron Howard']","['Steve Martin', 'Mary Steenburgen', 'Dianne Wiest']","['Comedy', 'Drama']",['United States'],"['Orlando, Florida, USA']","['Imagine Entertainment', 'Universal Pictures']","['English', 'Spanish']",4,14,2,1989
