Title,Movie Link,Year,Duration,MPA,Rating,Votes,Description,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
1. Independence Day,https://www.imdb.com/title/tt0116629/?ref_=sr_t_1,1996,2h 25m,PG-13,7.0,623K,"The aliens are coming and their goal is to invade and destroy Earth. Fighting superior technology, mankind's best weapon is the will to survive.",75000000.0,817400891,306169268,50228264,['Roland Emmerich'],"['Dean Devlin', 'Roland Emmerich']","['Will Smith', 'Bill Pullman', 'Jeff Goldblum']","['Action Epic', 'Alien Invasion', 'Sci-Fi Epic', 'Space Sci-Fi', 'Action', 'Adventure', 'Sci-Fi']",['United States'],"['Bonneville Salt Flats, Utah, USA']","['Twentieth Century Fox', 'Centropolis Entertainment']",['English'],35,35,1,1996
2. Twister,https://www.imdb.com/title/tt0117998/?ref_=sr_t_2,1996,1h 53m,PG-13,6.5,242K,Two storm chasers on the brink of divorce must work together to create an advanced weather alert system by putting themselves in the cross-hairs of extremely violent tornadoes.,92000000.0,494580615,241830615,41059405,['Jan de Bont'],"['Michael Crichton', 'Anne-Marie Martin']","['Helen Hunt', 'Bill Paxton', 'Jami Gertz']","['Disaster', 'Survival', 'Action', 'Adventure', 'Thriller']",['United States'],"['Ames, Iowa, USA']","['Warner Bros.', 'Universal Pictures', 'Amblin Entertainment']",['English'],11,17,2,1996
3. Mission: Impossible,https://www.imdb.com/title/tt0117060/?ref_=sr_t_3,1996,1h 50m,PG-13,7.2,484K,"An American agent, under false suspicion of disloyalty, must discover and expose the real spy without the help of his organization.",80000000.0,457696391,180981856,45436830,['Brian De Palma'],"['Bruce Geller', 'David Koepp', 'Steven Zaillian']","['Tom Cruise', 'Jon Voight', 'Emmanuelle Béart']","['Spy', 'Urban Adventure', 'Action', 'Adventure', 'Thriller']",['United States'],"['Charles Bridge, Old Town, Prague, Czech Republic']","['Paramount Pictures', 'Cruise/Wagner Productions']","['English', 'French', 'Czech']",3,17,0,1996
4. Jerry Maguire,https://www.imdb.com/title/tt0116695/?ref_=sr_t_4,1996,2h 19m,R,7.3,296K,"When a sports agent has a moral epiphany and is fired for expressing it, he decides to put his new philosophy to the test as an independent agent with the only athlete who stays with him and his former colleague.",50000000.0,273552592,153952592,17084296,['Cameron Crowe'],['Cameron Crowe'],"['Tom Cruise', 'Cuba Gooding Jr.', 'Renée Zellweger']","['Feel-Good Romance', 'Football', 'Romantic Comedy', 'Workplace Drama', 'Comedy', 'Drama', 'Romance', 'Sport']",['United States'],"[""Paco's Tacos - 4141 S. Centinela Avenue, Culver City, California, USA""]","['TriStar Pictures', 'Gracie Films']","['English', 'American Sign Language']",26,41,1,1996
5. Ransom,https://www.imdb.com/title/tt0117438/?ref_=sr_t_5,1996,2h 1m,R,6.7,139K,"Multi-millionaire Tom Mullen's son is kidnapped, but after initially agreeing to pay the ransom Mullen then decides to use the ransom money as a bounty.",80000000.0,309492681,136492681,34216088,['Ron Howard'],"['Cyril Hume', 'Richard Maibaum', 'Richard Price']","['Mel Gibson', 'Gary Sinise', 'Rene Russo']","['Action', 'Crime', 'Drama', 'Thriller']",['United States'],"['Fair Lawn, New Jersey, USA']","['Touchstone Pictures', 'Imagine Entertainment', 'Ransom Productions']",['English'],3,5,0,1996
6. 101 Dalmatians,https://www.imdb.com/title/tt0115433/?ref_=sr_t_6,1996,1h 43m,G,5.8,120K,An evil high-fashion designer plots to steal dalmatian puppies in order to make an extravagant fur coat but creates an extravagant mess instead.,75000000.0,320689294,136189294,33504025,['Stephen Herek'],"['Dodie Smith', 'John Hughes']","['Glenn Close', 'Jeff Daniels', 'Joely Richardson']","['Animal Adventure', 'Urban Adventure', 'Adventure', 'Comedy', 'Crime', 'Family']","['United States', 'United Kingdom']","['Minster Court, Mincing Lane, City of London, England, UK']","['Walt Disney Pictures', 'Great Oaks Entertainment', 'Wizzer Productions']","['English', 'Spanish']",3,10,0,1996
7. The Rock,https://www.imdb.com/title/tt0117500/?ref_=sr_t_7,1996,2h 16m,R,7.4,367K,"A mild-mannered chemist and an ex-con must lead the counterstrike when a rogue group of military men, led by a renegade general, threaten a nerve gas attack from Alcatraz against San Francisco.",75000000.0,335062621,134069511,25069525,['Michael Bay'],"['David Weisberg', 'Douglas Cook', 'Mark Rosner']","['Sean Connery', 'Nicolas Cage', 'Ed Harris']","['Action', 'Adventure', 'Thriller']",['United States'],"['Alcatraz Island, San Francisco Bay, California, USA']","['Hollywood Pictures', 'Don Simpson/Jerry Bruckheimer Films']",['English'],9,10,1,1996
8. The Nutty Professor,https://www.imdb.com/title/tt0117218/?ref_=sr_t_8,1996,1h 35m,PG-13,5.7,127K,Grossly overweight yet good-hearted professor Sherman Klump takes a special chemical that turns him into the slim but obnoxious Buddy Love.,54000000.0,273961019,128814019,25411725,['Tom Shadyac'],"['Jerry Lewis', 'Bill Richmond', 'David Sheffield']","['Eddie Murphy', 'Jada Pinkett Smith', 'James Coburn']","['Slapstick', 'Comedy', 'Romance', 'Sci-Fi']",['United States'],"['Biltmore Hotel - 506 S. Grand Avenue, Downtown, Los Angeles, California, USA']",['Imagine Entertainment'],['English'],10,12,1,1996
9. The Birdcage,https://www.imdb.com/title/tt0115685/?ref_=sr_t_9,1996,1h 57m,R,7.2,105K,"A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancée's right-wing, conservative parents.",31000000.0,185260553,124060553,18275828,['Mike Nichols'],"['Jean Poiret', 'Francis Veber', 'Édouard Molinaro']","['Robin Williams', 'Nathan Lane', 'Gene Hackman']","['Farce', 'Comedy']",['United States'],"['Carlyle Hotel - 1250 Ocean Drive, Miami Beach, Florida, USA']",['United Artists'],['English'],7,25,1,1996
10. A Time to Kill,https://www.imdb.com/title/tt0117913/?ref_=sr_t_10,1996,2h 29m,R,7.5,188K,A young Mississippi lawyer defends a black man who killed the two white men that raped his preteen daughter.,40000000.0,152266007,108766007,14823159,['Joel Schumacher'],"['John Grisham', 'Akiva Goldsman']","['Matthew McConaughey', 'Sandra Bullock', 'Samuel L. Jackson']","['Legal Thriller', 'Crime', 'Drama', 'Thriller']",['United States'],"['London, Ontario, Canada']","['New Regency Productions', 'Warner Bros.']",['English'],7,12,0,1996
