Title,Movie Link,Year,Duration,MPA,Rating,Votes,Description
1. The Sound of Music,https://www.imdb.com/title/tt0059742/?ref_=sr_t_1,1965,2h 52m,G,8.1,273K,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.
2. Doctor Zhivago,https://www.imdb.com/title/tt0059113/?ref_=sr_t_2,1965,3h 17m,Approved,7.9,84K,"The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution."
3. Thunderball,https://www.imdb.com/title/tt0059800/?ref_=sr_t_3,1965,2h 10m,Approved,6.9,131K,James Bond heads to the Bahamas to recover two nuclear warheads stolen by S.P.E.C.T.R.E. Agent Emilio Largo in an international extortion scheme.
4. For a Few Dollars More,https://www.imdb.com/title/tt0059578/?ref_=sr_t_4,1965,2h 12m,R,8.2,285K,Two bounty killers with similar intentions but different motivations team up to track down a psychotic Mexican outlaw before he and his gang can carry out an audacious bank robbery.
5. War and Peace,https://www.imdb.com/title/tt0063794/?ref_=sr_t_5,1965,6h 33m,GP,8.3,8.8K,The Russian aristocracy prepares for the French invasion on the eve of 1812.
6. Chimes at Midnight,https://www.imdb.com/title/tt0059012/?ref_=sr_t_6,1965,1h 55m,Not Rated,7.6,11K,"When King Henry IV ascends to the throne, his heir, the Prince of Wales, is befriended by Sir John Falstaff, an old, overweight, fun-loving habitual liar. Through Falstaff's eyes we see the reign of King Henry IV and the rise of Henry V."
7. Pierrot le Fou,https://www.imdb.com/title/tt0059592/?ref_=sr_t_7,1965,1h 50m,PG-13,7.4,38K,"Pierrot escapes his boring society and travels from Paris to the Mediterranean Sea with Marianne, a girl chased by hit-men from Algeria. They lead an unorthodox life, always on the run."
8. Alphaville,https://www.imdb.com/title/tt0058898/?ref_=sr_t_8,1965,1h 39m,Not Rated,7.0,29K,An agent wrecks the main computer on another planet.
9. Red Beard,https://www.imdb.com/title/tt0058888/?ref_=sr_t_9,1965,3h 5m,Not Rated,8.3,22K,"In 19th-century Japan, a rough-tempered yet charitable town doctor trains a young intern."
10. Major Dundee,https://www.imdb.com/title/tt0059418/?ref_=sr_t_10,1965,2h 3m,Approved,6.7,9.1K,"In 1864, due to frequent Apache raids from Mexico into the U.S., a Union officer decides to illegally cross the border and destroy the Apache, using a mixed army of Union troops, Confederate POWs, civilian mercenaries, and scouts."
11. I Knew Her Well,https://www.imdb.com/title/tt0060545/?ref_=sr_t_11,1965,1h 55m,Not Rated,7.6,3.3K,"Adriana, a naive Italian country girl, moves to Rome to become a movie star and experiences the dark side of the business."
12. Six in Paris,https://www.imdb.com/title/tt0059565/?ref_=sr_t_12,1965,1h 35m,,6.7,1.5K,"Six vignettes set in different sections of Paris, by six directors. St. Germain des Pres (Douchet), Gare du Nord (Rouch), Rue St. Denis (Pollet), and Montparnasse et Levallois (Godard) are stories of love, flirtation and prostitution; Place d'Etoile (Rohmer) concerns a haberdasher and his umbrella; and La Muette (Chabrol), a bourgeois family and earplugs."
13. Shakespeare-Wallah,https://www.imdb.com/title/tt0059709/?ref_=sr_t_13,1965,2h,Not Rated,6.8,957,"The family troupe of English actors in India, performing Shakespearean plays, witness India's transformation as Maharajas shift to hotel owners, sports dominate, and theater replaced by Bolliwood movies."
14. Who's Crazy?,https://www.imdb.com/title/tt4775814/?ref_=sr_t_14,1965,1h 13m,,5.7,54,Patients from an insane asylum find refuge at a farmhouse after escaping from a bus.
15. Ship of Fools,https://www.imdb.com/title/tt0059712/?ref_=sr_t_15,1965,2h 29m,Approved,7.1,7.3K,A varied group of passengers boarding a ship bound for pre-WWII Germany represents a microcosm of early-1930s society.
