Title,Movie Link,Year,Duration,MPA,Rating,Votes,Description
1. Titanic,https://www.imdb.com/title/tt0120338/?ref_=sr_t_1,1997,3h 14m,PG-13,7.9,1.3M,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic."
2. Men in Black,https://www.imdb.com/title/tt0119654/?ref_=sr_t_2,1997,1h 38m,PG-13,7.3,633K,"James, an NYC cop, is hired by Agent K of a secret government agency that monitors extraterrestrial life on Earth. Together, they must recover an item that has been stolen by an intergalactic villain."
3. The Lost World: Jurassic Park,https://www.imdb.com/title/tt0119567/?ref_=sr_t_3,1997,2h 9m,PG-13,6.6,455K,"A research team is sent to the Jurassic Park Site B island to study the dinosaurs there, while an InGen team approaches with another agenda."
4. Liar Liar,https://www.imdb.com/title/tt0119528/?ref_=sr_t_4,1997,1h 26m,PG-13,6.9,346K,A pathological liar-lawyer finds his career turned upside down when he inexplicably cannot physically lie for 24 whole hours.
5. Air Force One,https://www.imdb.com/title/tt0118571/?ref_=sr_t_5,1997,2h 4m,R,6.5,216K,"Communist radicals led by Ivan Korshunov hijack Air Force One with US President James Marshall and his family on board. Vice President Kathryn Bennett negotiates from Washington D.C., while Marshall fights to rescue the hostages on board."
6. As Good as It Gets,https://www.imdb.com/title/tt0119822/?ref_=sr_t_6,1997,2h 19m,PG-13,7.7,326K,"A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery."
7. Good Will Hunting,https://www.imdb.com/title/tt0119217/?ref_=sr_t_7,1997,2h 6m,R,8.3,1.1M,"Will Hunting, a janitor at MIT, has a gift for mathematics, but needs help from a psychologist to find direction in his life."
8. My Best Friend's Wedding,https://www.imdb.com/title/tt0119738/?ref_=sr_t_8,1997,1h 45m,PG-13,6.4,160K,"When a woman's long-time friend reveals he's engaged, she realizes she loves him herself and sets out to get him, with only days before the wedding."
9. Tomorrow Never Dies,https://www.imdb.com/title/tt0120347/?ref_=sr_t_9,1997,1h 59m,PG-13,6.5,209K,James Bond sets out to stop a media mogul's plan to induce a war between China and the United Kingdom.
10. Face/Off,https://www.imdb.com/title/tt0119094/?ref_=sr_t_10,1997,2h 18m,R,7.3,412K,"To foil a terrorist plot, an FBI agent assumes the identity of the criminal who murdered his son via facial transplant surgery, but the crook wakes up prematurely and vows revenge."
11. Batman & Robin,https://www.imdb.com/title/tt0118688/?ref_=sr_t_11,1997,2h 5m,PG-13,3.8,274K,Batman and Robin try to keep their relationship together even as they must stop Mr. Freeze and Poison Ivy from freezing Gotham City.
12. George of the Jungle,https://www.imdb.com/title/tt0119190/?ref_=sr_t_12,1997,1h 32m,PG,5.5,86K,A man raised in the jungle by apes falls in love with a wealthy American heiress.
13. Scream 2,https://www.imdb.com/title/tt0120082/?ref_=sr_t_13,1997,2h,R,6.3,220K,"Two years after the first series of murders, as Sidney acclimates to college life, someone donning the Ghostface costume begins a new string of killings."
14. Con Air,https://www.imdb.com/title/tt0118880/?ref_=sr_t_14,1997,1h 55m,R,6.9,328K,Newly-paroled ex-con and former U.S. Ranger Cameron Poe finds himself trapped in a prisoner-transport plane when the passengers seize control.
15. Contact,https://www.imdb.com/title/tt0118884/?ref_=sr_t_15,1997,2h 30m,PG,7.5,301K,"Dr. Ellie Arroway, after years of searching, finds conclusive radio proof of extraterrestrial intelligence, sending plans for a mysterious machine."
16. Hercules,https://www.imdb.com/title/tt0119282/?ref_=sr_t_16,1997,1h 33m,G,7.3,265K,The son of Zeus and Hera is stripped of his immortality as an infant and must become a true hero in order to reclaim it.
17. Flubber,https://www.imdb.com/title/tt0119137/?ref_=sr_t_17,1997,1h 33m,PG,5.3,97K,"An absent-minded professor discovers ""flubber,"" a rubber-like super-bouncy substance."
18. Conspiracy Theory,https://www.imdb.com/title/tt0118883/?ref_=sr_t_18,1997,2h 15m,R,6.7,110K,"A taxi driver with a penchant for conspiracy theories becomes a target after one of these theories turns out to be true. Unfortunately, to save himself, he has to figure out which theory it is."
19. I Know What You Did Last Summer,https://www.imdb.com/title/tt0119345/?ref_=sr_t_19,1997,1h 41m,R,5.8,164K,Four young friends bound by a tragic accident are reunited when they find themselves being stalked by a hook-wielding maniac in their small seaside town.
20. Dante's Peak,https://www.imdb.com/title/tt0118928/?ref_=sr_t_20,1997,1h 48m,PG-13,6.0,102K,"A volcanologist arrives at a countryside town recently named the second-most desirable place to live in America, and discovers that a nearby long-dormant volcano may awaken at any moment."
21. Anaconda,https://www.imdb.com/title/tt0118615/?ref_=sr_t_21,1997,1h 29m,PG-13,4.9,115K,"A ""National Geographic"" film crew is taken hostage by an insane hunter, who forces them along on his quest to capture the world's largest - and deadliest - snake."
22. L.A. Confidential,https://www.imdb.com/title/tt0119488/?ref_=sr_t_22,1997,2h 18m,R,8.2,636K,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice."
23. In & Out,https://www.imdb.com/title/tt0119360/?ref_=sr_t_23,1997,1h 30m,PG-13,6.4,45K,A midwestern teacher questions his sexuality after a former student makes a comment about him at the Academy Awards.
24. The Fifth Element,https://www.imdb.com/title/tt0119116/?ref_=sr_t_24,1997,2h 6m,PG-13,7.6,522K,"In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay."
25. Mousehunt,https://www.imdb.com/title/tt0119715/?ref_=sr_t_25,1997,1h 38m,PG,6.5,62K,Two stumblebum inheritors are determined to rid their antique house of a mouse who is equally determined to stay where he is.
26. The Saint,https://www.imdb.com/title/tt0120053/?ref_=sr_t_26,1997,1h 56m,PG-13,6.2,74K,"Simon ""The Saint"" Templar (Val Kilmer), is a thief for hire, whose latest job to steal the secret process for cold fusion puts him at odds with a traitor bent on toppling the Russian government, as well as the woman who holds its secret."
27. The Devil's Advocate,https://www.imdb.com/title/tt0118971/?ref_=sr_t_27,1997,2h 24m,R,7.5,418K,An exceptionally adept Florida lawyer is offered a job at a high-end New York City law firm with a high-end boss - the biggest opportunity of his career to date.
28. Kiss the Girls,https://www.imdb.com/title/tt0119468/?ref_=sr_t_28,1997,1h 55m,R,6.6,93K,Police hunting for a serial kidnapper are helped when a victim manages to escape for the first time.
29. Jungle 2 Jungle,https://www.imdb.com/title/tt0119432/?ref_=sr_t_29,1997,1h 45m,PG,5.2,27K,"A man learns he has a thirteen-year-old son who was raised in the jungle and brings the boy to New York City, turning his life upside down in the process."
30. Anastasia,https://www.imdb.com/title/tt0118617/?ref_=sr_t_30,1997,1h 34m,G,7.1,140K,"The last surviving child of the Russian Royal Family joins two con men to reunite with her grandmother, the Dowager Empress, while the undead Rasputin seeks her death."
31. Life Is Beautiful,https://www.imdb.com/title/tt0118799/?ref_=sr_t_31,1997,1h 56m,PG-13,8.6,769K,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp."
32. The Jackal,https://www.imdb.com/title/tt0119395/?ref_=sr_t_32,1997,2h 4m,R,6.4,128K,"An imprisoned I.R.A. fighter is freed to help stop a brutal, seemingly ""faceless"" assassin from completing his next job."
33. Spawn,https://www.imdb.com/title/tt0120177/?ref_=sr_t_33,1997,1h 36m,PG-13,5.2,74K,"An elite mercenary is killed, but comes back from Hell as a reluctant soldier of the Devil."
34. Starship Troopers,https://www.imdb.com/title/tt0120201/?ref_=sr_t_34,1997,2h 9m,R,7.3,332K,"Humans, in a fascist militaristic future, wage war with giant alien bugs."
35. Austin Powers: International Man of Mystery,https://www.imdb.com/title/tt0118655/?ref_=sr_t_35,1997,1h 29m,PG-13,7.0,264K,A world-class playboy and part-time secret agent from the 1960s emerges after thirty years in a cryogenic state to battle with his nemesis Dr. Evil.
36. Breakdown,https://www.imdb.com/title/tt0118771/?ref_=sr_t_36,1997,1h 33m,R,7.0,65K,A man searches for his missing wife after his car breaks down in the middle of the desert.
37. Absolute Power,https://www.imdb.com/title/tt0118548/?ref_=sr_t_37,1997,2h 1m,R,6.7,62K,Career thief Luther Whitney (Clint Eastwood) witnesses a horrific crime involving U.S. President Alan Richmond (Gene Hackman).
38. Volcano,https://www.imdb.com/title/tt0120461/?ref_=sr_t_38,1997,1h 44m,PG-13,5.5,84K,A volcano erupts in downtown Los Angeles and a city official and a seismologist try to stop its inevitable flow through the city.
39. Speed 2: Cruise Control,https://www.imdb.com/title/tt0120179/?ref_=sr_t_39,1997,2h 1m,PG-13,4.0,88K,A computer hacker breaks into the computer system of the Seabourn Legend cruise liner and sets it speeding on a collision course into a gigantic oil tanker.
40. The Game,https://www.imdb.com/title/tt0119174/?ref_=sr_t_40,1997,2h 9m,R,7.7,448K,"After a wealthy San Francisco banker is given an opportunity to participate in a mysterious game, his life is turned upside down as he begins to question if it might really be a concealed conspiracy to destroy him."
41. G.I. Jane,https://www.imdb.com/title/tt0119173/?ref_=sr_t_41,1997,2h 5m,R,6.0,90K,"Lt. Jordan, a US Navy topographic analyst, joins the US Navy Special Warfare Group and struggles to prove her worth in a unit dominated by men. But a cynical woman Texan senator has sold her out."
42. Alien Resurrection,https://www.imdb.com/title/tt0118583/?ref_=sr_t_42,1997,1h 49m,R,6.2,280K,"Two centuries after her death, a powerful human/alien hybrid clone of Ellen Ripley aids a crew of space pirates in stopping the aliens from reaching Earth."
43. The Full Monty,https://www.imdb.com/title/tt0119164/?ref_=sr_t_43,1997,1h 31m,R,7.2,116K,"Six unemployed steel workers form a male striptease act. The women cheer them on to go for ""the full monty"" - total nudity."
44. The Rainmaker,https://www.imdb.com/title/tt0119978/?ref_=sr_t_44,1997,2h 15m,PG-13,7.2,86K,A newly minted lawyer who's just passed the bar exam takes on a fraudulent insurance company in a multi-million dollar lawsuit.
45. Bean,https://www.imdb.com/title/tt0118689/?ref_=sr_t_45,1997,1h 29m,PG-13,6.5,113K,The bumbling Mr. Bean travels to America when he is given the responsibility of bringing a highly valuable painting to a Los Angeles museum.
46. Cop Land,https://www.imdb.com/title/tt0118887/?ref_=sr_t_46,1997,1h 45m,R,7.0,110K,"The Sheriff of a suburban New Jersey community, populated by New York City police officers, slowly discovers the town is a front for mob connections and corruption."
47. Nothing to Lose,https://www.imdb.com/title/tt0119807/?ref_=sr_t_47,1997,1h 38m,R,6.7,51K,"Nick's wife's in bed with his boss. He later gets a gun to his head by a carjacker but steps on the gas pedal. They end up friends after adventures together - holdups, burglary, reckless driving, revenge etc. Twists follow."
48. Amistad,https://www.imdb.com/title/tt0118607/?ref_=sr_t_48,1997,2h 35m,R,7.3,85K,"In 1839, the revolt of Mende captives aboard a Spanish owned ship causes a major controversy in the United States when the ship is captured off the coast of Long Island. The courts must decide whether the Mende are slaves or legally free."
49. Soul Food,https://www.imdb.com/title/tt0120169/?ref_=sr_t_49,1997,1h 55m,R,7.0,9.3K,"One person can keep a family together and, when that one person is gone, a family can be torn apart."
50. Wag the Dog,https://www.imdb.com/title/tt0120885/?ref_=sr_t_50,1997,1h 37m,R,7.1,90K,"Shortly before an election, a spin-doctor and a Hollywood producer join efforts to fabricate a war in order to cover up a Presidential sex scandal."
51. The Devil's Own,https://www.imdb.com/title/tt0118972/?ref_=sr_t_51,1997,1h 51m,R,6.2,74K,"A police officer uncovers the real identity of his house-guest, an I.R.A. terrorist in hiding."
52. Donnie Brasco,https://www.imdb.com/title/tt0119008/?ref_=sr_t_52,1997,2h 7m,R,7.7,342K,An FBI undercover agent infiltrates the mob and finds himself identifying more with the Mafia life--at the expense of his regular one.
53. The Peacemaker,https://www.imdb.com/title/tt0119874/?ref_=sr_t_53,1997,2h 4m,R,6.0,64K,A US Army colonel and a civilian woman supervising him must track down stolen Russian nuclear weapons before they're used by terrorists.
54. Private Parts,https://www.imdb.com/title/tt0119951/?ref_=sr_t_54,1997,1h 49m,R,6.9,40K,"The autobiographical story of Howard Stern, the radio rebel who is now also a TV personality, an author and a movie star."
55. Money Talks,https://www.imdb.com/title/tt0119695/?ref_=sr_t_55,1997,1h 37m,R,6.2,32K,"Sought by police and criminals, a small-time hustler makes a deal with a TV newsman for protection."
56. Jackie Brown,https://www.imdb.com/title/tt0119396/?ref_=sr_t_56,1997,2h 34m,R,7.5,387K,"A flight attendant with a criminal past gets nabbed by the ATF for smuggling. Under pressure to become an informant against the illegal arms dealer she works for, she must find a way to secure her future without getting killed."
57. Seven Years in Tibet,https://www.imdb.com/title/tt0120102/?ref_=sr_t_57,1997,2h 16m,PG-13,7.1,161K,"Heinrich Harrer, an Austrian climber, breaks out of prison and travels to the holy city of Lhasa. He is employed as an instructor to the 14th Dalai Lama and soon becomes his close confidante."
58. Vegas Vacation,https://www.imdb.com/title/tt0120434/?ref_=sr_t_58,1997,1h 33m,PG,5.9,54K,"In the fourth outing for the vacation franchise, the Griswolds have to survive Vegas fever when they go to Las Vegas for a fun family vacation."
59. Mortal Kombat: Annihilation,https://www.imdb.com/title/tt0119707/?ref_=sr_t_59,1997,1h 35m,PG-13,3.6,59K,A group of martial-arts warriors has only six days to save the Earth from an extra-dimensional invasion.
60. Selena,https://www.imdb.com/title/tt0120094/?ref_=sr_t_60,1997,2h 7m,PG,6.9,33K,"The true story of Selena, a Texas-born Tejana singer who rose from cult status to performing at the Astrodome, as well as having chart-topping albums on the Latin music charts."
61. Addicted to Love,https://www.imdb.com/title/tt0118556/?ref_=sr_t_61,1997,1h 40m,R,6.1,26K,"Maggie's and Sam's former partners are in love; she wants revenge and he wants his lost love back, so they work together to break up the happy couple."
62. The Relic,https://www.imdb.com/title/tt0120004/?ref_=sr_t_62,1997,1h 50m,R,5.8,31K,"A homicide detective and an anthropologist try to destroy a South American lizard-like God, who's on a people eating rampage in a Chicago museum."
63. Metro,https://www.imdb.com/title/tt0119664/?ref_=sr_t_63,1997,1h 57m,R,5.6,30K,A Hostage Negotiator teams up with a Sharpshooter to bring down a dangerous jewel thief.
64. For Richer or Poorer,https://www.imdb.com/title/tt0119142/?ref_=sr_t_64,1997,1h 55m,PG-13,5.8,12K,"An unhappily-married Manhattan socialite couple flee from the IRS and end up in Amish country, where they pretend to be visiting relatives."
65. Beverly Hills Ninja,https://www.imdb.com/title/tt0118708/?ref_=sr_t_65,1997,1h 28m,PG-13,5.6,45K,A man tries to rescue a woman with a little help from his half brother.
66. Picture Perfect,https://www.imdb.com/title/tt0119896/?ref_=sr_t_66,1997,1h 41m,PG-13,5.5,22K,"Shy awkward young Mercer Advertising Agency executive Kate Mosley's life becomes increasingly complicated when she attempts to impress her boss by pretending to be engaged to wedding photographer Nick, whom she has just met."
67. Home Alone 3,https://www.imdb.com/title/tt0119303/?ref_=sr_t_67,1997,1h 42m,PG,4.6,132K,"Alex Pruitt, an 8-year-old boy living in Chicago, must fend off four international criminals who are seeking a top-secret microchip in his toy car."
68. Fools Rush In,https://www.imdb.com/title/tt0119141/?ref_=sr_t_68,1997,1h 49m,PG-13,6.1,41K,"After a one-night stand with Alex, Isabel realizes that she is pregnant and they decide to get married. However, along with the marriage comes compromise of one's own cultural traditions."
69. Spice World,https://www.imdb.com/title/tt0120185/?ref_=sr_t_69,1997,1h 33m,PG,3.7,38K,World-famous pop group the Spice Girls zip around London in their luxurious double-decker tour bus having various adventures and performing for their fans.
70. Romy and Michele's High School Reunion,https://www.imdb.com/title/tt0120032/?ref_=sr_t_70,1997,1h 32m,R,6.3,56K,"Two dim-witted, inseparable friends hit the road for their ten-year high school reunion and concoct an elaborate lie about their lives in order to impress their classmates."
71. Out to Sea,https://www.imdb.com/title/tt0119848/?ref_=sr_t_71,1997,1h 46m,PG-13,6.1,9.8K,"A failed gambler, intent on meeting a rich widow, tricks his widowed brother-in-law into boarding a cruise ship as dance hosts."
72. Fathers' Day,https://www.imdb.com/title/tt0119109/?ref_=sr_t_72,1997,1h 38m,PG-13,5.3,17K,A woman cons two old boyfriends into searching for her runaway son by convincing both that they are the boy's father.
73. Grosse Pointe Blank,https://www.imdb.com/title/tt0119229/?ref_=sr_t_73,1997,1h 47m,R,7.3,102K,"Professional assassin Martin Blank is sent on a mission to a small Detroit suburb, Grosse Pointe--where, by coincidence, his 10-year high-school reunion party is about to take place."
74. The Edge,https://www.imdb.com/title/tt0119051/?ref_=sr_t_74,1997,1h 57m,R,6.9,82K,An intellectual billionaire and two other men struggle to band together and survive after getting stranded in the Alaskan wilderness with a blood-thirsty Kodiak Bear hunting them down.
75. Event Horizon,https://www.imdb.com/title/tt0119081/?ref_=sr_t_75,1997,1h 36m,R,6.6,204K,A rescue crew is tasked with investigating the mysterious reappearance of a spaceship that had been lost for seven years.
76. An American Werewolf in Paris,https://www.imdb.com/title/tt0118604/?ref_=sr_t_76,1997,1h 38m,R,5.1,28K,An American man unwittingly gets involved with French werewolves who have developed a serum allowing them to transform at will.
77. Boogie Nights,https://www.imdb.com/title/tt0118749/?ref_=sr_t_77,1997,2h 35m,R,7.9,289K,An idealistic porn producer aspires to elevate his craft to an art when he discovers a hot young talent.
78. Murder at 1600,https://www.imdb.com/title/tt0119731/?ref_=sr_t_78,1997,1h 47m,R,6.1,34K,A young woman is murdered in the White House. Homicide detective Regis investigates while Secret Service works against him. He's assigned agent Chance. She eventually cooperates after a man's framed.
79. Mimic,https://www.imdb.com/title/tt0119675/?ref_=sr_t_79,1997,1h 45m,R,6.0,57K,"Three years ago, entomologist Dr. Susan Tyler genetically created an insect to kill cockroaches carrying a virulent disease. Now, the insects are out to destroy their only predator, mankind."
80. Midnight in the Garden of Good and Evil,https://www.imdb.com/title/tt0119668/?ref_=sr_t_80,1997,2h 35m,R,6.6,42K,"A visiting city reporter's assignment suddenly revolves around the murder trial of a local millionaire, whom he befriends."
81. Good Burger,https://www.imdb.com/title/tt0119215/?ref_=sr_t_81,1997,1h 35m,PG,5.8,35K,"A dim-witted teenager and his new coworker try to save the old burger joint they work for from failing after the opening of a brand new burger restaurant across the street, which is planning to put them out of business."
82. Hoodlum,https://www.imdb.com/title/tt0119311/?ref_=sr_t_82,1997,2h 10m,R,6.3,13K,Black gangsters in 1930 Harlem fights Dutch Schultz who is trying to horn in on their numbers racket.
83. Air Bud,https://www.imdb.com/title/tt0118570/?ref_=sr_t_83,1997,1h 38m,PG,5.3,20K,An unexpected player joins the school basketball team - a circus dog who escaped from a cruel master.
84. The Borrowers,https://www.imdb.com/title/tt0118755/?ref_=sr_t_84,1997,1h 29m,PG,5.9,24K,A secret family of four-inch people living inside the walls of a house must save their home from an evil real estate developer.
85. Red Corner,https://www.imdb.com/title/tt0119994/?ref_=sr_t_85,1997,2h 2m,R,6.3,19K,"An American attorney on business in China is wrongfully arrested and put on trial for murder, with a female defense lawyer from the country the only key to proving his innocence."
86. Mr. Magoo,https://www.imdb.com/title/tt0119718/?ref_=sr_t_86,1997,1h 27m,PG,4.1,16K,The myopic millionaire defeats jewel smugglers in his usual bumbling manner.
87. Booty Call,https://www.imdb.com/title/tt0118750/?ref_=sr_t_87,1997,1h 19m,R,5.5,9.8K,Two friends who have gone too long without sex set out to get some.
88. The Apostle,https://www.imdb.com/title/tt0118632/?ref_=sr_t_88,1997,2h 14m,PG-13,7.2,15K,"After his happy life spins out of control, a preacher from Texas changes his name, goes to Louisiana and starts preaching on the radio."
89. Gone Fishin',https://www.imdb.com/title/tt0119214/?ref_=sr_t_89,1997,1h 34m,PG,4.8,11K,Two lifelong fishing buddies must overcome a series of obstacles to enjoy their ultimate fishing trip.
90. That Darn Cat,https://www.imdb.com/title/tt0120317/?ref_=sr_t_90,1997,1h 29m,PG,4.7,5K,"A maid is kidnapped and scratches a message onto D.C. the cat's collar and when his owner Patti discovers this, she plays amateur detective with the help of D.C. to try to find the culprits."
91. The Postman,https://www.imdb.com/title/tt0119925/?ref_=sr_t_91,1997,2h 57m,R,6.1,81K,A nameless drifter dons a postman's uniform and bag of mail as he begins a quest to inspire hope to the survivors living in post-apocalyptic America.
