Title,Movie Link,Year,Duration,MPA,Rating,Votes,Description,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
1. Ghostbusters,https://www.imdb.com/title/tt0087332/?ref_=sr_t_1,1984,1h 45m,PG,7.8,467K,"Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers.",30000000.0,296640120,243640120,13578151,['Ivan Reitman'],"['Dan Aykroyd', 'Harold Ramis', 'Rick Moranis']","['Bill Murray', 'Dan Aykroyd', 'Sigourney Weaver']","['High-Concept Comedy', 'Quirky Comedy', 'Supernatural Fantasy', 'Action', 'Comedy', 'Fantasy', 'Sci-Fi']",['United States'],"['Fire Station 23 - 225 E. 5th Street, Los Angeles, California, USA']","['Columbia Pictures', 'Delphi Films', 'Black Rhino Productions']",['English'],9,9,2,1984
2. Beverly Hills Cop,https://www.imdb.com/title/tt0086960/?ref_=sr_t_2,1984,1h 45m,R,7.4,222K,A freewheeling Detroit cop pursuing a murder investigation finds himself dealing with the very different culture of Beverly Hills.,13000000.0,316360478,234760478,15214805,['Martin Brest'],"['Daniel Petrie Jr.', 'Danilo Bach']","['Eddie Murphy', 'Judge Reinhold', 'John Ashton']","['Buddy Cop', 'Police Procedural', 'Action', 'Comedy', 'Crime', 'Thriller']",['United States'],"['609 E Channel Rd, Santa Monica, California, USA']","['Paramount Pictures', 'Don Simpson/Jerry Bruckheimer Films', 'Eddie Murphy Productions']",['English'],6,7,1,1984
3. Indiana Jones and the Temple of Doom,https://www.imdb.com/title/tt0087469/?ref_=sr_t_3,1984,1h 58m,PG,7.5,548K,"In 1935, Indiana Jones is tasked by Indian villagers with reclaiming a rock stolen from them by a secret cult beneath the catacombs of an ancient palace.",28000000.0,333107271,179870271,25337110,['Steven Spielberg'],"['Willard Huyck', 'Gloria Katz', 'George Lucas']","['Harrison Ford', 'Kate Capshaw', 'Ke Huy Quan']","['Adventure Epic', 'Globetrotting Adventure', 'Jungle Adventure', 'Action', 'Adventure']",['United States'],['Sri Lanka'],"['Paramount Pictures', 'Lucasfilm']","['English', 'Sinhala', 'Hindi']",11,22,1,1984
4. Gremlins,https://www.imdb.com/title/tt0087363/?ref_=sr_t_4,1984,1h 46m,PG,7.3,260K,A young man inadvertently breaks three important rules concerning his new pet and unleashes a horde of malevolently mischievous monsters on a small town.,11000000.0,165434642,153642180,12511634,['Joe Dante'],['Chris Columbus'],"['Zach Galligan', 'Phoebe Cates', 'Hoyt Axton']","['Dark Comedy', 'Dark Fantasy', 'Holiday Comedy', 'Monster Horror', 'Quirky Comedy', 'Supernatural Fantasy', 'Supernatural Horror', 'Comedy', 'Fantasy', 'Holiday']",['United States'],"['Courthouse Square, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA']","['Warner Bros.', 'Amblin Entertainment']","['English', 'Spanish']",8,7,0,1984
5. The Karate Kid,https://www.imdb.com/title/tt0087538/?ref_=sr_t_5,1984,2h 6m,PG,7.3,255K,"Recently relocated from NJ to LA, Daniel becomes the target of a gang of Cobra Kai dojo students. When Mr. Miyagi saves him with expert Karate skills, Daniel convinces him to teach him to defend himself, and put his bullies in their place.",8000000.0,91133062,91077276,5031753,['John G. Avildsen'],['Robert Mark Kamen'],"['Ralph Macchio', 'Pat Morita', 'Elisabeth Shue']","['Coming-of-Age', 'Martial Arts', 'Teen Drama', 'Action', 'Drama', 'Family', 'Sport']",['United States'],"[""Golf 'N' Stuff - 10555 Firestone Blvd., Norwalk, California, USA""]","['Columbia Pictures', 'Delphi II Productions', 'Jerry Weintraub Productions']","['English', 'Japanese']",3,4,1,1984
6. Police Academy,https://www.imdb.com/title/tt0087928/?ref_=sr_t_6,1984,1h 36m,R,6.7,142K,"The mayor declares that anyone can enroll in the police academy irrespective of their physical condition or education level, and many misfits descend on the academy, including a young troublemaker who's forced to apply or go to jail.",4800000.0,81198894,81198894,8570007,['Hugh Wilson'],"['Neal Israel', 'Pat Proft', 'Hugh Wilson']","['Steve Guttenberg', 'G.W. Bailey', 'Kim Cattrall']","['Farce', 'Raunchy Comedy', 'Slapstick', 'Comedy']",['United States'],"['Humber College - 3199 Lake Shore Blvd, Toronto, Ontario, Canada']","['The Ladd Company', 'Warner Bros.']",['English'],0,0,0,1984
7. Footloose,https://www.imdb.com/title/tt0087277/?ref_=sr_t_7,1984,1h 47m,PG,6.6,97K,A big city teenager moves to a small town where Rock and Roll music and dancing have been banned by backward local parents and his rebellious spirit shakes up the populace.,8200000.0,80047589,80035402,8556935,['Herbert Ross'],['Dean Pitchford'],"['Kevin Bacon', 'Lori Singer', 'John Lithgow']","['Coming-of-Age', 'Teen Drama', 'Teen Romance', 'Drama', 'Music', 'Romance']",['United States'],"['Provo, Utah, USA']","['Paramount Pictures', 'Phoenix Pictures', 'IndieProd Company Productions']",['English'],2,6,2,1984
8. Romancing the Stone,https://www.imdb.com/title/tt0088011/?ref_=sr_t_8,1984,1h 46m,PG,6.9,107K,"A mousy romance novelist sets off for Colombia to ransom her kidnapped sister, and soon finds herself in the middle of a dangerous adventure hunting for treasure with a mercenary rogue.",10000000.0,86572238,76572238,5105741,['Robert Zemeckis'],['Diane Thomas'],"['Michael Douglas', 'Kathleen Turner', 'Danny DeVito']","['Feel-Good Romance', 'Jungle Adventure', 'Quest', 'Action', 'Adventure', 'Comedy', 'Romance']","['United States', 'Mexico']","['Huasca de Ocampo, Hidalgo, Mexico']","['Twentieth Century Fox', 'El Corazon Producciones S.A.', 'Nina Saxon Film Design']","['English', 'Spanish', 'French']",8,7,1,1984
9. Star Trek III: The Search for Spock,https://www.imdb.com/title/tt0088170/?ref_=sr_t_9,1984,1h 45m,PG,6.6,88K,Admiral Kirk and his bridge crew risk their careers stealing the decommissioned U.S.S. Enterprise to return to the restricted Genesis Planet to recover Spock's body.,17000000.0,76551989,76471046,16673295,['Leonard Nimoy'],"['Gene Roddenberry', 'Harve Bennett']","['William Shatner', 'Leonard Nimoy', 'DeForest Kelley']","['Space Sci-Fi', 'Action', 'Adventure', 'Sci-Fi']",['United States'],"['Occidental College - 1600 Campus Road, Eagle Rock, Los Angeles, California, USA']","['Paramount Pictures', 'Cinema Group Ventures']","['English', 'Klingon', 'Russian', 'French']",0,7,0,1984
10. Purple Rain,https://www.imdb.com/title/tt0087957/?ref_=sr_t_10,1984,1h 51m,R,6.5,25K,"A young musician, tormented by an abusive situation at home, must contend with a rival singer, a burgeoning romance, and his own dissatisfied band, as his star begins to rise.",7000000.0,70273498,70261052,7766201,['Albert Magnoli'],"['Albert Magnoli', 'William Blinn']","['Prince', 'Apollonia Kotero', 'Morris Day']","['Drama', 'Music', 'Romance']",['United States'],"['First Avenue Club - 29 N. 7th Street, Minneapolis, Minnesota, USA']","['Warner Bros.', 'Purple Films', 'Water']",['English'],9,4,1,1984
