,Title,Year,Duration,Rating,Votes,Description,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,stars,genres,wins,nominations,oscars,genres_count
454,The Imitation Game,2014,114.0,8.0,847000.0,"During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians while attempting to come to terms with his troubled private life.",14000000.0,233555708.0,91125683.0,479352.0,Keira Knightley,Thriller,49,165,1,1725
455,The Imitation Game,2014,114.0,8.0,847000.0,"During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians while attempting to come to terms with his troubled private life.",14000000.0,233555708.0,91125683.0,479352.0,Matthew Goode,Thriller,49,165,1,1725
456,JFK,1991,189.0,8.0,175000.0,New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.,40000000.0,205405498.0,70405498.0,5223658.0,Kevin Costner,Thriller,19,41,2,1725
457,JFK,1991,189.0,8.0,175000.0,New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.,40000000.0,205405498.0,70405498.0,5223658.0,Gary Oldman,Thriller,19,41,2,1725
458,JFK,1991,189.0,8.0,175000.0,New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.,40000000.0,205405498.0,70405498.0,5223658.0,Jack Lemmon,Thriller,19,41,2,1725
459,Blood Diamond,2006,143.0,8.0,602000.0,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.",100000000.0,171720398.0,57377916.0,8648324.0,Leonardo DiCaprio,Adventure,8,32,5,1755
460,Blood Diamond,2006,143.0,8.0,602000.0,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.",100000000.0,171720398.0,57377916.0,8648324.0,Djimon Hounsou,Adventure,8,32,5,1755
461,Blood Diamond,2006,143.0,8.0,602000.0,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.",100000000.0,171720398.0,57377916.0,8648324.0,Jennifer Connelly,Adventure,8,32,5,1755
462,12 Monkeys,1995,129.0,8.0,660000.0,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",29000000.0,168839459.0,57141459.0,184776.0,Bruce Willis,Thriller,11,25,2,1725
463,12 Monkeys,1995,129.0,8.0,660000.0,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",29000000.0,168839459.0,57141459.0,184776.0,Madeleine Stowe,Thriller,11,25,2,1725
464,12 Monkeys,1995,129.0,8.0,660000.0,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",29000000.0,168839459.0,57141459.0,184776.0,Brad Pitt,Thriller,11,25,2,1725
465,Sin City,2005,124.0,8.0,804000.0,"An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption.",40000000.0,158733820.0,74103820.0,28100000.0,Mickey Rourke,Thriller,38,54,0,1725
466,Sin City,2005,124.0,8.0,804000.0,"An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption.",40000000.0,158733820.0,74103820.0,28100000.0,Clive Owen,Thriller,38,54,0,1725
467,Sin City,2005,124.0,8.0,804000.0,"An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption.",40000000.0,158733820.0,74103820.0,28100000.0,Bruce Willis,Thriller,38,54,0,1725
468,Kill Bill: Vol. 2,2004,137.0,8.0,830000.0,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.",30000000.0,154118514.0,66208183.0,25600000.0,Uma Thurman,Action,23,84,0,4080
469,Kill Bill: Vol. 2,2004,137.0,8.0,830000.0,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.",30000000.0,154118514.0,66208183.0,25600000.0,David Carradine,Action,23,84,0,4080
470,Kill Bill: Vol. 2,2004,137.0,8.0,830000.0,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.",30000000.0,154118514.0,66208183.0,25600000.0,Michael Madsen,Action,23,84,0,4080
471,Lion,2016,118.0,8.0,258000.0,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.",12000000.0,140853810.0,51738905.0,123360.0,Dev Patel,Drama,59,110,6,1470
472,Lion,2016,118.0,8.0,258000.0,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.",12000000.0,140853810.0,51738905.0,123360.0,Nicole Kidman,Drama,59,110,6,1470
473,Lion,2016,118.0,8.0,258000.0,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.",12000000.0,140853810.0,51738905.0,123360.0,Rooney Mara,Drama,59,110,6,1470
