,Title,Year,Duration,Rating,Votes,Description,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,stars,genres,wins,nominations,oscars,genres_count
106,Flight Risk,2025,91.0,5.5,8100.0,"A pilot transports an Air Marshal accompanying a fugitive to trial. As they cross the Alaskan wilderness, tensions soar and trust is tested, as not everyone on board is who they seem.",26000000.0,35287470.0,25817667.0,11583488.0,Mark Wahlberg,Action,0,0,0,63
107,Flight Risk,2025,91.0,5.5,8100.0,"A pilot transports an Air Marshal accompanying a fugitive to trial. As they cross the Alaskan wilderness, tensions soar and trust is tested, as not everyone on board is who they seem.",26000000.0,35287470.0,25817667.0,11583488.0,Topher Grace,Action,0,0,0,63
108,You're Cordially Invited,2025,109.0,5.5,17000.0,"When two weddings are double-booked at the same venue, the father of one bride and the sister of the other bride try to preserve the wedding weekend.",25500000.0,977709.0,2339255.0,2339255.0,Will Ferrell,Comedy,0,0,0,18
109,You're Cordially Invited,2025,109.0,5.5,17000.0,"When two weddings are double-booked at the same venue, the father of one bride and the sister of the other bride try to preserve the wedding weekend.",25500000.0,977709.0,2339255.0,2339255.0,Reese Witherspoon,Comedy,0,0,0,18
110,You're Cordially Invited,2025,109.0,5.5,17000.0,"When two weddings are double-booked at the same venue, the father of one bride and the sister of the other bride try to preserve the wedding weekend.",25500000.0,977709.0,2339255.0,2339255.0,Geraldine Viswanathan,Comedy,0,0,0,18
111,Love Hurts,2025,83.0,5.4,2400.0,"A realtor is pulled back into the life he left behind after his former partner-in-crime resurfaces with an ominous message. With his crime-lord brother also on his trail, he must confront his past and the history he never fully buried.",18000000.0,8165080.0,7151080.0,5800440.0,Ke Huy Quan,Action,0,0,0,63
112,Love Hurts,2025,83.0,5.4,2400.0,"A realtor is pulled back into the life he left behind after his former partner-in-crime resurfaces with an ominous message. With his crime-lord brother also on his trail, he must confront his past and the history he never fully buried.",18000000.0,8165080.0,7151080.0,5800440.0,Ariana DeBose,Action,0,0,0,63
113,Love Hurts,2025,83.0,5.4,2400.0,"A realtor is pulled back into the life he left behind after his former partner-in-crime resurfaces with an ominous message. With his crime-lord brother also on his trail, he must confront his past and the history he never fully buried.",18000000.0,8165080.0,7151080.0,5800440.0,Mustafa Shakir,Action,0,0,0,63
114,Henry Danger: The Movie,2025,86.0,5.0,1300.0,A theatrical film based on the Nickelodeon Show 'Henry Danger.',25500000.0,977709.0,2339255.0,2339255.0,Jace Norman,Action,0,0,0,63
115,Henry Danger: The Movie,2025,86.0,5.0,1300.0,A theatrical film based on the Nickelodeon Show 'Henry Danger.',25500000.0,977709.0,2339255.0,2339255.0,Sean Ryan Fox,Action,0,0,0,63
