Title,Movie Link,Year,Duration,MPA,Rating,Votes,Description
1. Spider-Man 3,https://www.imdb.com/title/tt0413300/?ref_=sr_t_1,2007,2h 19m,PG-13,6.3,661K,"A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge."
2. Shrek the Third,https://www.imdb.com/title/tt0413267/?ref_=sr_t_2,2007,1h 33m,PG,6.1,343K,"Reluctantly designated as the heir to the land of Far, Far Away, Shrek hatches a plan to install the rebellious Artie as the new king while Princess Fiona tries to fend off a coup d'état by the jilted Prince Charming."
3. Transformers,https://www.imdb.com/title/tt0418279/?ref_=sr_t_3,2007,2h 24m,PG-13,7.1,692K,"An ancient struggle between two Cybertronian races, the heroic Autobots and the evil Decepticons, comes to Earth, with a clue to the ultimate power held by a teenager."
4. Pirates of the Caribbean: At World's End,https://www.imdb.com/title/tt0449088/?ref_=sr_t_4,2007,2h 49m,PG-13,7.1,713K,"Will Turner, Elizabeth Swann, Hector Barbossa, and the crew of the Black Pearl try and rescue Jack from davy jones locker and prepare to fight Lord Cutler Beckett, who controls Davy Jones and the Flying Dutchman."
5. Harry Potter and the Order of the Phoenix,https://www.imdb.com/title/tt0373889/?ref_=sr_t_5,2007,2h 18m,PG-13,7.5,659K,"With their warning about Lord Voldemort's return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts."
6. I Am Legend,https://www.imdb.com/title/tt0480249/?ref_=sr_t_6,2007,1h 41m,PG-13,7.2,842K,"Years after a plague kills most of humanity and transforms the rest into monsters, the sole survivor in New York City struggles valiantly to find a cure."
7. The Bourne Ultimatum,https://www.imdb.com/title/tt0440963/?ref_=sr_t_7,2007,1h 55m,PG-13,8.0,668K,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.
8. National Treasure: Book of Secrets,https://www.imdb.com/title/tt0465234/?ref_=sr_t_8,2007,2h 4m,PG,6.5,260K,Benjamin Gates must follow a clue left in John Wilkes Booth's diary to prove his ancestor's innocence in the assassination of Abraham Lincoln.
9. Alvin and the Chipmunks,https://www.imdb.com/title/tt0952640/?ref_=sr_t_9,2007,1h 32m,PG,5.3,99K,Three musical chipmunks are discovered by an aspiring songwriter who wants to use their amazing singing abilities to become famous.
10. Ratatouille,https://www.imdb.com/title/tt0382932/?ref_=sr_t_10,2007,1h 51m,G,8.1,871K,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.
11. The Simpsons Movie,https://www.imdb.com/title/tt0462538/?ref_=sr_t_11,2007,1h 27m,PG-13,7.3,356K,"After Homer pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives."
12. Wild Hogs,https://www.imdb.com/title/tt0486946/?ref_=sr_t_12,2007,1h 40m,PG-13,5.9,125K,"A group of suburban biker wannabes looking for adventure hit the open road, but get more than they bargained for when they encounter a New Mexico gang called the Del Fuegos."
