iter	Passed	Remaining
416	2651	3707
417	2653	3695
418	2659	3687
419	2661	3675
420	2672	3675
421	2680	3670
422	2690	3669
423	2693	3658
424	2698	3651
425	2705	3645
426	2710	3637
427	2719	3634
428	2728	3631
429	2730	3619
430	2739	3616
431	2746	3611
432	2750	3601
433	2755	3593
434	2760	3586
435	2764	3576
436	2772	3571
437	2777	3563
438	2786	3561
439	2794	3556
440	2801	3551
441	2820	3560
442	2825	3553
443	2828	3541
444	2834	3535
445	2842	3530
446	2852	3529
447	2857	3520
448	2867	3518
449	2874	3513
450	2882	3508
451	2888	3501
452	2897	3498
453	2908	3497
454	2916	3493
455	2923	3487
456	2930	3481
457	2935	3474
458	2942	3468
459	2948	3461
460	2956	3457
461	2970	3459
462	2973	3448
463	2978	3440
464	2981	3430
465	2984	3420
466	2993	3417
467	2998	3408
468	3001	3398
469	3010	3394
470	3018	3390
471	3025	3384
472	3035	3381
473	3045	3379
474	3051	3372
475	3057	3365
476	3061	3356
477	3067	3349
478	3070	3340
479	3075	3331
480	3080	3324
481	3091	3322
482	3098	3316
483	3105	3310
484	3115	3308
485	3120	3300
486	3130	3297
487	3136	3291
488	3148	3290
489	3154	3283
490	3161	3277
491	3166	3269
492	3174	3265
493	3177	3254
494	3180	3244
495	3185	3236
496	3191	3230
497	3195	3220
498	3204	3217
499	3208	3208
500	3211	3199
501	3217	3191
502	3224	3185
503	3231	3180
504	3235	3171
505	3240	3163
506	3247	3157
507	3255	3153
508	3268	3152
509	3279	3150
510	3286	3145
511	3298	3143
512	3306	3139
513	3310	3130
514	3316	3123
515	3324	3118
516	3332	3113
517	3335	3103
518	3338	3093
519	3349	3091
520	3355	3085
521	3360	3077
522	3368	3072
523	3371	3062
524	3380	3058
525	3390	3055
526	3398	3049
527	3407	3045
528	3414	3040
529	3419	3031
530	3424	3024
531	3426	3014
532	3430	3005
533	3440	3002
534	3452	3000
535	3456	2992
536	3463	2986
537	3479	2988
538	3485	2981
539	3493	2976
540	3497	2966
541	3499	2957
542	3510	2954
543	3518	2949
544	3527	2944
545	3536	2940
546	3541	2933
547	3547	2926
548	3552	2918
549	3564	2916
550	3568	2907
551	3571	2898
552	3581	2894
553	3587	2888
554	3594	2881
555	3600	2875
556	3607	2869
557	3618	2866
558	3626	2860
559	3630	2852
560	3633	2843
561	3635	2833
562	3641	2826
563	3644	2817
564	3651	2811
565	3662	2808
566	3668	2801
567	3670	2791
568	3674	2783
569	3683	2779
570	3690	2772
571	3694	2764
572	3699	2757
573	3706	2750
574	3712	2743
575	3719	2738
576	3729	2734
577	3733	2725
578	3737	2717
579	3742	2710
580	3748	2703
581	3754	2696
582	3762	2690
583	3769	2685
584	3774	2677
585	3783	2672
586	3792	2668
587	3800	2662
588	3806	2656
589	3813	2650
590	3816	2641
591	3823	2635
592	3826	2626
593	3828	2616
594	3836	2611
595	3841	2603
596	3847	2597
597	3857	2593
598	3860	2584
599	3864	2576
600	3878	2574
601	3883	2567
602	3892	2562
603	3896	2554
604	3905	2549
605	3911	2543
606	3922	2539
607	3924	2530
608	3929	2522
609	3937	2517
610	3943	2510
611	3948	2503
612	3955	2497
613	3969	2495
614	3979	2491
615	3985	2484
616	3995	2480
617	4005	2475
618	4016	2472
619	4023	2465
620	4027	2457
621	4029	2448
622	4032	2440
623	4041	2435
624	4051	2430
625	4055	2423
626	4058	2414
627	4066	2408
628	4068	2399
629	4072	2391
630	4077	2384
631	4083	2377
632	4087	2369
633	4101	2367
634	4107	2360
635	4112	2353
636	4117	2346
637	4122	2339
638	4130	2333
639	4139	2328
640	4145	2321
641	4148	2313
642	4162	2311
643	4174	2307
644	4177	2299
645	4179	2290
646	4186	2284
647	4198	2280
648	4205	2274
649	4215	2269
650	4220	2262
651	4224	2254
652	4227	2246
653	4234	2240
654	4241	2233
655	4247	2227
656	4249	2218
657	4254	2211
658	4264	2206
659	4267	2198
660	4272	2191
661	4280	2185
662	4295	2183
663	4299	2175
664	4310	2171
665	4319	2166
666	4330	2161
667	4342	2158
668	4349	2152
669	4356	2145
670	4364	2140
671	4370	2133
672	4372	2124
673	4384	2120
674	4390	2113
675	4394	2106
676	4401	2099
677	4403	2091
678	4405	2082
679	4411	2076
680	4415	2068
681	4421	2061
682	4426	2054
683	4431	2047
684	4435	2039
685	4444	2034
686	4447	2026
687	4453	2019
688	4460	2013
689	4464	2005
690	4470	1999
691	4473	1990
692	4479	1984
693	4487	1978
694	4491	1971
695	4498	1964
696	4506	1959
697	4512	1952
698	4518	1945
699	4529	1941
700	4534	1934
701	4542	1928
702	4549	1921
703	4559	1916
704	4561	1908
705	4565	1901
