iter	Logloss
0	0.6729984893
1	0.6540345181
2	0.6382181865
3	0.62055277
4	0.6072219057
5	0.5932584723
6	0.5814325113
7	0.5704490878
8	0.5590794521
9	0.5475308425
10	0.5400651974
11	0.53284083
12	0.5238999494
13	0.5171119138
14	0.509727319
15	0.5020357858
16	0.4970098013
17	0.4921396352
18	0.4871445182
19	0.4831666795
20	0.478929865
21	0.4743589124
22	0.4705912632
23	0.4668493274
24	0.4632326294
25	0.4590146999
26	0.4565713782
27	0.4529062631
28	0.4506942955
29	0.4487733324
30	0.4462835441
31	0.443522912
32	0.441184654
33	0.4392979193
34	0.4372172052
35	0.4356399322
36	0.434128294
37	0.4325842706
38	0.4312443456
39	0.4297645742
40	0.4282744423
41	0.4265761383
42	0.425511506
43	0.4242383705
44	0.4231844345
45	0.4222361035
46	0.4211956494
47	0.4204190477
48	0.4195433896
49	0.41888761
50	0.4179156533
51	0.4170659583
52	0.4160849623
53	0.4151474721
54	0.4145788986
55	0.4140044271
56	0.4133381674
57	0.4127218547
58	0.4122024314
59	0.411543283
60	0.4107651936
61	0.4101326951
62	0.4097469718
63	0.4094408913
64	0.409050019
65	0.4087336908
66	0.4084358375
67	0.4080436455
68	0.4077397519
69	0.4073901026
70	0.4071262539
71	0.4068539489
72	0.4065574211
73	0.4061045604
74	0.4057726361
75	0.4054661713
76	0.4048065376
77	0.4043404582
78	0.4039652488
79	0.4036679907
80	0.4034917103
81	0.4032397238
82	0.4029663864
83	0.4026389618
84	0.4024357956
85	0.4022915652
86	0.4020582997
87	0.4018484941
88	0.4015879838
89	0.4014113367
90	0.4013042477
91	0.4010871363
92	0.4009649132
93	0.4007759943
94	0.4005939626
95	0.4004581897
96	0.4002530704
97	0.4000420975
98	0.3998734303
99	0.3996406764
100	0.3995573007
101	0.3993672756
102	0.3991329542
103	0.3989723823
104	0.3988034795
105	0.3986598447
106	0.3985037535
107	0.398291426
108	0.3981190106
109	0.3980170579
110	0.397921649
111	0.3978039492
112	0.3976872937
113	0.3975703005
114	0.397481081
115	0.3973402797
116	0.3972323962
117	0.3970663909
118	0.3969674721
119	0.3969022979
120	0.3967868817
121	0.3966534176
122	0.3965007073
123	0.396411144
124	0.3962610337
125	0.3961350721
126	0.3960308326
127	0.395917746
128	0.3958175337
129	0.395736512
130	0.3956137147
131	0.3954693235
132	0.3954087342
133	0.3952871171
134	0.39510134
135	0.3950256573
136	0136	0.390253137	0.3947959653
138	0138	0.3900474131
139	0.3898882163
140	0.38979141	0.141	0.3897292846
142	0.3896147154
143	0.3894844824
144	0.3894366671
145	0.3893331844
146	0.3892460893
147	0.3891621008
148	0.3890885453
149	0.3889150	0.3150	0.3889151	0.3933092074
152	0.3152	0.3887343118
153	0.3886471031
154	0.3885726186
155	0.3885225914
156	0.3883560004
157	0.3882069173
158	0.3881057385
159	0.3879051648
160	0.3877924895
161	0.38162	0.392162	0.3876485255
163	0.3875782899
