Title,Movie Link,Year,Duration,MPA,Rating,Votes,Description,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
1. Harry Potter and the Deathly Hallows: Part 2,https://www.imdb.com/title/tt1201607/?ref_=sr_t_1,2011,2h 10m,PG-13,8.1,986K,"As the battle between the forces of good and evil in the wizarding world escalates, Harry Potter draws ever closer to his final confrontation with Voldemort.",125000000,1342499744,381447587,169189427,['David Yates'],"['Steve Kloves', 'J.K. Rowling']","['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint']","['Dark Fantasy', 'Fantasy Epic', 'Teen Adventure', 'Teen Fantasy', 'Adventure', 'Family', 'Fantasy', 'Mystery']","['United Kingdom', 'United States']","['Freshwater West Beach, Castlemartin, Pembroke, Pembrokeshire, Wales, UK']","['Warner Bros.', 'Heyday Films']","['English', 'Latin']",49,95,3,2011
2. Transformers: Dark of the Moon,https://www.imdb.com/title/tt1399103/?ref_=sr_t_2,2011,2h 34m,PG-13,6.2,442K,"The Autobots learn of a Cybertronian spacecraft hidden on the moon, and race against the Decepticons to reach it and to learn its secrets.",195000000,1123794079,352390543,97852865,['Michael Bay'],['Ehren Kruger'],"['Shia LaBeouf', 'Rosie Huntington-Whiteley', 'Tyrese Gibson']","['Alien Invasion', 'Car Action', 'Space Sci-Fi', 'Action', 'Adventure', 'Sci-Fi']","['United States', 'Hong Kong', 'Cambodia', 'United Kingdom']","['Milwaukee, Wisconsin, USA']","['Paramount Pictures', 'Hasbro', 'Di Bonaventura Pictures']","['English', 'Russian']",11,42,3,2011
3. The Twilight Saga: Breaking Dawn - Part 1,https://www.imdb.com/title/tt1324999/?ref_=sr_t_3,2011,1h 57m,PG-13,4.9,261K,"The Quileutes close in on expecting parents Edward and Bella, whose unborn child poses a threat to the Wolf Pack and the towns people of Forks.",110000000,712205856,281287133,138122261,['Bill Condon'],"['Melissa Rosenberg', 'Stephenie Meyer']","['Kristen Stewart', 'Robert Pattinson', 'Taylor Lautner']","['Adventure', 'Drama', 'Fantasy', 'Romance', 'Thriller']",['United States'],"['Baton Rouge, Louisiana, USA']","['Summit Entertainment', 'Sunswept Entertainment', 'TSBD Canada Productions']","['English', 'Portuguese']",11,22,0,2011
4. The Hangover Part II,https://www.imdb.com/title/tt1411697/?ref_=sr_t_4,2011,1h 42m,R,6.5,551K,"Two years after the bachelor party in Las Vegas, Phil, Stu, Alan, and Doug jet to Thailand for Stu's wedding. Stu's plan for a subdued pre-wedding brunch, however, goes seriously awry.",80000000,586764305,254464305,85946294,['Todd Phillips'],"['Craig Mazin', 'Scot Armstrong', 'Todd Phillips']","['Bradley Cooper', 'Zach Galifianakis', 'Ed Helms']","['Raunchy Comedy', 'Comedy']",['United States'],"['Phulay Bay, Krabi, Thailand']","['Warner Bros.', 'Legendary Entertainment', 'Green Hat Films']","['English', 'Thai']",5,18,0,2011
5. Pirates of the Caribbean: On Stranger Tides,https://www.imdb.com/title/tt1298650/?ref_=sr_t_5,2011,2h 16m,PG-13,6.6,581K,"Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too.",250000000,1046721266,241071802,90151958,['Rob Marshall'],"['Ted Elliott', 'Terry Rossio', 'Stuart Beattie']","['Johnny Depp', 'Penélope Cruz', 'Ian McShane']","['Fantasy Epic', 'Quest', 'Sea Adventure', 'Swashbuckler', 'Action', 'Adventure', 'Fantasy']","['United States', 'United Kingdom']","[""Kilauea Falls, Kilauea, Kaua'i, Hawaii, USA""]","['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Moving Picture Company (MPC)']","['English', 'Spanish']",3,31,0,2011
6. Fast Five,https://www.imdb.com/title/tt1596343/?ref_=sr_t_6,2011,2h 10m,PG-13,7.3,417K,Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent.,125000000,626140012,209837675,86198765,['Justin Lin'],"['Chris Morgan', 'Gary Scott Thompson']","['Vin Diesel', 'Paul Walker', 'Dwayne Johnson']","['Action Epic', 'Caper', 'Car Action', 'Action', 'Crime', 'Thriller']","['United States', 'Japan', 'Brazil']",['Puerto Rico'],"['Universal Pictures', 'Original Film', 'One Race Productions']","['English', 'Portuguese', 'Spanish', 'Italian', 'French']",9,21,0,2011
7. Mission: Impossible - Ghost Protocol,https://www.imdb.com/title/tt1229238/?ref_=sr_t_7,2011,2h 12m,PG-13,7.4,539K,"The IMF is shut down when it's implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their organization's name.",145000000,694713380,209397903,12785204,['Brad Bird'],"['Bruce Geller', 'Josh Appelbaum', 'André Nemec']","['Tom Cruise', 'Jeremy Renner', 'Simon Pegg']","['Globetrotting Adventure', 'Action', 'Adventure', 'Thriller']","['United States', 'United Arab Emirates', 'Russia', 'Canada', 'Czech Republic', 'India']","['Burj Khalifa, Dubai, United Arab Emirates']","['Paramount Pictures', 'Skydance Media', 'TC Productions']","['English', 'Russian', 'French', 'Arabic', 'Swedish']",5,30,0,2011
8. Cars 2,https://www.imdb.com/title/tt1216475/?ref_=sr_t_8,2011,1h 46m,G,6.2,232K,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,200000000,559853036,191452396,66135507,"['John Lasseter', 'Bradford Lewis']","['John Lasseter', 'Bradford Lewis', 'Dan Fogelman']","['Owen Wilson', 'Larry the Cable Guy', 'Michael Caine']","['Car Action', 'Computer Animation', 'Motorsport', 'Spy', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Sci-Fi']","['United States', 'Japan']","['Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA']","['Walt Disney Pictures', 'Pixar Animation Studios']","['English', 'Japanese', 'Italian', 'French']",0,19,0,2011
9. Sherlock Holmes: A Game of Shadows,https://www.imdb.com/title/tt1515091/?ref_=sr_t_9,2011,2h 9m,PG-13,7.4,490K,"Detective Sherlock Holmes is on the trail of criminal mastermind Professor Moriarty, who is carrying out a string of random crimes across Europe.",125000000,543848418,186848418,39637079,['Guy Ritchie'],"['Michele Mulroney', 'Kieran Mulroney', 'Arthur Conan Doyle']","['Robert Downey Jr.', 'Jude Law', 'Jared Harris']","['Whodunnit', 'Action', 'Adventure', 'Mystery']",['United States'],"['Triengen, Kanton Luzern, Switzerland']","['Warner Bros.', 'Village Roadshow Pictures', 'Silver Pictures']","['English', 'French', 'Italian', 'German', 'Romany']",3,10,0,2011
10. Thor,https://www.imdb.com/title/tt0800369/?ref_=sr_t_10,2011,1h 55m,PG-13,7.0,925K,"The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.",150000000,449326618,181030624,65723338,['Kenneth Branagh'],"['Ashley E. Miller', 'Zack Stentz', 'Don Payne']","['Chris Hemsworth', 'Anthony Hopkins', 'Natalie Portman']","['Superhero', 'Supernatural Fantasy', 'Action', 'Fantasy']",['United States'],"['Cerro Pelon Movie Ranch - 5547 Highway 41, Galisteo, New Mexico, USA']","['Paramount Pictures', 'Marvel Entertainment', 'Marvel Studios']",['English'],5,30,0,2011
