Title,Movie Link,Year,Duration,MPA,Rating,Votes,Description
1. Star Wars: Episode VIII - The Last Jedi,https://www.imdb.com/title/tt2527336/?ref_=sr_t_1,2017,2h 32m,PG-13,6.9,689K,Rey develops her abilities with the help of Luke Skywalker as the Resistance prepares for battle against the First Order.
2. Beauty and the Beast,https://www.imdb.com/title/tt2771200/?ref_=sr_t_2,2017,2h 9m,PG,7.1,344K,"A brave, beautiful, and brilliant young woman is imprisoned by a beast in his castle. Despite her fears, she learns to see beyond the beast's hideous exterior and realize the gentle heart of the true prince within him."
3. Wonder Woman,https://www.imdb.com/title/tt0451279/?ref_=sr_t_3,2017,2h 21m,PG-13,7.3,715K,"When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny."
4. Jumanji: Welcome to the Jungle,https://www.imdb.com/title/tt2283362/?ref_=sr_t_4,2017,1h 59m,PG-13,7.0,472K,"Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game."
5. Guardians of the Galaxy Vol. 2,https://www.imdb.com/title/tt3896198/?ref_=sr_t_5,2017,2h 16m,PG-13,7.6,786K,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father, the ambitious celestial being Ego."
6. Spider-Man: Homecoming,https://www.imdb.com/title/tt2250912/?ref_=sr_t_6,2017,2h 13m,PG-13,7.4,748K,Peter Parker tries to stop Adrian 'The Vulture' Toomes from selling weapons made with advanced Chitauri technology while trying to balance his life as an ordinary high school student.
7. It,https://www.imdb.com/title/tt1396484/?ref_=sr_t_7,2017,2h 15m,R,7.3,636K,"In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town."
8. Thor: Ragnarok,https://www.imdb.com/title/tt3501632/?ref_=sr_t_8,2017,2h 10m,PG-13,7.9,845K,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela."
9. Despicable Me 3,https://www.imdb.com/title/tt3469046/?ref_=sr_t_9,2017,1h 29m,PG,6.3,166K,"Gru meets his long-lost, charming, cheerful, and more successful twin brother Dru, who wants to team up with him for one last criminal heist."
10. Justice League,https://www.imdb.com/title/tt0974015/?ref_=sr_t_10,2017,2h,PG-13,6.0,489K,"Steppenwolf and his Parademons return after eons to capture Earth. However, Batman seeks the help of Wonder Woman to recruit and assemble Flash, Cyborg and Aquaman to fight the powerful new enemy."
11. Logan,https://www.imdb.com/title/tt3315342/?ref_=sr_t_11,2017,2h 17m,R,8.1,879K,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety."
12. The Fate of the Furious,https://www.imdb.com/title/tt4630562/?ref_=sr_t_12,2017,2h 16m,PG-13,6.6,262K,"When a mysterious woman seduces Dominic Toretto into the world of terrorism and a betrayal of those closest to him, the crew face trials that will test them as never before."
13. Coco,https://www.imdb.com/title/tt2380307/?ref_=sr_t_13,2017,1h 45m,PG,8.4,637K,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
14. Dunkirk,https://www.imdb.com/title/tt5013056/?ref_=sr_t_14,2017,1h 46m,PG-13,7.8,766K,"Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II."
15. Get Out,https://www.imdb.com/title/tt5052448/?ref_=sr_t_15,2017,1h 44m,R,7.8,747K,"A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point."
16. The Lego Batman Movie,https://www.imdb.com/title/tt4116284/?ref_=sr_t_16,2017,1h 44m,PG,7.3,180K,"A cooler-than-ever Bruce Wayne must deal with the usual suspects as they plan to rule Gotham City, while discovering that he has accidentally adopted a teenage orphan who wishes to become his sidekick."
17. The Boss Baby,https://www.imdb.com/title/tt3874544/?ref_=sr_t_17,2017,1h 37m,PG,6.3,148K,"A suit-wearing, briefcase-carrying baby pairs up with his 7-year old brother to stop the dastardly plot of the CEO of Puppy Co."
18. The Greatest Showman,https://www.imdb.com/title/tt1485796/?ref_=sr_t_18,2017,1h 45m,PG,7.5,327K,Celebrates the birth of show business and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation.
19. Pirates of the Caribbean: Dead Men Tell No Tales,https://www.imdb.com/title/tt1790809/?ref_=sr_t_19,2017,2h 9m,PG-13,6.5,361K,Captain Jack Sparrow searches for the Trident of Poseidon to rule the sea while being pursued by old rival Captain Salazar and a crew of deadly ghosts who have escaped from the Devil's Triangle.
20. Kong: Skull Island,https://www.imdb.com/title/tt3731562/?ref_=sr_t_20,2017,1h 58m,PG-13,6.7,360K,"After the Vietnam war, a team of scientists explores an uncharted island in the Pacific, venturing into the domain of the mighty Kong and must fight to escape a primal Eden."
21. Cars 3,https://www.imdb.com/title/tt3606752/?ref_=sr_t_21,2017,1h 42m,G,6.7,133K,Lightning McQueen sets out to prove to a new generation of racers that he's still the best race car in the world.
22. War for the Planet of the Apes,https://www.imdb.com/title/tt3450958/?ref_=sr_t_22,2017,2h 20m,PG-13,7.4,313K,"After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind."
23. Wonder,https://www.imdb.com/title/tt2543472/?ref_=sr_t_23,2017,1h 53m,PG,7.9,186K,"Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time."
24. Transformers: The Last Knight,https://www.imdb.com/title/tt3371366/?ref_=sr_t_24,2017,2h 34m,PG-13,5.2,176K,"A deadly threat from Earth's history reappears and a hunt for a lost artifact takes place between Autobots and Decepticons, while Optimus Prime encounters his creator in space."
25. Girls Trip,https://www.imdb.com/title/tt3564472/?ref_=sr_t_25,2017,2h 2m,R,6.2,42K,"When four lifelong friends travel to New Orleans for the annual Essence Festival, sisterhoods are rekindled, wild sides are rediscovered, and there's enough dancing, drinking, brawling and romancing to make the Big Easy blush."
26. Fifty Shades Darker,https://www.imdb.com/title/tt4465564/?ref_=sr_t_26,2017,1h 58m,R,4.6,116K,"While Christian wrestles with his inner demons, Anastasia must confront the anger and envy of the women who came before her."
27. The Upside,https://www.imdb.com/title/tt1987680/?ref_=sr_t_27,2017,2h 6m,PG-13,7.0,66K,A comedic look at the relationship between a wealthy man with quadriplegia and an unemployed man with a criminal record who's hired to help him.
28. Baby Driver,https://www.imdb.com/title/tt3890160/?ref_=sr_t_28,2017,1h 53m,R,7.5,641K,"Coerced into working for a crime boss, a young getaway driver must face the music when a doomed heist threatens his life, love, and freedom."
29. Pitch Perfect 3,https://www.imdb.com/title/tt4765284/?ref_=sr_t_29,2017,1h 33m,PG-13,5.8,74K,"Following their win at the world championship, the now separated Bellas reunite for one last singing competition at an overseas USO tour, but face a group who uses both instruments and voices."
30. Daddy's Home 2,https://www.imdb.com/title/tt5657846/?ref_=sr_t_30,2017,1h 40m,PG-13,6.0,87K,"Having finally gotten used to each other's existence, Brad and Dusty must now deal with their intrusive fathers during the holidays."
31. Murder on the Orient Express,https://www.imdb.com/title/tt3402236/?ref_=sr_t_31,2017,1h 54m,PG-13,6.5,308K,"When a murder occurs on the train on which he's travelling, celebrated detective Hercule Poirot is recruited to solve the case."
32. Annabelle: Creation,https://www.imdb.com/title/tt5140878/?ref_=sr_t_32,2017,1h 49m,R,6.5,158K,"Twelve years after the tragic death of their little girl, a doll-maker and his wife welcome a nun and several girls from a shuttered orphanage into their home, where they become the target of the doll-maker's possessed creation, Annabelle."
33. Kingsman: The Golden Circle,https://www.imdb.com/title/tt4649466/?ref_=sr_t_33,2017,2h 21m,R,6.7,381K,"After the Kingsman's headquarters is destroyed and the world is held hostage, an allied spy organization in the United States is discovered. These two elite secret agencies must band together to defeat a common enemy."
34. Blade Runner 2049,https://www.imdb.com/title/tt1856101/?ref_=sr_t_34,2017,2h 44m,R,8.0,703K,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years."
35. John Wick: Chapter 2,https://www.imdb.com/title/tt4425200/?ref_=sr_t_35,2017,2h 2m,R,7.4,534K,"After returning to the criminal underworld to repay a debt, John Wick discovers that a large bounty has been put on his life."
36. The Emoji Movie,https://www.imdb.com/title/tt4877122/?ref_=sr_t_36,2017,1h 26m,PG,3.4,75K,"Gene, a multi-expressional emoji, sets out on a journey to become a normal emoji."
37. Power Rangers,https://www.imdb.com/title/tt3717490/?ref_=sr_t_37,2017,2h 4m,PG-13,5.9,116K,"When Earth is on the verge of an alien invasion, five teenagers, who are infused with superhuman abilities, must harness their newfound powers to battle this threat - as the Power Rangers."
38. Ferdinand,https://www.imdb.com/title/tt3411444/?ref_=sr_t_38,2017,1h 48m,PG,6.7,67K,"After Ferdinand, a bull with a big heart, is mistaken for a dangerous beast, he is captured and torn from his home. Determined to return to his family, he rallies a misfit team on the ultimate adventure."
39. The Post,https://www.imdb.com/title/tt6294822/?ref_=sr_t_39,2017,1h 56m,PG-13,7.2,166K,A cover-up spanning four U.S. Presidents pushes the country's first female newspaper publisher and her editor to join an unprecedented battle between press and government.
40. The Mummy,https://www.imdb.com/title/tt2345759/?ref_=sr_t_40,2017,1h 50m,PG-13,5.4,212K,"An ancient Egyptian princess is awakened from her crypt beneath the desert, bringing with her malevolence grown over millennia and terrors that defy human comprehension."
41. The Hitman's Bodyguard,https://www.imdb.com/title/tt1959563/?ref_=sr_t_41,2017,1h 58m,R,6.9,254K,"Michael Bryce, a protection agent, is tasked with protecting Darius Kincaid, one of the world's most famous assassins."
42. Alien: Covenant,https://www.imdb.com/title/tt2316204/?ref_=sr_t_42,2017,2h 2m,R,6.4,327K,"The crew of a colony ship, bound for a remote planet, discover an uncharted paradise with a threat beyond their imagination, and must attempt a harrowing escape."
43. Captain Underpants: The First Epic Movie,https://www.imdb.com/title/tt2091256/?ref_=sr_t_43,2017,1h 29m,PG,6.2,34K,"Two overly-imaginative pranksters hypnotize their grumpy principal into thinking he's a ridiculously enthusiastic, incredibly dimwitted, underwear-themed superhero."
