Title,Movie Link,Year,Duration,MPA,Rating,Votes,Description
1. Pirates of the Caribbean: Dead Man's Chest,https://www.imdb.com/title/tt0383574/?ref_=sr_t_1,2006,2h 31m,PG-13,7.4,790K,"Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well."
2. Night at the Museum,https://www.imdb.com/title/tt0477347/?ref_=sr_t_2,2006,1h 48m,PG,6.5,390K,A newly recruited night security guard at the Museum of Natural History discovers that an ancient curse causes the animals and exhibits on display to come to life and wreak havoc.
3. Cars,https://www.imdb.com/title/tt0317219/?ref_=sr_t_3,2006,1h 56m,G,7.3,495K,"On the way to the biggest race of his life, a hotshot rookie race car gets stranded in a rundown town and learns that winning isn't everything in life."
4. X-Men: The Last Stand,https://www.imdb.com/title/tt0376994/?ref_=sr_t_4,2006,1h 44m,PG-13,6.6,556K,"The human government develops a cure for mutations, and Jean Grey becomes a darker uncontrollable persona called the Phoenix who allies with Magneto, causing escalation into an all-out battle for the X-Men."
5. The Da Vinci Code,https://www.imdb.com/title/tt0382625/?ref_=sr_t_5,2006,2h 29m,PG-13,6.6,469K,"A murder inside the Louvre, and clues in Da Vinci paintings, lead to the discovery of a religious mystery protected by a secret society for two thousand years, which could shake the foundations of Christianity."
6. 300,https://www.imdb.com/title/tt0416449/?ref_=sr_t_6,2006,1h 57m,R,7.6,885K,"In the ancient battle of Thermopylae, King Leonidas and 300 Spartans fight against Xerxes and his massive Persian army."
7. Superman Returns,https://www.imdb.com/title/tt0348150/?ref_=sr_t_7,2006,2h 34m,PG-13,6.1,295K,"Superman returns to Earth after spending five years in space examining his homeworld Krypton. But he finds things have changed while he was gone, and he must once again prove himself important to the world."
8. Happy Feet,https://www.imdb.com/title/tt0366548/?ref_=sr_t_8,2006,1h 48m,PG,6.4,205K,"Into the world of the Emperor Penguins, who find their soul mates through song, a penguin is born who cannot sing. But he can tap dance something fierce!"
9. Ice Age: The Meltdown,https://www.imdb.com/title/tt0438097/?ref_=sr_t_9,2006,1h 31m,PG,6.8,305K,"Manny, Sid and Diego discover that the ice age is coming to an end, and join everybody for a journey to higher ground. On the trip, they discover that Manny is not in fact the last of the woolly mammoths."
10. Casino Royale,https://www.imdb.com/title/tt0381061/?ref_=sr_t_10,2006,2h 24m,PG-13,8.0,712K,"After earning a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, in Montenegro."
11. The Pursuit of Happyness,https://www.imdb.com/title/tt0454921/?ref_=sr_t_11,2006,1h 57m,PG-13,8.0,584K,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.
12. Over the Hedge,https://www.imdb.com/title/tt0327084/?ref_=sr_t_12,2006,1h 23m,PG,6.7,195K,"A scheming raccoon fools a mismatched family of forest creatures into helping him repay a debt of food, by invading the new suburban sprawl that popped up while they were hibernating...and learns a lesson about family himself."
13. Talladega Nights: The Ballad of Ricky Bobby,https://www.imdb.com/title/tt0415306/?ref_=sr_t_13,2006,1h 48m,PG-13,6.6,206K,"Number one NASCAR driver Ricky Bobby stays atop the heap thanks to a pact with his best friend and teammate, Cal Naughton, Jr. But when a French Formula One driver, makes his way up the ladder, Ricky Bobby's talent and devotion are put to the test."
14. Click,https://www.imdb.com/title/tt0389860/?ref_=sr_t_14,2006,1h 47m,PG-13,6.4,368K,A workaholic architect finds a universal remote that allows him to fast-forward and rewind to different parts of his life. Complications arise when the remote starts to overrule his choices.
15. Mission: Impossible III,https://www.imdb.com/title/tt0317919/?ref_=sr_t_15,2006,2h 6m,PG-13,6.9,401K,IMF agent Ethan Hunt comes into conflict with a dangerous and sadistic arms dealer who threatens his life and his fiancée in response.
16. The Departed,https://www.imdb.com/title/tt0407887/?ref_=sr_t_16,2006,2h 31m,R,8.5,1.5M,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
17. Borat,https://www.imdb.com/title/tt0443453/?ref_=sr_t_17,2006,1h 24m,R,7.4,457K,Kazakh TV talking head Borat is dispatched to the United States to report on the greatest country in the world.
