Title,Movie Link,Year,Duration,MPA,Rating,Votes,Description
1. Home Alone,https://www.imdb.com/title/tt0099785/?ref_=sr_t_1,1990,1h 43m,PG,7.7,690K,"An eight-year-old troublemaker, mistakenly left home alone, must defend his home against a pair of burglars on Christmas Eve."
2. Ghost,https://www.imdb.com/title/tt0099653/?ref_=sr_t_2,1990,2h 7m,PG-13,7.1,245K,"After a young man is murdered, his spirit stays behind to warn his lover of impending danger, with the help of a reluctant psychic."
3. Dances with Wolves,https://www.imdb.com/title/tt0099348/?ref_=sr_t_3,1990,3h 1m,PG-13,8.0,299K,A lieutenant assigned to a remote Civil War outpost starts questioning his purpose after making contact with a neighboring Sioux settlement.
4. Pretty Woman,https://www.imdb.com/title/tt0100405/?ref_=sr_t_4,1990,1h 59m,R,7.1,381K,"Edward, a rich entrepreneur, hires Vivian, a prostitute, to accompany him to a few social events. Trouble ensues when he falls in love with her and they try to bridge the gap between their worlds."
5. Teenage Mutant Ninja Turtles,https://www.imdb.com/title/tt0100758/?ref_=sr_t_5,1990,1h 33m,PG,6.8,108K,Four teenage mutant ninja turtles emerge from the shadows to protect New York City from a gang of criminal ninjas.
6. The Hunt for Red October,https://www.imdb.com/title/tt0099810/?ref_=sr_t_6,1990,2h 15m,PG,7.5,221K,"In November 1984, the Soviet Union's best submarine captain violates orders and heads for the U.S. in a new undetectable sub. The American CIA and military must quickly determine: Is he trying to defect or to start a war?"
7. Total Recall,https://www.imdb.com/title/tt0100802/?ref_=sr_t_7,1990,1h 53m,R,7.5,365K,"When a man goes in to have virtual vacation memories of the planet Mars implanted in his mind, an unexpected and harrowing series of events forces him to go to the planet for real - or is he?"
8. Die Hard 2,https://www.imdb.com/title/tt0099423/?ref_=sr_t_8,1990,2h 4m,R,7.1,394K,"John McClane attempts to avert disaster as rogue military operatives seize control of Dulles International Airport in Washington, D.C."
9. Dick Tracy,https://www.imdb.com/title/tt0099422/?ref_=sr_t_9,1990,1h 45m,PG,6.2,68K,The comic strip detective finds his life vastly complicated when Breathless Mahoney makes advances towards him while he is trying to battle Big Boy Caprice's united mob.
10. Kindergarten Cop,https://www.imdb.com/title/tt0099938/?ref_=sr_t_10,1990,1h 51m,PG-13,6.2,167K,"A tough cop must pose as a kindergarten teacher in order to locate a dangerous criminal's ex-wife, who may hold the key to putting him behind bars."
11. Back to the Future Part III,https://www.imdb.com/title/tt0099088/?ref_=sr_t_11,1990,1h 58m,PG,7.5,496K,"Stranded in 1955, Marty McFly learns about the death of Doc Brown in 1885 and must travel back in time to save him. With no fuel readily available for the DeLorean, the two must figure how to escape the Old West before Emmett is murdered."
12. Presumed Innocent,https://www.imdb.com/title/tt0100404/?ref_=sr_t_12,1990,2h 7m,R,6.9,50K,"As a lawyer investigates the murder of a colleague, he finds himself more connected to the crime than anyone else."
13. Days of Thunder,https://www.imdb.com/title/tt0099371/?ref_=sr_t_13,1990,1h 47m,PG-13,6.1,99K,A young hot-shot stock car driver gets his chance to compete at the top level.
14. Another 48 Hrs.,https://www.imdb.com/title/tt0099044/?ref_=sr_t_14,1990,1h 35m,R,5.9,46K,"Jack Cates once again enlists the aid of ex-con Reggie Hammond - this time to take down The Iceman, a ruthless drug lord operating in the San Francisco bay area."
15. Three Men and a Little Lady,https://www.imdb.com/title/tt0098966/?ref_=sr_t_15,1990,1h 44m,PG,5.5,28K,"Three ex-dads quickly discover how empty life is without their little lady, and go to outrageous lengths in their efforts to win their daughter back in this critically acclaimed and equally charming sequel."
16. Bird on a Wire,https://www.imdb.com/title/tt0099141/?ref_=sr_t_16,1990,1h 50m,PG-13,6.0,49K,An old flame discovers her ex-boyfriend from the past is a relocated FBI informant out to stop the bad guys.
17. The Godfather Part III,https://www.imdb.com/title/tt0099674/?ref_=sr_t_17,1990,2h 42m,R,7.6,436K,"Follows Michael Corleone, now in his 60s, as he seeks to free his family from crime and find a suitable successor to his empire."
18. Flatliners,https://www.imdb.com/title/tt0099582/?ref_=sr_t_18,1990,1h 55m,R,6.6,96K,"Five medical students experiment with ""near death"" experiences, until the dark consequences of past tragedies begin to jeopardize their lives."
19. Misery,https://www.imdb.com/title/tt0100157/?ref_=sr_t_19,1990,1h 47m,R,7.8,247K,"After a famous author is rescued from a car crash by a fan of his novels, he comes to realize that the care he is receiving is only the beginning of a nightmare of captivity and abuse."
20. Edward Scissorhands,https://www.imdb.com/title/tt0099487/?ref_=sr_t_20,1990,1h 45m,PG-13,7.9,542K,The solitary life of an artificial man - who was incompletely constructed and has scissors for hands - is upended when he is taken in by a suburban family.
21. Problem Child,https://www.imdb.com/title/tt0100419/?ref_=sr_t_21,1990,1h 21m,PG,5.5,34K,A young boy just short of a monster is adopted by a loving man and his wacky wife. The laughs keep coming as he pushes them to the limits.
22. Arachnophobia,https://www.imdb.com/title/tt0099052/?ref_=sr_t_22,1990,1h 49m,PG-13,6.5,78K,"A new species of South American killer spider hitches a lift to a California town in a coffin and starts to breed, leaving a trail of deaths that puzzle and terrify young Dr. Ross Jennings, who is newly arrived in town with his family."
23. Awakenings,https://www.imdb.com/title/tt0099077/?ref_=sr_t_23,1990,2h 1m,PG-13,7.8,166K,Dr. Sayer is a pioneering neurologist who wants to take a risk and give his patients who suffer from encephalitis a drug used for Parkinson's Disease. He tries it out on one man who miraculously wakes from his perpetual catatonic state.
24. Look Who's Talking Too,https://www.imdb.com/title/tt0100050/?ref_=sr_t_24,1990,1h 21m,PG-13,4.7,50K,"This time, a new baby is on the way, and it's a girl. Wrapped together with the standard conflict between mother and father, Mikey engages in a bit of sibling rivalry with his new sister."
25. Hard to Kill,https://www.imdb.com/title/tt0099739/?ref_=sr_t_25,1990,1h 36m,R,5.8,33K,"Targeted by the mob and its political supporters, hired assassins leave LAPD Detective Mason Storm for dead. Seven years later, he recovers from a deep coma, demanding justice and the opportunity to get even."
26. Goodfellas,https://www.imdb.com/title/tt0099685/?ref_=sr_t_26,1990,2h 25m,R,8.7,1.3M,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito."
