Title,Movie Link,Year,Duration,MPA,Rating,Votes,Description
1. Saving Private Ryan,https://www.imdb.com/title/tt0120815/?ref_=sr_t_1,1998,2h 49m,R,8.6,1.6M,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
2. Armageddon,https://www.imdb.com/title/tt0120591/?ref_=sr_t_2,1998,2h 31m,PG-13,6.7,462K,"After discovering that an asteroid the size of Texas will impact Earth in less than a month, NASA recruits a misfit team of deep-core drillers to save the planet."
3. There's Something About Mary,https://www.imdb.com/title/tt0129387/?ref_=sr_t_3,1998,1h 59m,R,7.1,337K,"A man gets a chance to meet up with his dream girl from high school, even though his date with her back then was a complete disaster."
4. A Bug's Life,https://www.imdb.com/title/tt0120623/?ref_=sr_t_4,1998,1h 35m,G,7.2,324K,"A misfit ant, looking for ""warriors"" to save his colony from greedy grasshoppers, recruits a group of bugs that turn out to be an inept circus troupe."
5. The Waterboy,https://www.imdb.com/title/tt0120484/?ref_=sr_t_5,1998,1h 30m,PG-13,6.2,184K,A waterboy for a college football team discovers he has a unique tackling ability and becomes a member of the team.
6. Doctor Dolittle,https://www.imdb.com/title/tt0118998/?ref_=sr_t_6,1998,1h 25m,PG-13,5.4,104K,A doctor discovers that he can communicate with animals.
7. Rush Hour,https://www.imdb.com/title/tt0120812/?ref_=sr_t_7,1998,1h 38m,PG-13,7.0,308K,"A loyal and dedicated Hong Kong Inspector teams up with a reckless and loudmouthed L.A.P.D. detective to rescue the Chinese Consul's kidnapped daughter, while trying to arrest a dangerous crime lord along the way."
8. Deep Impact,https://www.imdb.com/title/tt0120647/?ref_=sr_t_8,1998,2h,PG-13,6.3,196K,"A comet is discovered to be on a collision course with Earth. As doomsday nears, the human race prepares for the worst."
9. Godzilla,https://www.imdb.com/title/tt0120685/?ref_=sr_t_9,1998,2h 19m,PG-13,5.5,208K,French nuclear tests irradiate an iguana into a giant monster that heads off to New York City. The American military must chase the monster across the city to stop it before it reproduces.
10. Patch Adams,https://www.imdb.com/title/tt0129290/?ref_=sr_t_10,1998,1h 55m,PG-13,6.8,125K,"The true story of a heroic man, Hunter ""Patch"" Adams, determined to become a medical doctor because he enjoys helping people. He ventured where no doctor had ventured before, using humour and pathos."
11. Lethal Weapon 4,https://www.imdb.com/title/tt0122151/?ref_=sr_t_11,1998,2h 7m,R,6.6,176K,"With personal crises and age weighing in on them, LAPD officers Riggs and Murtaugh must contend with deadly Chinese triads that are trying to free their former leaders out of prison and onto American soil."
12. The Truman Show,https://www.imdb.com/title/tt0120382/?ref_=sr_t_12,1998,1h 43m,PG,8.2,1.3M,An insurance salesman begins to suspect that his whole life is actually some sort of reality TV show.
13. Mulan,https://www.imdb.com/title/tt0120762/?ref_=sr_t_13,1998,1h 27m,G,7.7,328K,"To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process."
14. You've Got Mail,https://www.imdb.com/title/tt0128853/?ref_=sr_t_14,1998,1h 59m,PG,6.7,236K,"Book superstore magnate Joe Fox and independent book shop owner Kathleen Kelly fall in love in the anonymity of the Internet, both blissfully unaware that he's trying to put her out of business."
15. Enemy of the State,https://www.imdb.com/title/tt0120660/?ref_=sr_t_15,1998,2h 12m,R,7.3,265K,A lawyer becomes targeted by a corrupt politician and his N.S.A. goons when he accidentally receives key evidence to a politically motivated crime.
16. The Prince of Egypt,https://www.imdb.com/title/tt0120794/?ref_=sr_t_16,1998,1h 39m,PG,7.2,152K,Egyptian Prince Moses learns of his identity as a Hebrew and his destiny to become the chosen deliverer of his people.
17. The Rugrats Movie,https://www.imdb.com/title/tt0134067/?ref_=sr_t_17,1998,1h 19m,G,5.9,21K,The babies gets lost in the forest after Tommy Pickles gets a new baby brother.
18. Shakespeare in Love,https://www.imdb.com/title/tt0138097/?ref_=sr_t_18,1998,2h 3m,R,7.1,238K,"The world's greatest ever playwright, William Shakespeare, is young, out of ideas and short of cash, but meets his ideal woman and is inspired to write one of his most famous plays."
19. The Mask of Zorro,https://www.imdb.com/title/tt0120746/?ref_=sr_t_19,1998,2h 16m,PG-13,6.8,203K,"A young thief seeking revenge for his brother's death is trained by the once-great, aging Zorro, who is pursuing his own vengeance."
20. Stepmom,https://www.imdb.com/title/tt0120686/?ref_=sr_t_20,1998,2h 5m,PG-13,6.8,77K,"A terminally ill woman must deal with her ex-husband's new lover, who will be their children's stepmother."
21. Antz,https://www.imdb.com/title/tt0120587/?ref_=sr_t_21,1998,1h 23m,PG,6.5,167K,A rather neurotic ant tries to break from his totalitarian society while trying to win the affection of the princess he loves.
22. Pokémon: The First Movie - Mewtwo Strikes Back,https://www.imdb.com/title/tt0190641/?ref_=sr_t_22,1998,1h 36m,G,6.3,47K,"Scientists genetically create a new Pokémon, Mewtwo, but the results are horrific and disastrous."
23. The X Files,https://www.imdb.com/title/tt0120902/?ref_=sr_t_23,1998,2h 1m,PG-13,7.0,112K,Mulder and Scully must fight the government in a conspiracy and find the truth about an alien colonization of Earth.
24. The Wedding Singer,https://www.imdb.com/title/tt0120888/?ref_=sr_t_24,1998,1h 37m,PG-13,6.9,167K,"Robbie, a singer, and Julia, a waitress, are both engaged, but to the wrong people. Fortune intervenes to help them discover each other."
25. City of Angels,https://www.imdb.com/title/tt0120632/?ref_=sr_t_25,1998,1h 54m,PG-13,6.7,131K,"An angel on Earth, a doctor unable to believe, a patient with a secret, a love story made in Heaven."
26. The Horse Whisperer,https://www.imdb.com/title/tt0119314/?ref_=sr_t_26,1998,2h 49m,PG-13,6.7,44K,The mother of a severely traumatized daughter enlists the aid of a unique horse trainer to help the girl's equally injured horse.
27. Six Days Seven Nights,https://www.imdb.com/title/tt0120828/?ref_=sr_t_27,1998,1h 42m,PG-13,5.9,85K,"Robin Monroe, a New York magazine editor, and the gruff pilot Quinn Harris must put aside their mutual dislike if they are to survive after crash landing on a deserted South Seas island."
28. Star Trek: Insurrection,https://www.imdb.com/title/tt0120844/?ref_=sr_t_28,1998,1h 43m,PG,6.4,81K,"When the crew of the Enterprise learn of a Federation conspiracy against the inhabitants of a unique planet, Captain Picard begins an open rebellion."
29. Blade,https://www.imdb.com/title/tt0120611/?ref_=sr_t_29,1998,2h,R,7.1,314K,"A half-vampire, half-mortal man becomes a protector of the mortal race, while slaying evil vampires."
30. Lost in Space,https://www.imdb.com/title/tt0120738/?ref_=sr_t_30,1998,2h 10m,PG-13,5.2,76K,The Robinson family was going into space to fight for a chance for humanity. Now they are fighting to live long enough to find a way home.
31. A Perfect Murder,https://www.imdb.com/title/tt0120787/?ref_=sr_t_31,1998,1h 47m,R,6.6,95K,"Wealthy Wall Street speculator Steven Taylor finds that his wife Emily Bradford has a lover, struggling artist David Shaw. Steven investigates Shaw and manipulates him into murdering Emily. It seems like a perfect crime."
32. The Parent Trap,https://www.imdb.com/title/tt0120783/?ref_=sr_t_32,1998,2h 8m,PG,6.7,162K,"Identical twins Annie and Hallie, separated at birth and each raised by one of their biological parents, discover each other for the first time at summer camp and make a plan to bring their wayward parents back together."
33. Ever After: A Cinderella Story,https://www.imdb.com/title/tt0120631/?ref_=sr_t_33,1998,2h 1m,PG-13,7.1,83K,"The Brothers Grimm arrive at the home of a wealthy Grande Dame who speaks of the many legends surrounding the fable of the cinder girl before telling the ""true"" story of her ancestor."
34. Hope Floats,https://www.imdb.com/title/tt0119313/?ref_=sr_t_34,1998,1h 54m,PG-13,6.0,31K,"Birdee Calvert must choose between her morals and her heart after her husband divorces her and a charming young man, who her daughter disapproves of, comes back into her life."
35. U.S. Marshals,https://www.imdb.com/title/tt0120873/?ref_=sr_t_35,1998,2h 11m,PG-13,6.6,117K,"U.S. Marshal Samuel Gerard and his team of Marshals are assigned to track down Sheridan, who has been accused of a double-murder."
36. The Man in the Iron Mask,https://www.imdb.com/title/tt0120744/?ref_=sr_t_36,1998,2h 12m,PG-13,6.5,183K,The cruel King Louis XIV of France has a secret twin brother whom he keeps imprisoned. Can the twin be substituted for the real king?
37. A Civil Action,https://www.imdb.com/title/tt0120633/?ref_=sr_t_37,1998,1h 55m,PG-13,6.6,32K,"At the risk of bankrupting his firm and career, lawyer Jan Schlichtman takes on a case involving two companies responsible for causing children to be diagnosed with leukemia due to the town's contaminated water supply."
38. Snake Eyes,https://www.imdb.com/title/tt0120832/?ref_=sr_t_38,1998,1h 38m,R,6.1,89K,Corrupt Atlantic City police officer Rick Santoro and Navy Commander Kevin Dunn join forces to investigate both the assassination of Secretary of Defense Charles Kirkland and the disappearance of a beautiful stranger.
39. What Dreams May Come,https://www.imdb.com/title/tt0120889/?ref_=sr_t_39,1998,1h 53m,PG-13,7.0,117K,"Chris Nielsen dies in an accident, and enters Heaven. But when he discovers that his beloved wife Annie has killed herself out of grief over the loss, he embarks on an afterlife adventure to reunite with her."
40. Halloween H20: 20 Years Later,https://www.imdb.com/title/tt0120694/?ref_=sr_t_40,1998,1h 26m,R,5.8,85K,"Laurie Strode, now the dean of a Northern California private school with an assumed name, must battle the Shape one last time, as the life of her own son hangs in the balance."
