Title,Movie Link,Year,Duration,MPA,Rating,Votes,Description
1. Three Men and a Baby,https://www.imdb.com/title/tt0094137/?ref_=sr_t_1,1987,1h 42m,PG,6.1,59K,"Jack Holden and his friends, Peter and Michael, spend most of their time having flings with several women in their apartment. Their life changes when a mysterious baby appears at their doorstep."
2. Fatal Attraction,https://www.imdb.com/title/tt0093010/?ref_=sr_t_2,1987,1h 59m,R,6.9,104K,A married man's one-night stand comes back to haunt him when that lover begins to stalk him and his family.
3. Beverly Hills Cop II,https://www.imdb.com/title/tt0092644/?ref_=sr_t_3,1987,1h 43m,R,6.6,142K,"Axel Foley returns to Beverly Hills to help Taggart and Rosewood investigate Chief Bogomil's near-fatal shooting and the series of ""alphabet crimes"" associated with it."
"4. Good Morning, Vietnam",https://www.imdb.com/title/tt0093105/?ref_=sr_t_4,1987,2h 1m,R,7.3,159K,"In 1965, an unorthodox and irreverent DJ named Adrian Cronauer begins to shake up things when he is assigned to the U.S. Armed Services radio station in Vietnam."
5. Moonstruck,https://www.imdb.com/title/tt0093565/?ref_=sr_t_5,1987,1h 42m,PG,7.2,72K,"Loretta Castorini, a bookkeeper from Brooklyn, New York, finds herself in a difficult situation when she falls for the brother of the man she has agreed to marry."
6. The Untouchables,https://www.imdb.com/title/tt0094226/?ref_=sr_t_6,1987,1h 59m,R,7.8,340K,"During Prohibition, Treasury agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone, and assembles a small, incorruptible team to help him."
7. The Secret of My Success,https://www.imdb.com/title/tt0093936/?ref_=sr_t_7,1987,1h 51m,PG-13,6.5,38K,"A talented young man can't get an executive position without rising through the ranks, so he comes up with a shortcut, which also benefits his love life."
8. Stakeout,https://www.imdb.com/title/tt0094025/?ref_=sr_t_8,1987,1h 57m,R,6.7,29K,"Two detectives observe an escaped convict's ex-girlfriend, but complications set in when one of them falls for her."
9. Lethal Weapon,https://www.imdb.com/title/tt0093409/?ref_=sr_t_9,1987,1h 49m,R,7.6,285K,Two newly paired cops who are complete opposites must put aside their differences in order to catch a gang of drug smugglers.
10. Dirty Dancing,https://www.imdb.com/title/tt0092890/?ref_=sr_t_10,1987,1h 40m,PG-13,7.1,267K,"Spending the summer at a Catskills resort with her family, Frances ""Baby"" Houseman falls in love with the camp's dance instructor, Johnny Castle."
11. The Witches of Eastwick,https://www.imdb.com/title/tt0094332/?ref_=sr_t_11,1987,1h 58m,R,6.5,80K,"Three single women in a picturesque village have their wishes granted, at a cost, when a mysterious and flamboyant man arrives in their lives."
12. Predator,https://www.imdb.com/title/tt0093773/?ref_=sr_t_12,1987,1h 47m,R,7.8,472K,A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.
