Movie Link,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
https://www.imdb.com/title/tt1745960/?ref_=sr_t_1,170000000.0,1495696292,718732821,126707459.0,['Joseph Kosinski'],"['Jim Cash', 'Jack Epps Jr.', 'Peter Craig']","['Tom Cruise', 'Jennifer Connelly', 'Miles Teller']","['Action Epic', 'Epic', 'Action', 'Drama']",['United States'],"['Eldorado National Forest, California, USA']","['Paramount Pictures', 'Skydance Media', 'Jerry Bruckheimer Films']",['English'],111,242,1,2022
https://www.imdb.com/title/tt1630029/?ref_=sr_t_2,350000000.0,2320250281,684075767,134100226.0,['James Cameron'],"['James Cameron', 'Rick Jaffa', 'Amanda Silver']","['Sam Worthington', 'Zoe Saldaña', 'Sigourney Weaver']","['Action Epic', 'Adventure Epic', 'Sci-Fi Epic', 'Sea Adventure', 'Action', 'Adventure', 'Fantasy', 'Sci-Fi']",['United States'],"['Stone Street Studios, Wellington, New Zealand']","['20th Century Studios', 'TSG Entertainment', 'Lightstorm Entertainment']",['English'],75,153,1,2022
https://www.imdb.com/title/tt9114286/?ref_=sr_t_3,250000000.0,859208836,453829060,181339761.0,['Ryan Coogler'],"['Ryan Coogler', 'Joe Robert Cole', 'Stan Lee']","['Letitia Wright', ""Lupita Nyong'o"", 'Danai Gurira']","['Superhero', 'Action', 'Adventure', 'Drama', 'Sci-Fi']",['United States'],"['Cambridge, Massachusetts, USA']",['Marvel Studios'],"['English', 'Xhosa', 'Maya', 'Spanish', 'Haitian', 'French']",50,175,1,2022
https://www.imdb.com/title/tt9419884/?ref_=sr_t_4,414900000.0,955775804,411331607,187420998.0,['Sam Raimi'],"['Michael Waldron', 'Stan Lee', 'Steve Ditko']","['Benedict Cumberbatch', 'Elizabeth Olsen', 'Chiwetel Ejiofor']","['Dark Fantasy', 'Superhero', 'Action', 'Adventure', 'Fantasy', 'Sci-Fi']",['United States'],['Norway'],['Marvel Studios'],"['English', 'Spanish', 'Chinese']",10,30,0,2022
https://www.imdb.com/title/tt8041270/?ref_=sr_t_5,165000000.0,1001978080,376851080,145075625.0,['Colin Trevorrow'],"['Emily Carmichael', 'Colin Trevorrow', 'Derek Connolly']","['Chris Pratt', 'Bryce Dallas Howard', 'Laura Dern']","['Dinosaur Adventure', 'Globetrotting Adventure', 'Action', 'Adventure', 'Sci-Fi', 'Thriller']","['United States', 'China', 'Malta']","['Valletta, Malta']","['Universal Pictures', 'Amblin Entertainment', 'Perfect World Pictures']","['English', 'Maltese', 'French']",0,26,0,2022
https://www.imdb.com/title/tt5113044/?ref_=sr_t_6,80000000.0,940482695,370549695,107010140.0,"['Kyle Balda', 'Brad Ableson', 'Jonathan del Val']","['Matthew Fogel', 'Brian Lynch']","['Steve Carell', 'Pierre Coffin', 'Alan Arkin']","['Computer Animation', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Sci-Fi']","['United States', 'France']","['New York City, New York, USA']","['Universal Pictures', 'Illumination Entertainment']","['English', 'Vietnamese']",0,18,0,2022
https://www.imdb.com/title/tt1877830/?ref_=sr_t_7,185000000.0,772319315,369345583,134008624.0,['Matt Reeves'],"['Matt Reeves', 'Peter Craig', 'Bob Kane']","['Robert Pattinson', 'Zoë Kravitz', 'Jeffrey Wright']","['Action Epic', 'Epic', 'Serial Killer', 'Superhero', 'Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",['United States'],"['Necropolis Cemetery, Glasgow, Scotland, UK']","['Warner Bros.', 'DC Entertainment', '6th & Idaho Productions']","['English', 'Spanish', 'Latin', 'Italian']",39,185,3,2022
https://www.imdb.com/title/tt10648342/?ref_=sr_t_8,250000000.0,760928081,343256830,144165107.0,['Taika Waititi'],"['Taika Waititi', 'Jennifer Kaytin Robinson', 'Stan Lee']","['Chris Hemsworth', 'Natalie Portman', 'Christian Bale']","['Superhero', 'Action', 'Adventure', 'Comedy', 'Romance', 'Sci-Fi']","['Australia', 'United States']","['Little Bay, Sydney, New South Wales, Australia']",['Marvel Studios'],['English'],3,22,0,2022
https://www.imdb.com/title/tt12412888/?ref_=sr_t_9,110000000.0,405421518,190872904,72105176.0,['Jeff Fowler'],"['Pat Casey', 'Josh Miller', 'John Whittington']","['James Marsden', 'Jim Carrey', 'Ben Schwartz']","['Animal Adventure', 'Globetrotting Adventure', 'Superhero', 'Supernatural Fantasy', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']","['United States', 'Japan', 'United Kingdom']","['Port Coquitlam, British Columbia, Canada']","['Paramount Pictures', 'Sega Sammy Group', 'Original Film']","['English', 'Russian', 'French', 'Latin', 'Hawaiian', 'Greek']",2,3,0,2022
https://www.imdb.com/title/tt3915174/?ref_=sr_t_10,90000000.0,481757663,186090535,12429515.0,"['Joel Crawford', 'Januel Mercado']","['Paul Fisher', 'Tommy Swerdlow', 'Tom Wheeler']","['Antonio Banderas', 'Salma Hayek', 'Harvey Guillén']","['Animal Adventure', 'Computer Animation', 'Fairy Tale', 'Quest', 'Swashbuckler', 'Action', 'Adventure', 'Animation', 'Comedy', 'Family']","['United States', 'Japan']",[],"['DreamWorks Animation', 'Dentsu']","['English', 'Spanish']",8,58,1,2022
https://www.imdb.com/title/tt6443346/?ref_=sr_t_11,195000000.0,393452111,168152111,67004323.0,['Jaume Collet-Serra'],"['Adam Sztykiel', 'Rory Haines', 'Sohrab Noshirvani']","['Dwayne Johnson', 'Aldis Hodge', 'Pierce Brosnan']","['Superhero', 'Action', 'Adventure', 'Fantasy', 'Sci-Fi']","['United States', 'Canada', 'New Zealand', 'Hungary']","['Atlanta, Georgia, USA']","['Warner Bros.', 'New Line Cinema', 'DC Entertainment']",['English'],0,13,0,2022
https://www.imdb.com/title/tt3704428/?ref_=sr_t_12,85000000.0,288670284,151040048,31211579.0,['Baz Luhrmann'],"['Baz Luhrmann', 'Sam Bromell', 'Craig Pearce']","['Tom Hanks', 'Austin Butler', 'Olivia DeJonge']","['Docudrama', 'Epic', 'Period Drama', 'Showbiz Drama', 'Biography', 'Drama', 'Music']","['United States', 'Australia']","['Stage 5, Village Roadshow Studios, Oxenford, Queensland, Australia']","['Warner Bros.', 'Bazmark Films', 'Roadshow Entertainment']",['English'],93,243,8,2022
https://www.imdb.com/title/tt1464335/?ref_=sr_t_13,120000000.0,407141258,148648820,44010155.0,['Ruben Fleischer'],"['Rafe Judkins', 'Art Marcum', 'Matt Holloway']","['Tom Holland', 'Mark Wahlberg', 'Antonio Banderas']","['Globetrotting Adventure', 'Quest', 'Action', 'Adventure']","['United States', 'Spain']","['Lloret de Mar, Girona, Spain']","['Columbia Pictures', 'Arad Productions', 'Atlas Entertainment']","['English', 'Spanish', 'Latin']",0,5,0,2022
https://www.imdb.com/title/tt10954984/?ref_=sr_t_14,68000000.0,171235592,123277080,44366910.0,['Jordan Peele'],['Jordan Peele'],"['Daniel Kaluuya', 'Keke Palmer', 'Brandon Perea']","['Alien Invasion', 'Monster Horror', 'Supernatural Horror', 'Horror', 'Mystery', 'Sci-Fi', 'Thriller']","['Canada', 'Japan', 'United States']","['Firestone Ranch, Agua Dulce, California, USA']","['Universal Pictures', 'Dentsu', 'Monkeypaw Productions']","['English', 'Spanish']",43,181,0,2022
https://www.imdb.com/title/tt10298810/?ref_=sr_t_15,200000000.0,226425420,118307188,50577961.0,['Angus MacLane'],"['Angus MacLane', 'Matthew Aldrich', 'Jason Headley']","['Chris Evans', 'Keke Palmer', 'Peter Sohn']","['Computer Animation', 'Space Sci-Fi', 'Superhero', 'Time Travel', 'Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Sci-Fi']","['United States', 'Canada']","['Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA']","['Pixar Animation Studios', 'Walt Disney Pictures']",['English'],2,23,0,2022
https://www.imdb.com/title/tt15474916/?ref_=sr_t_16,17000000.0,217408513,105935048,22609925.0,['Parker Finn'],['Parker Finn'],"['Sosie Bacon', 'Jessie T. Usher', 'Kyle Gallner']","['Psychological Horror', 'Supernatural Horror', 'Tragedy', 'Horror', 'Mystery', 'Thriller']",['United States'],"['North Arlington, New Jersey, USA']","['Paramount Players', 'Temple Hill Entertainment']","['English', 'Spanish']",3,23,0,2022
https://www.imdb.com/title/tt13320622/?ref_=sr_t_17,68000000.0,192907684,105344029,30453269.0,"['Aaron Nee', 'Adam Nee']","['Oren Uziel', 'Dana Fox', 'Adam Nee']","['Sandra Bullock', 'Channing Tatum', 'Daniel Radcliffe']","['Jungle Adventure', 'Action', 'Adventure', 'Comedy', 'Romance']",['United States'],"['Samana, Dominican Republic']","['Paramount Pictures', '3dot productions', 'Exhibit A']","['English', 'Spanish', 'Latin']",3,10,0,2022
https://www.imdb.com/title/tt12593682/?ref_=sr_t_18,85900000.0,239268602,103368602,30030156.0,['David Leitch'],"['Zak Olkewicz', 'Kôtarô Isaka']","['Brad Pitt', 'Joey King', 'Aaron Taylor-Johnson']","['One-Person Army Action', 'Action', 'Comedy', 'Thriller']","['United States', 'Japan']","['Tokyo, Japan']","['Columbia Pictures', '87North', 'TSG Entertainment']","['English', 'Japanese', 'Spanish', 'Russian']",2,19,0,2022
https://www.imdb.com/title/tt8115900/?ref_=sr_t_19,70000000.0,250387888,97459240,23950245.0,['Pierre Perifel'],"['Aaron Blabey', 'Etan Cohen']","['Sam Rockwell', 'Marc Maron', 'Awkwafina']","['Animal Adventure', 'Caper', 'Computer Animation', 'Slapstick', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Family']","['United States', 'United Kingdom']",[],"['DreamWorks Animation', 'Dentsu']","['English', 'Spanish']",2,30,0,2022
https://www.imdb.com/title/tt4123432/?ref_=sr_t_20,200000000.0,407150844,95850844,42151256.0,['David Yates'],"['J.K. Rowling', 'Steve Kloves']","['Eddie Redmayne', 'Jude Law', 'Ezra Miller']","['Dark Fantasy', 'Quest', 'Supernatural Fantasy', 'Sword & Sorcery', 'Adventure', 'Fantasy']","['United Kingdom', 'United States']","['Berlin, Germany']","['Warner Bros.', 'Heyday Films']","['English', 'German', 'Latin']",0,7,0,2022
https://www.imdb.com/title/tt8760708/?ref_=sr_t_21,12000000.0,180089109,95159005,30429860.0,['Gerard Johnstone'],"['Akela Cooper', 'James Wan']","['Allison Williams', 'Violet McGraw', 'Ronny Chieng']","['Artificial Intelligence', 'Cyber Thriller', 'Slasher Horror', 'Horror', 'Sci-Fi', 'Thriller']","['United States', 'New Zealand']",['New Zealand'],"['Atomic Monster', 'Blumhouse Productions', 'Divide/Conquer']",['English'],4,31,0,2022
https://www.imdb.com/title/tt8912936/?ref_=sr_t_22,90000000.0,207557117,93657117,23003441.0,"['Jared Stern', 'Sam J. Levine']","['Jared Stern', 'John Whittington', 'Jerry Siegel']","['Dwayne Johnson', 'Kevin Hart', 'Kate McKinnon']","['Computer Animation', 'Superhero', 'Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Fantasy', 'Sci-Fi']","['United States', 'Australia', 'Canada']","['Washington, District of Columbia, USA']","['Warner Bros. Pictures Animation', 'DC Entertainment', 'Seven Bucks Productions']","['English', 'Spanish']",0,9,0,2022
https://www.imdb.com/title/tt9411972/?ref_=sr_t_23,24000000.0,144353965,90230760,17253227.0,['Olivia Newman'],"['Delia Owens', 'Lucy Alibar']","['Daisy Edgar-Jones', 'Taylor John Smith', 'Harris Dickinson']","['Coming-of-Age', 'Legal Thriller', 'Suspense Mystery', 'Drama', 'Mystery', 'Romance', 'Thriller']",['United States'],"['Houma, Louisiana, USA']","['3000 Pictures', 'Hello Sunshine', 'TSG Entertainment']",['English'],2,13,0,2022
https://www.imdb.com/title/tt11245972/?ref_=sr_t_24,24000000.0,137743924,81641405,30018805.0,"['Matt Bettinelli-Olpin', 'Tyler Gillett']","['James Vanderbilt', 'Guy Busick', 'Kevin Williamson']","['Neve Campbell', 'Courteney Cox', 'David Arquette']","['Slasher Horror', 'Suspense Mystery', 'Whodunnit', 'Horror', 'Mystery', 'Thriller']",['United States'],"['North Carolina, USA']","['Paramount Pictures', 'Spyglass Media Group', 'Project X Entertainment']",['English'],5,22,0,2022
https://www.imdb.com/title/tt6710474/?ref_=sr_t_25,14300000.0,143412671,77191785,501305.0,"['Daniel Kwan', 'Daniel Scheinert']","['Daniel Kwan', 'Daniel Scheinert']","['Michelle Yeoh', 'Stephanie Hsu', 'Jamie Lee Curtis']","['Adventure Epic', 'Dark Comedy', 'Martial Arts', 'Sci-Fi Epic', 'Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Sci-Fi']",['United States'],"['400 National Way, Simi Valley, California, USA']","['A24', 'IAC Films', 'AGBO']","['English', 'Mandarin', 'Cantonese']",411,398,7,2022
https://www.imdb.com/title/tt5108870/?ref_=sr_t_26,75000000.0,167460961,73865530,39005895.0,['Daniel Espinosa'],"['Matt Sazama', 'Burk Sharpless']","['Jared Leto', 'Matt Smith', 'Adria Arjona']","['Superhero', 'Vampire Horror', 'Action', 'Adventure', 'Horror', 'Sci-Fi', 'Thriller']",['United States'],"['Northern Quarter, Manchester, England, UK']","['Columbia Pictures', 'Marvel Entertainment', 'Avi Arad Productions']","['English', 'Spanish', 'Russian']",3,4,0,2022
https://www.imdb.com/title/tt14109724/?ref_=sr_t_27,60000000.0,168770985,68275985,16509095.0,['Ol Parker'],"['Ol Parker', 'Daniel Pipski']","['George Clooney', 'Sean Lynch', 'Julia Roberts']","['Romantic Comedy', 'Satire', 'Comedy', 'Drama', 'Romance']","['United Kingdom', 'Japan', 'United States']","['Airlie Beach, Queensland, Australia']","['Universal Pictures', 'Working Title Films', 'Smokehouse Pictures']","['English', 'Indonesian', 'Italian', 'French']",0,4,0,2022
https://www.imdb.com/title/tt8093700/?ref_=sr_t_28,50000000.0,97562514,67328130,19051442.0,['Gina Prince-Bythewood'],"['Dana Stevens', 'Maria Bello']","['Viola Davis', 'Thuso Mbedu', 'Lashana Lynch']","['Action Epic', 'Historical Epic', 'Action', 'Drama', 'History']","['United States', 'South Africa', 'Ireland']",['Benin'],"['TriStar Pictures', 'Eone Entertainment', 'TSG Entertainment']","['English', 'Portuguese', 'Fon']",28,126,0,2022
https://www.imdb.com/title/tt7405458/?ref_=sr_t_29,50000000.0,113360085,64267657,56257.0,['Marc Forster'],"['Fredrik Backman', 'Hannes Holm', 'David Magee']","['Tom Hanks', 'Mariana Treviño', 'Rachel Keller']","['Comedy', 'Drama']","['United States', 'Sweden', 'Canada', 'Ireland', 'United Kingdom']","['Central Union Terminal, Toledo, Ohio, USA']","['2DUX²', 'Artistic Films', 'Big Indie Pictures']","['English', 'Spanish']",0,10,0,2022
https://www.imdb.com/title/tt10665342/?ref_=sr_t_30,20000000.0,104374176,64079860,40050355.0,['David Gordon Green'],"['John Carpenter', 'Debra Hill', 'Paul Brad Logan']","['Jamie Lee Curtis', 'Andi Matichak', 'James Jude Courtney']","['Dark Romance', 'Slasher Horror', 'Drama', 'Horror', 'Mystery', 'Romance', 'Thriller']",['United States'],"['Savannah, Georgia, USA']","['Blumhouse Productions', 'Miramax', 'Rough House Pictures']",['English'],3,21,0,2022
