Movie Link,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
https://www.imdb.com/title/tt1517268/?ref_=sr_t_1,100000000.0,1447038421,636238421,162022044,['Greta Gerwig'],"['Greta Gerwig', 'Noah Baumbach']","['Margot Robbie', 'Ryan Gosling', 'Issa Rae']","['High-Concept Comedy', 'Quirky Comedy', 'Satire', 'Adventure', 'Comedy', 'Fantasy']","['United States', 'United Kingdom']","['Venice Beach, Venice, Los Angeles, California, USA']","['Warner Bros.', 'Heyday Films', 'LuckyChap']","['English', 'Spanish']",208,437,1,2023
https://www.imdb.com/title/tt6718170/?ref_=sr_t_2,100000000.0,1360847665,574934330,146361865,"['Aaron Horvath', 'Michael Jelenic', 'Pierre Leduc']",['Matthew Fogel'],"['Chris Pratt', 'Anya Taylor-Joy', 'Charlie Day']","['Adventure Epic', 'Computer Animation', 'Fantasy Epic', 'High-Concept Comedy', 'Quest', 'Slapstick', 'Adventure', 'Animation', 'Comedy', 'Family']","['United States', 'Japan', 'France']","['Paris, France']","['Universal Pictures', 'Nintendo', 'Illumination Entertainment']",['English'],2,48,0,2023
https://www.imdb.com/title/tt9362722/?ref_=sr_t_3,150000000.0,690824738,381593754,120663589,"['Joaquim Dos Santos', 'Kemp Powers', 'Justin K. Thompson']","['Phil Lord', 'Christopher Miller', 'Dave Callaham']","['Shameik Moore', 'Hailee Steinfeld', 'Brian Tyree Henry']","['Computer Animation', 'Superhero', 'Supernatural Fantasy', 'Teen Adventure', 'Urban Adventure', 'Action', 'Adventure', 'Animation', 'Family', 'Fantasy']",['United States'],[],"['Columbia Pictures', 'Marvel Entertainment', 'Avi Arad Productions']",['English'],106,165,1,2023
https://www.imdb.com/title/tt6791350/?ref_=sr_t_4,250000000.0,845555777,358995815,118414021,['James Gunn'],"['James Gunn', 'Jim Starlin', 'Stan Lee']","['Chris Pratt', 'Chukwudi Iwuji', 'Bradley Cooper']","['Space Sci-Fi', 'Superhero', 'Action', 'Adventure', 'Comedy', 'Sci-Fi']","['United States', 'New Zealand', 'France', 'Canada']","['Atlanta, Georgia, USA']","['Marvel Studios', 'Film New Zealand', 'Marvel Entertainment']","['English', 'Russian']",11,88,1,2023
https://www.imdb.com/title/tt15398776/?ref_=sr_t_5,100000000.0,975594978,329862540,82455420,['Christopher Nolan'],"['Christopher Nolan', 'Kai Bird', 'Martin Sherwin']","['Cillian Murphy', 'Emily Blunt', 'Matt Damon']","['Docudrama', 'Epic', 'Historical Epic', 'Period Drama', 'Psychological Drama', 'Biography', 'Drama', 'History']","['United States', 'United Kingdom']","['Los Alamos, New Mexico, USA']","['Universal Pictures', 'Atlas Entertainment', 'Gadget Films']","['English', 'German', 'Italian', 'Dutch']",361,371,7,2023
https://www.imdb.com/title/tt5971474/?ref_=sr_t_6,355100000.0,569626289,298172056,95578040,['Rob Marshall'],"['David Magee', 'Hans Christian Andersen', 'John Musker']","['Halle Bailey', 'Jonah Hauer-King', 'Melissa McCarthy']","['Fairy Tale', 'Feel-Good Romance', 'Sea Adventure', 'Teen Romance', 'Adventure', 'Family', 'Fantasy', 'Musical', 'Romance']",['United States'],"['Sardinia, Italy']","['Walt Disney Pictures', 'Lucamar Productions', 'Marc Platt Productions']",['English'],2,31,0,2023
https://www.imdb.com/title/tt6166392/?ref_=sr_t_7,125000000.0,634502312,218402312,39005800,['Paul King'],"['Roald Dahl', 'Paul King', 'Simon Farnaby']","['Timothée Chalamet', 'Gustave Die', 'Murray McArthur']","['Supernatural Fantasy', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']","['United States', 'United Kingdom', 'Canada']","['Bath, Somerset, England, UK']","['Warner Bros.', 'Village Roadshow Pictures', 'The Roald Dahl Story Company']","['English', 'Latin', 'French']",3,42,0,2023
https://www.imdb.com/title/tt10954600/?ref_=sr_t_8,200000000.0,476071180,214504909,106109650,['Peyton Reed'],"['Jeff Loveness', 'Stan Lee', 'Larry Lieber']","['Paul Rudd', 'Evangeline Lilly', 'Michael Douglas']","['Superhero', 'Action', 'Adventure', 'Comedy', 'Sci-Fi']","['United States', 'Australia', 'Canada']","['Nevsehir, Turkey']","['Marvel Studios', ""Lightnin' Production Rentals"", 'Québec Production Services Tax Credit']",['English'],0,14,0,2023
https://www.imdb.com/title/tt10366206/?ref_=sr_t_9,100000000.0,440180275,187131806,73817950,['Chad Stahelski'],"['Shay Hatten', 'Michael Finch', 'Derek Kolstad']","['Keanu Reeves', 'Laurence Fishburne', 'George Georgiou']","['Action Epic', 'Gun Fu', 'One-Person Army Action', 'Action', 'Crime', 'Thriller']","['United States', 'Germany']","['Wadi Rum Desert, Jordan']","['Lionsgate', 'Thunder Road Pictures', '87Eleven Entertainment']","['English', 'Japanese', 'Russian', 'French', 'Spanish', 'German', 'Latin', 'Cantonese', 'Arabic']",37,47,0,2023
https://www.imdb.com/title/tt7599146/?ref_=sr_t_10,14600000.0,250570396,184178046,19680879,['Alejandro Monteverde'],"['Rod Barr', 'Alejandro Monteverde']","['Jim Caviezel', 'Mira Sorvino', 'Bill Camp']","['Docudrama', 'True Crime', 'Biography', 'Crime', 'Drama', 'History', 'Thriller']","['Mexico', 'United States']","['Cartagena, Colombia']","['2521 Entertainment', 'Metanoia', 'Santa Fe Films']","['English', 'Spanish']",2,4,0,2023
https://www.imdb.com/title/tt28814949/?ref_=sr_t_11,,261656269,180756269,93224755,['Sam Wrench'],[],"['Taylor Swift', 'Mike Meadows', 'Max Bernstein']","['Concert', 'Documentary', 'Music', 'Musical']",['United States'],"['SoFi Stadium - 1001 Stadium Drive, Inglewood, California, USA']","['Silent House', 'Taylor Swift Productions']",['English'],2,9,0,2023
https://www.imdb.com/title/tt1462764/?ref_=sr_t_12,387200000.0,383963057,174480468,60368101,['James Mangold'],"['Jez Butterworth', 'John-Henry Butterworth', 'David Koepp']","['Harrison Ford', 'Phoebe Waller-Bridge', 'Antonio Banderas']","['Adventure Epic', 'Globetrotting Adventure', 'Time Travel', 'Action', 'Adventure', 'Sci-Fi']",['United States'],"['North Yorkshire Moors Railway, 12 Park Street, Pickering, North Yorkshire, England, UK']","['Walt Disney Pictures', 'Lucasfilm', 'Paramount Pictures']","['English', 'German', 'Greek, Ancient (to 1453)', 'Spanish', 'Italian']",7,35,1,2023
https://www.imdb.com/title/tt9603212/?ref_=sr_t_13,291000000.0,571125435,172640980,54688347,['Christopher McQuarrie'],"['Bruce Geller', 'Christopher McQuarrie', 'Erik Jendresen']","['Tom Cruise', 'Hayley Atwell', 'Ving Rhames']","['Action Epic', 'Adventure Epic', 'Spy', 'Action', 'Adventure', 'Thriller']",['United States'],"['Helsetkopen, Møre og Romsdal, Norway']","['Paramount Pictures', 'Skydance Media', 'TC Productions']","['English', 'French', 'Italian', 'Russian']",18,67,2,2023
https://www.imdb.com/title/tt10545296/?ref_=sr_t_14,100000000.0,348900019,166350594,44607143,['Francis Lawrence'],"['Michael Lesslie', 'Michael Arndt', 'Suzanne Collins']","['Rachel Zegler', 'Tom Blyth', 'Viola Davis']","['Dystopian Sci-Fi', 'Teen Adventure', 'Action', 'Adventure', 'Drama', 'Sci-Fi', 'Thriller', 'War']","['United States', 'Canada']","['Landschaftspark, Duisburg, North Rhine-Westphalia, Germany']","['Lionsgate', 'Color Force', 'About Blank']",['English'],7,27,0,2023
https://www.imdb.com/title/tt5090568/?ref_=sr_t_15,200000000.0,441656550,157341749,61045464,['Steven Caple Jr.'],"['Joby Harold', 'Darnell Metayer', 'Josh Peters']","['Anthony Ramos', 'Dominique Fishback', 'Luna Lauren Velez']","['Alien Invasion', 'Car Action', 'Action', 'Adventure', 'Sci-Fi']","['United States', 'Canada', 'United Kingdom', 'New Zealand', 'Hungary', 'Peru', 'China']","['Cuzco, Peru']","['Paramount Pictures', 'Skydance Media', 'New Republic Pictures']","['English', 'Spanish']",0,11,0,2023
