Title,Movie Link,Year,Duration,MPA,Rating,Votes,Description,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
1. Beauty and the Beast,https://www.imdb.com/title/tt0101414/?ref_=sr_t_1,1991,1h 24m,G,8.0,490K,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,25000000.0,451291298,218967620,162146,"['Gary Trousdale', 'Kirk Wise']","['Linda Woolverton', 'Brenda Chapman', 'Chris Sanders']","[""Paige O'Hara"", 'Robby Benson', 'Jesse Corti']","['Dark Fantasy', 'Fairy Tale', 'Fantasy Epic', 'Hand-Drawn Animation', 'Romantic Epic', 'Animation', 'Family', 'Fantasy', 'Musical', 'Romance']","['United States', 'Japan']","['Walt Disney Feature Animation - 500 S. Buena Vista Street, Burbank, California, USA']","['Walt Disney Pictures', 'Silver Screen Partners IV', 'Walt Disney Animation Studios']","['English', 'French']",33,32,2,1991
2. Terminator 2: Judgment Day,https://www.imdb.com/title/tt0103064/?ref_=sr_t_2,1991,2h 17m,R,8.6,1.2M,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.",102000000.0,517778573,205881154,31765506,['James Cameron'],"['James Cameron', 'William Wisher']","['Arnold Schwarzenegger', 'Linda Hamilton', 'Edward Furlong']","['Action Epic', 'Artificial Intelligence', 'Cyberpunk', 'Dystopian Sci-Fi', 'Sci-Fi Epic', 'Time Travel', 'Action', 'Adventure', 'Sci-Fi']","['United States', 'France']","['Bayside Parkway & Gateway Boulevard, Fremont, California, USA']","['Carolco Pictures', 'Pacific Western', 'Lightstorm Entertainment']","['English', 'Spanish']",39,33,4,1991
3. Robin Hood: Prince of Thieves,https://www.imdb.com/title/tt0102798/?ref_=sr_t_3,1991,2h 23m,PG-13,6.9,214K,Robin Hood decides to fight back as an outlaw when faced with the tyranny of the Sheriff of Nottingham.,48000000.0,390493908,165493908,25625602,['Kevin Reynolds'],"['Pen Densham', 'John Watson']","['Kevin Costner', 'Morgan Freeman', 'Mary Elizabeth Mastrantonio']","['Swashbuckler', 'Action', 'Adventure', 'Drama', 'Romance']",['United States'],"[""Hadrian's Wall, England, UK""]","['Warner Bros.', 'Morgan Creek Entertainment']","['English', 'Arabic']",16,24,1,1991
4. The Silence of the Lambs,https://www.imdb.com/title/tt0102926/?ref_=sr_t_4,1991,1h 58m,R,8.6,1.6M,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",19000000.0,272742922,130742922,13766814,['Jonathan Demme'],"['Thomas Harris', 'Ted Tally']","['Jodie Foster', 'Anthony Hopkins', 'Scott Glenn']","['Police Procedural', 'Psychological Drama', 'Psychological Horror', 'Psychological Thriller', 'Serial Killer', 'Crime', 'Drama', 'Horror', 'Thriller']",['United States'],"['Bimini Airport, South Bimini Island, Bimini Islands, Bahamas']","['Strong Heart/Demme Production', 'Orion Pictures']","['English', 'Latin']",71,50,5,1991
5. City Slickers,https://www.imdb.com/title/tt0101587/?ref_=sr_t_5,1991,1h 53m,PG-13,6.8,65K,"On the verge of turning 40, an unhappy Manhattan yuppie is roped into joining his two friends on a cattle drive in the southwest.",27000000.0,179033791,124033791,13032121,['Ron Underwood'],"['Lowell Ganz', 'Babaloo Mandel']","['Billy Crystal', 'Jack Palance', 'Daniel Stern']","['Buddy Comedy', 'Contemporary Western', 'High-Concept Comedy', 'Comedy', 'Western']",['United States'],"['Ghost Ranch, Abiquiu, New Mexico, USA']","['Castle Rock Entertainment', 'Nelson Entertainment', 'Face Productions']",['English'],8,7,1,1991
6. Hook,https://www.imdb.com/title/tt0102057/?ref_=sr_t_6,1991,2h 22m,PG,6.8,280K,"When Captain James Hook kidnaps his children, an adult Peter Pan must return to Neverland and reclaim his youthful spirit in order to challenge his old enemy.",70000000.0,300854823,119654823,13522535,['Steven Spielberg'],"['J.M. Barrie', 'James V. Hart', 'Nick Castle']","['Dustin Hoffman', 'Robin Williams', 'Julia Roberts']","['Fairy Tale', 'Parody', 'Swashbuckler', 'Adventure', 'Comedy', 'Family', 'Fantasy']",['United States'],"[""Kaua'i, Hawaii, USA""]","['TriStar Pictures', 'Amblin Entertainment', 'Allied Stars Ltd.']",['English'],6,24,5,1991
7. The Addams Family,https://www.imdb.com/title/tt0101272/?ref_=sr_t_7,1991,1h 39m,PG-13,6.9,189K,Con artists plan to fleece an eccentric family using an accomplice who claims to be their long-lost uncle.,30000000.0,191502426,113502426,24203754,['Barry Sonnenfeld'],"['Charles Addams', 'Caroline Thompson', 'Larry Wilson']","['Anjelica Huston', 'Raul Julia', 'Christopher Lloyd']","['Dark Comedy', 'Satire', 'Supernatural Fantasy', 'Comedy', 'Fantasy']",['United States'],"['Toluca Lake, Los Angeles, California, USA']","['Orion Pictures', 'Paramount Pictures', 'Scott Rudin Productions']","['English', 'Italian', 'French']",5,23,1,1991
8. Sleeping with the Enemy,https://www.imdb.com/title/tt0102945/?ref_=sr_t_8,1991,1h 39m,R,6.3,68K,"A librarian fakes her death to escape her abusive marriage and start a new life elsewhere, but her husband manages to track her down.",19000000.0,174999005,101599005,13777943,['Joseph Ruben'],"['Nancy Price', 'Ron Bass']","['Julia Roberts', 'Patrick Bergin', 'Kevin Anderson']","['Psychological Thriller', 'Drama', 'Thriller']",['United States'],"['Abbeville, South Carolina, USA']",['Twentieth Century Fox'],['English'],2,4,0,1991
9. Father of the Bride,https://www.imdb.com/title/tt0101862/?ref_=sr_t_9,1991,1h 45m,PG,6.6,87K,"With his oldest daughter's wedding approaching, a father finds himself reluctant to let go.",20000000.0,89325780,89325780,7031146,['Charles Shyer'],"['Frances Goodrich', 'Albert Hackett', 'Nancy Meyers']","['Steve Martin', 'Diane Keaton', 'Martin Short']","['Romantic Comedy', 'Comedy', 'Family', 'Romance']",['United States'],"['843 S. El Molino Avenue, Pasadena, California, USA']","['Touchstone Pictures', 'Touchwood Pacific Partners 1', 'Sandollar Productions']",['English'],0,5,0,1991
10. The Naked Gun 2½: The Smell of Fear,https://www.imdb.com/title/tt0102510/?ref_=sr_t_10,1991,1h 25m,PG-13,6.9,126K,Lieutenant Frank Drebin discovers that his ex-girlfriend's new beau is involved in a plot to kidnap a scientist who advocates solar energy.,23000000.0,86930411,86930411,20817139,['David Zucker'],"['Jim Abrahams', 'David Zucker', 'Jerry Zucker']","['Leslie Nielsen', 'Priscilla Presley', 'George Kennedy']","['Parody', 'Slapstick', 'Comedy', 'Crime']",['United States'],"['1400 Tower Grove Drive, Beverly Hills, California, USA']",['Paramount Pictures'],"['English', 'Spanish']",2,0,0,1991
11. Fried Green Tomatoes,https://www.imdb.com/title/tt0101921/?ref_=sr_t_11,1991,2h 10m,PG-13,7.7,87K,"Evelyn, an ordinary housewife, visits a nursing home and befriends the old lady Ninny. Together, they bond over stories from the past about two intrepid women of Whistle Stop Cafe.",11000000.0,119418501,82418501,105317,['Jon Avnet'],"['Fannie Flagg', 'Carol Sobieski']","['Kathy Bates', 'Jessica Tandy', 'Mary Stuart Masterson']","['Period Drama', 'Drama']",['United States'],"['Senoia, Georgia, USA']","['Universal Pictures', 'Act III Communications', 'Avnet/Kerner Productions']",['English'],6,12,2,1991
12. Cape Fear,https://www.imdb.com/title/tt0101540/?ref_=sr_t_12,1991,2h 8m,R,7.3,225K,"A convicted rapist, released from prison after serving a fourteen-year sentence, stalks the family of the lawyer who originally defended him.",35000000.0,182291969,79091969,10261025,['Martin Scorsese'],"['John D. MacDonald', 'James R. Webb', 'Wesley Strick']","['Robert De Niro', 'Nick Nolte', 'Jessica Lange']","['Psychological Thriller', 'Crime', 'Thriller']",['United States'],"['Savannah, Georgia, USA']","['Amblin Entertainment', 'Cappa Films', 'Tribeca Productions']",['English'],5,21,2,1991
