Title,Movie Link,Year,Duration,MPA,Rating,Votes,Description
1. Blazing Saddles,https://www.imdb.com/title/tt0071230/?ref_=sr_t_1,1974,1h 33m,R,7.7,157K,"In order to ruin a western town and steal their land, a corrupt politician appoints a black sheriff, who promptly becomes his most formidable adversary."
2. The Towering Inferno,https://www.imdb.com/title/tt0072308/?ref_=sr_t_2,1974,2h 45m,PG,7.0,50K,"At the opening party of a colossal San Francisco skyscraper, a massive fire breaks out due to careless building practices by the contractor, threatening to destroy the tower and everyone in it."
3. Young Frankenstein,https://www.imdb.com/title/tt0072431/?ref_=sr_t_3,1974,1h 46m,PG,8.0,174K,"An American grandson of the infamous scientist, struggling to prove that his grandfather was not as insane as people believe, is invited to Transylvania, where he discovers the process that reanimates a dead body."
4. Earthquake,https://www.imdb.com/title/tt0071455/?ref_=sr_t_4,1974,2h 2m,PG,5.9,18K,"Various interconnected people struggle to survive when an earthquake of unimaginable magnitude hits Los Angeles, California."
5. The Godfather Part II,https://www.imdb.com/title/tt0071562/?ref_=sr_t_5,1974,3h 22m,R,9.0,1.4M,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
6. The Longest Yard,https://www.imdb.com/title/tt0071771/?ref_=sr_t_6,1974,2h 1m,R,7.1,22K,"A sadistic warden asks a former pro quarterback, now serving time in his prison, to put together a team of inmates to take on (and get pummeled by) the guards."
7. Benji,https://www.imdb.com/title/tt0071206/?ref_=sr_t_7,1974,1h 26m,G,6.1,5.3K,A stray dog saves two kidnapped children.
8. Herbie Rides Again,https://www.imdb.com/title/tt0071607/?ref_=sr_t_8,1974,1h 28m,G,5.7,9.1K,The living Volkswagen Beetle helps an old lady protect her home from a corrupt developer.
9. The Texas Chain Saw Massacre,https://www.imdb.com/title/tt0072271/?ref_=sr_t_9,1974,1h 23m,R,7.4,196K,"Five friends head out to rural Texas to visit the grave of a grandfather. On the way they stumble across what appears to be a deserted house, only to discover something sinister within. Something armed with a chainsaw."
10. Chinatown,https://www.imdb.com/title/tt0071315/?ref_=sr_t_10,1974,2h 10m,R,8.1,362K,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder."
11. Murder on the Orient Express,https://www.imdb.com/title/tt0071877/?ref_=sr_t_11,1974,2h 8m,PG,7.2,71K,"In December 1935, when his transcontinental luxury train is stranded by deep snow, detective Hercule Poirot is called on to solve a murder that occurred in his car the night before, with a multitude of suspects."
12. That's Entertainment!,https://www.imdb.com/title/tt0072272/?ref_=sr_t_12,1974,2h 15m,G,7.8,5.5K,Various MGM stars from yesteryear present their favorite musical moments from the studio's 50-year history.
13. Death Wish,https://www.imdb.com/title/tt0071402/?ref_=sr_t_13,1974,1h 33m,R,6.9,46K,"A New York City architect becomes a one-man vigilante squad after his wife is murdered by street punks. In self-defense, the vengeful man kills muggers on the mean streets after dark."
14. Thunderbolt and Lightfoot,https://www.imdb.com/title/tt0072288/?ref_=sr_t_14,1974,1h 55m,R,7.0,30K,"With the help of an irreverent young sidekick, a bank robber gets his old gang back together to organize a daring new heist."
15. The Man with the Golden Gun,https://www.imdb.com/title/tt0071807/?ref_=sr_t_15,1974,2h 5m,PG,6.7,116K,"James Bond is targeted by the world's most expensive assassin, while he attempts to recover sensitive solar cell technology that is being sold to the highest bidder."
16. The Great Gatsby,https://www.imdb.com/title/tt0071577/?ref_=sr_t_16,1974,2h 24m,PG,6.4,27K,"A Midwesterner becomes fascinated with his nouveau riche neighbor, who obsesses over his lost love."
17. Alice Doesn't Live Here Anymore,https://www.imdb.com/title/tt0071115/?ref_=sr_t_17,1974,1h 52m,PG,7.3,28K,"A recently-widowed woman is on the road with her precocious young son, determined to make a new life for herself as a singer."
18. The Sugarland Express,https://www.imdb.com/title/tt0072226/?ref_=sr_t_18,1974,1h 50m,PG,6.7,20K,A woman attempts to reunite her family by helping her husband escape prison and together kidnapping their son. But things don't go as planned when they are forced to take a police hostage on the road.
19. The Conversation,https://www.imdb.com/title/tt0071360/?ref_=sr_t_19,1974,1h 53m,PG,7.7,127K,"A paranoid, secretive surveillance expert has a crisis of conscience when he suspects that the couple he is spying on will be murdered."
20. A Poem Is a Naked Person,https://www.imdb.com/title/tt0424359/?ref_=sr_t_20,1974,1h 30m,Not Rated,7.1,572,Les Blank's first feature-length documentary captures music and other events at Leon Russell's Oklahoma recording studio during a three-year period (1972-1974).
21. Celine and Julie Go Boating,https://www.imdb.com/title/tt0071381/?ref_=sr_t_21,1974,3h 13m,Unrated,7.2,6.6K,A mysteriously linked pair of young women find their daily lives preempted by a strange boudoir melodrama that plays itself out in a hallucinatory parallel reality.
22. Hearts and Minds,https://www.imdb.com/title/tt0071604/?ref_=sr_t_22,1974,1h 52m,R,8.2,6.3K,A startling and courageous landmark documentary that unflinchingly confronted the United States' involvement in Vietnam at the height of the controversy that surrounded it.
23. Swept Away,https://www.imdb.com/title/tt0073817/?ref_=sr_t_23,1974,1h 54m,R,7.5,7K,A trip into the Mediterranean sea becomes a trip into the discovery of how society's frameworks of the rich and poor are delicate and temporary.
24. Stavisky,https://www.imdb.com/title/tt0072204/?ref_=sr_t_24,1974,2h,PG,6.5,2.6K,A swindler's activity indirectly caused a political crisis in France in the last years before World War II.
